facility_name,program_name,facility_address,facility_city,facility_zip
GEN KOREAN BBQ,GEN KOREAN BBQ,24301 CRENSHAW BLVD,TORRANCE,90505
DENNY'S,DENNY'S,15553 E VALLEY BLVD,LA PUENTE,91744
TEA LAB,TEA LAB,18912 E GALE AVE STE #A,ROWLAND HEIGHTS,91748
EL BOTANITAS,EL BOTANITAS,3614 MLK JR BLVD,LYNWOOD,90262
POLLY'S PIES,POLLY'S PIES,17198 S NORWALK BLVD,CERRITOS,90703
CHINATOWN EXPRESS,CHINATOWN EXPRESS,1320 N VINE ST,LOS ANGELES,90038
MOUN OF TUNIS,MOUN OF TUNIS,7445 SUNSET BLVD # B,LOS ANGELES,90046
CASTAWAY,CASTAWAY,1250 E HARVARD RD,BURBANK,91501
BLU TUSK,BLU TUSK,2114 S SAWTELLE BLVD # 211,LOS ANGELES,90025
STARBUCKS #5401,STARBUCKS,9811 SANTA MONICA BLVD,BEVERLY HILLS,90210
R & R SOUL FOOD,R & R SOUL FOOD,18427 S AVALON BLVD,CARSON,90746
BANH MI,BANH MI,307 LINCOLN BLVD,VENICE,90291
COFFEE COLAB,COFFEE COLAB,305 E 8TH ST 103,LOS ANGELES,90014
FONDA DON CHON,FONDA DON CHON,618 SHOPPERS LN,COVINA,91723
MAGDALENO DEBBIE,MAGDALENO DEBBIE,OLVERA ST E17,LOS ANGELES,90012
CAFE CREPE,CAFE CREPE,1460 3RD ST,SANTA MONICA,90401
TEN RENS TEA TI ME,TEN RENS TEA TI ME,20311 VALLEY BLVD E,WALNUT,91789
CAFE MOMO,CAFE MOMO,12440 E IMPERIAL HWY,NORWALK,90651
CAFE BRAVO,CAFE BRAVO,1133 GLENOAKS BLVD #A,GLENDALE,91202
MEET,MEET,9727 CULVER BLVD,CULVER CITY,90232
FOOD SYSTEMS INC.,FOOD SYSTEMS INC.,2350 E 223RD ST,CARSON,90749
BREAD LOUNGE,BREAD LOUNGE,700 S SANTA FE AVE,LOS ANGELES,90021
DOMINO'S PIZZA,DOMINO'S PIZZA,1802 E HUNTINGTON DR STE #B,DUARTE,91010
CAFE DULCE,CAFE DULCE,134 S JAPANESE VILLAGE PLZ,LOS ANGELES,90021
CORAL CAFE,CORAL CAFE,3321 W BURBANK BLVD,BURBANK,91505
LA CABANA,LA CABANA,738 ROSE AVE,VENICE,90291
STEAK & SHAKE,STEAK & SHAKE,1455 W 3RD ST,SANTA MONICA,90401
SILOG,SILOG,1555 W SEPULVEDA BLVD,TORRANCE,90501
H.P BAKERY,H.P BAKERY,2881 GAGE AVE,HUNTINGTON PARK,90255
CARAMBA,CARAMBA,3020 W MAIN ST,ALHAMBRA,91801
EL LLANO,EL LLANO,13720 E RAMONA BLVD,BALDWIN PARK,91706
THAI CORNER,THAI CORNER,2615 E CARSON ST,LAKEWOOD,90712
YELLOW BASKET RESTAURANT,YELLOW BASKET,22300 S AVALON CIR,CARSON,90745
CEREZO BAKERY,CEREZO BAKERY,4315 N PECK RD,EL MONTE,91731
EL POLLO INKA,EL POLLO INKA,23705 HAWTHORNE BLVD,TORRANCE,90505
THE HIDEAWAY,THE HIDEAWAY,5523 E SOUTH ST,LAKEWOOD,90713
MOISHE'S,MOISHE'S,6333 W 3RD ST 336,LOS ANGELES,90036
EL TAPATIO,EL TAPATIO,1201 W VENICE BLVD,LOS ANGELES,90006
EGGSLUT,EGGSLUT,317 S BROADWAY ST 101E1,LOS ANGELES,90013
LAS ANITAS,LAS ANITAS,OLVERA ST 26,LOS ANGELES,90012
SOMETHING FISHY,SOMETHING FISHY,21812 VENTURA BLVD,WOODLAND HILLS,91364
ASAVA THAI,ASAVA THAI,970 N WESTERN AVE,LOS ANGELES,90029
CHOP STOP,CHOP STOP,1001 N S F BLVD UNIT 110,BURBANK,91504
WOK EXPRESS,WOK EXPRESS,15330 AMAR RD,LA PUENTE,91744
STICKHOUSE,STICKHOUSE,223 BROADWAY ST,SANTA MONICA,90401
HUGO'S TACOS,HUGO'S TACOS,4749 COLDWATER CANYON BLVD,SHERMAN OAKS,91423
JAMBA JUICE,JAMBA JUICE,5300 LNKERSHIM BLVD # 160,NORTH HOLLYWOOD,91601
JADE HOUSE,JADE HOUSE,18207 E GALE AVE,INDUSTRY,91748
TOMMY TACO,TOMMY TACO,970 GAYLEY AVE,LOS ANGELES,90024
TOLUCO'S RESTAURANT LLC,TOLUCO'S RESTAURANT LLC,497 E WASHINGTON BLVD,MONTEBELLO,90640
HYGGE BAKERY & CAFE,HYGGE BAKERY & CAFE,1106 HOPE ST,LOS ANGELES,90015
APFEL,APFEL,403 N PCH HWY STE 100,REDONDO BEACH,90277
DOLLAR TREE,DOLLAR TREE,18409 S AVALON BLVD,CARSON,90746
GELATERIA ULI,GELATERIA ULI,541 S SPRING ST STE# 104,LOS ANGELES,90013
J'S LIQUOR & DELI,J'S LIQUOR & DELI,22332 S NORMANDIE AVE,TORRANCE,90502
TENMIMI,TENMIMI,2327 HONOLULU AVE,MONTROSE,91020
HANS TERIYAKI,HANS TERIYAKI,16022 E AMAR RD,INDUSTRY,91744
RESTAURANTE SORPRESA,RESTAURANTE SORPRESA,2635 GAGE AVE,HUNTINGTON PARK,90255
PRESIDENT THAI CAFE,PRESIDENT THAI CAFE,9340 E WHITTIER BLVD,PICO RIVERA,90660
KOSMOS BURGER,KOSMOS BURGER,416 FOOTHILL BLVD,SAN DIMAS,91773
WEILERS,WEILERS,22323 SHERMAN WAY,CANOGA PARK,91303
TACOS DON KICHE,TACOS DON KICHE,778 N NOGALES ST # E,WALNUT,91789
BOBADIA,BOBADIA,5626 E WHITTIER,COMMERCE,90022
RICE STREET,RICE STREET,6000 E FLORENCE ST STE B-C,BELL GARDENS,90201
GOLDEN STOP LIQUOR,GOLDEN STOP LIQUOR,19927 GOLDEN VALLEY RD,SANTA CLARITA,91321
OCEAN BO RESTAURANT,OCEAN BO RESTAURANT,3944 N PECK RD A1,EL MONTE,91731
FRESH DONUTS,FRESH DONUTS,3444 E MLK JR BLVD,LYNWOOD,90262
SUBWAY SANDWICHES,SUBWAY SANDWICHES,11340 E 183RD ST,ARTESIA,90701
BIG JIM'S DONUTS,BIG JIM'S DONUTS,2401 E WHITTIER BLVD,LOS ANGELES,90023
EL UNICO POLLO TAQUERO #2,EL UNICO POLLO TAQUERO #2,794 MISSION BLVD,POMONA,91766
IMPERIAL BAKERY,IMPERIAL BAKERY,2536 S FIGUEROA ST,LOS ANGELES,90007
A & P DONUTS,A & P DONUTS,1307 E HUNTINGTON DR,DUARTE,91010
STATER BROS #137,STATER BROS MARKETS #137,11750 E WHITTIER BLVD,WHITTIER,90602
RAINBIRD MANILA BAKESHOP,RAINBIRD MANILA BAKESHOP,16028 E AMAR RD,LA PUENTE,91744
BURGER BASKET,BURGER BASKET,12155 E FIRESTONE BLVD,NORWALK,90650
THE BOYS BURGERS #10,THE BOYS BURGERS #10,9090 E IMPERIAL HWY,DOWNEY,90242
QUICKLY,QUICKLY,18361 S PIONEER BLVD,ARTESIA,90701
SUBWAY #2056,SUBWAY,30817 THOUSAND OAKS BLVD,WESTLAKE VILLAGE,91362
IHOP,IHOP,15344 E WHITTIER BLVD,WHITTIER,90603
SUBWAY SANDWICHES,SUBWAY SANDWICHES,23705 W MALIBU RD STE,MALIBU,90265
STONE OVEN,STONE OVEN,6600 TPNG CYN BLVD UNIT FC06,CANOGA PARK,91303
ZIA VALENTINA,ZIA VALENTINA,6333 W 3RD ST #530,LOS ANGELES,90036
DIVINO,DIVINO,11714 BARRINGTON CT,LOS ANGELES,90049
RAMEN IZAKAYA AJIDO,RAMEN IZAKAYA AJIDO,1730 W SEPULVEDA BLVD 6,TORRANCE,90501
SUSHI FIRE,SUSHI FIRE,1723 E HUNTINGTON DR,DUARTE,91010
SIAMESE RESTAURANT,SIAMESE RESTAURANT,1544 W FOOTHILL BLVD,LA VERNE,91750
WING N STUFF,WING N STUFF,3650 W MLK BLVD,LOS ANGELES,90008
EL POLLO LOCO #5420,EL POLLO LOCO #5420,5386 N CHERRY AVE,LAKEWOOD,90712
ELITE RESTAURANT,ELITE RESTAURANT,700 S ATLANTIC BLVD,MONTEREY PARK,91754
TONO'S TACOS,TONO'S TACOS,4300 E CESAR CHAVEZ AVE,LOS ANGELES,90063
GOLDEN CORRAL,GOLDEN CORRAL,9588 LAKEWOOD,DOWNEY,90240
SAN PEDRO FISH,SAN PEDRO FISH,78 BERTH PORTS O CALL,SAN PEDRO,90731
THE FLAME BROILER,THE FLAME BROILER,2526 S FIGUEROA ST,LOS ANGELES,90007
L AND L HAWAIIAN BARBEQUE,L AND L HAWAIIAN BARBEQUE,11413 E SOUTH ST,CERRITOS,90703
AMOR INDIO,AMOR INDIO,15200 E VALLEY BLVD,LA PUENTE,91744
BOBS BURGERS,BOBS BURGERS,14952 E VALLEY BLVD,LA PUENTE,91744
BULL DEMON KING CAFE,BULL DEMON KING CAFE,8632 E VALLEY BLVD STE J&K,ROSEMEAD,91770
R&S,R&S,12950 VICTORY BLVD,VAN NUYS,91401
GREEN ROOM,GREEN ROOM,150 W 3RD ST,POMONA,91766
GOLDEN OX,GOLDEN OX,10903 MAIN ST,EL MONTE,91731
STACKED EATERY,STACKED EATERY,15826 VENTURA BLVD # 110,ENCINO,91316
GEKO-TEI,GEKO-TEI,11410 E SOUTH ST,CERRITOS,90703
YANG'S RESTAURANT,YANG'S RESTAURANT,16244 E WHITTIER BLVD,WHITTIER,90602
COFFEE GRAM,COFFEE GRAM,1243 S ALVARADO AVE # B-1,LOS ANGELES,90006
JOSELITO'S,JOSELITO'S,2345 HONOLULU AVE,MONTROSE,91020
EL PICOSO,EL PICOSO,303 S AZUSA AVE,AZUSA,91702
JACK IN THE BOX #3169,JACK IN THE BOX #3169,12603 S NORWALK BLVD,NORWALK,90650
M'S KITCHEN,M'S KITCHEN,18323 S PIONEER BLVD,ARTESIA,90701
SI SENOR,SI SENOR,1137 W AVENUE I,LANCASTER,93534
TACOS EL TORITO,TACOS EL TORITO,13405 E LAMBERT RD,WHITTIER,90601
CAFE VIDAL,CAFE VIDAL,112 WILSON AVE,GLENDALE,91206
SHUTTLE INN,SHUTTLE INN,9067 E IMPERIAL HWY,DOWNEY,90242
THE WOOD,THE WOOD,12000 WASHINGTON BLVD,CULVER CITY,90231
VERSAILLES,VERSAILLES,10319 VENICE BLVD,LOS ANGELES,90034
GAUCHOS VILLAGE,GAUCHOS VILLAGE,135 N ARTSAKH AVE,GLENDALE,91206
LA GOLONDRINA,LA GOLONDRINA,OLVERA ST W17,LOS ANGELES,90012
FRESH BROTHERS,FRESH BROTHERS,407 N PCH HWY STE 100,REDONDO BEACH,90277
SALT & STRAW,SALT & STRAW,240 LARCHMONT AVE,LOS ANGELES,90004
FAMILIA MARKET,FAMILIA MARKET,10928 MAIN ST,EL MONTE,91731
COUNTRY DINER,COUNTRY DINER,1063 E AVE J # 101,LANCASTER,93535
EL ZIPOTE,EL ZIPOTE,8662 E WHITTIER BLVD,PICO RIVERA,90660
GOLDEN OX BURGERS,GOLDEN OX BURGERS,1195 MISSION BLVD,POMONA,91766
TACOS LOCOS,TACOS LOCOS,2148 W VENICE BLVD,LOS ANGELES,90006
CU CAFE & MORE,CU CAFE & MORE,1121 HACIENDA BLVD,HACIENDA HEIGHTS,91745
ACCENT ON HEALTH,ACCENT ON HEALTH,18559 DEVONSHIRE ST,NORTHRIDGE,91324
GLENDORA COUNTRY CLUB,MAIN KITCHEN,2400 COUNTRY CLUB DR,GLENDORA,91741
"BRUXIE, LLC.",BRUXIES LLC,1412 3RD ST,SANTA MONICA,90401
MCDONALD'S # 3872,MC DONALDS REST,21901 ERWIN ST,WOODLAND HILLS,91367
BBQ POWER,BBQ POWER,8450 E VALLEY BLVD STE 116,ROSEMEAD,91770
CARDAMON,CARDAMON,7233 BEVERLY BLVD,LOS ANGELES,90036
ERIC'S ON THE PIER,ERIC'S ON THE PIER,4 GREEN PLEASURE PIER,AVALON,90704
KACHI,KACHI,231 9TH ST,LOS ANGELES,90015
TIKKA,TIKKA,1 N INDIAN HL # D-104,CLAREMONT,91711
BODA RESTAURANT,BODA RESTAURANT,2310 PASADENA AVE STE # 102,LOS ANGELES,90031
10 - E,10 - E,811 W 7TH ST,LOS ANGELES,90017
ART'S BURGER,ART'S BURGER,11629 E VALLEY BLVD,EL MONTE,91783
EL POLLO LOCO,EL POLLO LOCO,7851 FOOTHILL BLVD,SUNLAND,91301
CAFE MIMOSA,CAFE MIMOSA,395 S TOPANGA BLVD,TOPANGA,90290
TACO NAZO,TACO NAZO,10316 E ALONDRA BLVD,BELLFLOWER,90706
LE DONUT,LE DONUT,1802 E HUNTINGTON DR,DUARTE,91010
FROZEN SWEET,FROZEN SWEET,1428 HUNTINGTON DR # A,DUARTE,91010
VITA JUICE,VITA JUICE,8024 ATLANTIC BLVD,CUDAHY,90201
MATSU SUSHI,MATSU SUSHI,29495 THE OLD RD,CASTAIC,91384
CANDLELIGHT PAVILION,CANDLELIGHT PAVILION,455 W FOOTHILL BLVD,CLAREMONT,91711
CATALINA MARKET,CATALINA MARKET,1037 W TORRANCE BLVD,TORRANCE,90502
FARMER BOYS-GARDENA,FARMER BOYS-GARDENA,641 W REDONDO BEACH BLVD,GARDENA,90247
WHEELHOUSE,WHEELHOUSE,12954 WASHINGTON BLVD,CULVER CITY,90066
MEXICANO,MEXICANO,3650 W MARTIN LUTHER KING BLVD # 127,LOS ANGELES,90008
M&M MARKET,M&M MARKET,3358 DEL MAR AVE,ROSEMEAD,91770
MALIBU CONFERENCE CENTER,MALIBU CONFERENCE CENTER,327 LATIGO RD,MALIBU,90265
ARCO AM/PM,ARCO AM/PM,10121 WHITTIER BLVD,PICO RIVERA,90660
POPEYES,POPEYES,2532 S FIGUEROA ST,LOS ANGELES,90007
TEDMALL.COM,TEDMALL.COM,18254 E GALE AVE,ROWLAND HEIGHTS,91748
CLARO'S MARKET,CLARO'S MARKET,1003 E VALLEY BLVD,SAN GABRIEL,91776
BLAZE PIZZA,BLAZE PIZZA,3525 CARSON BLVD VC07,TORRANCE,90503
DER WIENERSCHNITZEL,DER WIENERSCHNITZEL,3789 S CRENSHAW BLVD,LOS ANGELES,90016
TAGUERIA DON JORGE,TAGUERIA DON JORGE,9406 E ALONDRA BLVD,BELLFLOWER,90706
MANNY'S LIQUOR,MANNY'S LIQUOR,1129 W WASHINGTON BLVD,MONTEBELLO,90640
EL TACO RICO,EL TACO RICO,12017 E FIRESTONE BLVD,NORWALK,90650
CHURROS STIX,CHURRO STIX,6600 TOPANGA CYN # 9028,CANOGA PARK,91303
ART'S 76,ART'S 76,5890 HOLLYWOOD BLVD,LOS ANGELES,90028
STARBUCKS COFFEE #9788,STARBUCKS COFFEE #9788,20240 S AVALON BLVD,CARSON,90746
PANDA EXPRESS #898,PANDA EXPRESS #898,26913 SIERRA HWY,CANYON COUNTRY,91351
NORMS HANGER,NORMS HANGER,1615 W MCKINLEY AVE,LA VERNE,91750
USA LIQUOR,USA LIQUOR,6530 LANKERSHIM BLVD STE A & B,NORTH HOLLYWOOD,91606
JOSE CHIQUITO,JOSE CHIQUITO,317 S BROADWAY ST # A-6,LOS ANGELES,90013
ARUFFO'S,ARUFFO'S,126 N YALE AVE,CLAREMONT,91711
THE DANSON ESPIAU'S,THE DANSON ESPIAU'S,109 N YALE AVE,CLAREMONT,91711
WALTER'S COFFEE SHOP,WALTER'S COFFEE SHOP,310 N YALE AVE,CLAREMONT,91711
EGGSLUT,EGGSLUT,1611 PACIFIC AVE,LOS ANGELES,90921
C-STORE,C-STORE,13356 ELDRIDGE AVE EAST CAMPUS,SYLMAR,91342
NEW DONUTS,NEW DONUTS,1260 S SOTO ST STE,LOS ANGELES,90023
SUN NONG DAN,SUN NONG DAN,18902 E GALE AVE # A,ROWLAND HEIGHTS,91748
DENNY'S #7042,DENNY'S #7042,8600 E WHITTIER BLVD,PICO RIVERA,90660
EQUINOX,EQUINOX,1540 N VINE ST,LOS ANGELES,90028
SHAKERS,SHAKERS,601 S FAIR OAKS AVE,SOUTH PASADENA,91030
UNO WATER,UNO WATER,4100 BROADWAY,LOS ANGELES,90037
CIRCLE K # 8678,CIRCLE K # 8678,28005 SECO CYN,SANTA CLARITA,91350
IHOP 939,IHOP 939,12623 S NORWALK BLVD,NORWALK,90650
LILY'S TACOS,LILY'S TACOS,901 N GAREY AVE,POMONA,91767
SUPER TERIYAKI,SUPER TERIYAKI,3831 E MLK JR BLVD,LYNWOOD,90262
TAMAYA,TAMAYA,17142 E COLIMA RD,HACIENDA HEIGHTS,91745
BATES FISH MARKET,BATES FISH MARKET,3564 E MLK JR BLVD,LYNWOOD,90262
CARL'S JR,CARL'S JR,1001 W MLK BLVD,LOS ANGELES,90037
SLURPIN RAMEN,SLURPIN RAMEN,3500 W 8TH ST,LOS ANGELES,90005
HUMMUS REPUBLIC,HUMMUS REPUBLIC,827 DOUGLAS ST,EL SEGUNDO,90245
PHO KIM,PHO KIM,4200 PECK RD # E,EL MONTE,91732
IHOP,IHOP,988 HAMILTON RD,DUARTE,91010
MUDDY PAW COFFEE,MUDDY PAW COFFEE,3320 SUNSET BLVD,LOS ANGELES,90026
DREAM HOTEL,DREAM HOTEL - THE HIGHLIGHT ROOM BAR,6417 SELMA AVE,LOS ANGELES,90028
FOOD 4 LESS #309,FOOD 4 LESS DELI # 309,9635 LAUREL CANYON BLVD,LOS ANGELES,90054
CHEESE CAVE,CHEESE CAVE,325 N YALE AVE,CLAREMONT,91711
MIMI'S CAFE,MIMI'S CAFE,15436 E WHITTIER BLVD,WHITTIER,90603
SUBWAY,SUBWAY,2035 N VERDUGO BLVD,MONTROSE,91203
EL POLLO LOCO,EL POLLO LOCO,11928 GARVEY AVE,SOUTH EL MONTE,91733
YUI,YUI,24 W SIERRA MADRE,SIERRA MADRE,91024
TOMMY'S HAMBURGERS,TOMMY'S HAMBURGERS,9301 E WHITTIER BLVD,PICO RIVERA,90660
RENAISSANCE EATERY,RENAISSANCE EATERY,14740 S BEACH BLVD,LA MIRADA,90638
PHO DAILY,PHO DAILY,15126 S WESTERN,GARDENA,90249
FUJI GRILL,FUJI GRILL,2704 E CARSON ST,LAKEWOOD,90712
G & M OIL CO #91,G & M OIL CO #91,3962 W ARTESIA BLVD,TORRANCE,90504
SURF CITY SQUEEZE,SURF CITY SQUEEZE,3650 W MARTIN LUTHER KING # 150,LOS ANGELES,90008
CIRCLE K,CIRCLE K,27706 MCBEAM PKWY,VALENCIA,91355
FANTASTIC CHARBURGER,FANTASTIC CHARBURGER,20305 S WESTERN AVE,TORRANCE,90501
JITLADA RESTAURANT,JITLADA RESTAURANT,5233 1/2 W SUNSET BLVD,LOS ANGELES,90027
UZUMAKI,UZUMAKI,11060 WASHINGTON BLVD STE A,CULVER CITY,90066
DICKEY'S BARBECUE PIT,DICKEY'S BARBECUE PIT,1090 HUNTINGTON DR,DUARTE,91010
TOGO'S EATERY,TOGO'S EATERY,150 S PACIFIC COAST HWY STE,EL SEGUNDO,90245
CAULFIELD'S PREP ROOM BASEME,CAULFIELD'S,9360 WILSHIRE BLVD,BEVERLY HILLS,90212
FRESH QBAKE,FRESH QBAKE,5449 ROSEMEAD BLVD,ROSEMEAD,91776
IT'S SUGAR,IT'S SUGAR,1427 3RD ST,SANTA MONICA,90401
NICE BAKERY,NICE BAKERY,18345 S PIONEER BLVD,ARTESIA,90701
AVALON SEAFOOD,AVALON SEAFOOD,0 GREEN PLEASURE PIER,AVALON,90704
CHASE'S,CHASE'S,2136 3RD ST,LA VERNE,91750
FAIRPLEX,FAIRPLEX - SHERATON CONFERENCE CENTER,1101 W MCKINLEY AVE,POMONA,91768
PRIME PIZZA,PRIME PIZZA,141 CENTRAL AVE,LOS ANGELES,90012
MORRALITO MEXICAN GRILL,MORRALITO MEXICAN GRILL,1501 E HUNTINGTON DR,DUARTE,91010
VALLEY SUPER BURGER,VALLEY SUPER BURGER,9219 E VALLEY BLVD,ROSEMEAD,91770
WANG BUNSIK,WANG BUNSIK,1131 1/2 S BREA CANYON,DIAMOND BAR,91765
KOTE DAEJI,KOTE DAEJI,14816 S BEACH BLVD,LA MIRADA,90638
IN-N-OUT BURGER #7,IN-N-OUT BURGER #7,15259 E AMAR RD,LA PUENTE,91744
SUBWAY #5869,SUBWAY #5869,11819 WILSHIRE BLVD,LOS ANGELES,90025
BANDITOS,BANDITOS,900 W MLK JR BLVD,LOS ANGELES,90037
RC BURGER CAFE,RC BURGER CAFE,10961 E FIRESTONE BLVD,NORWALK,90650
TWO GUYS FROM ITALY,TWO GUYS FROM ITALY,16915 S F MISSION BLVD,GRANADA HILLS,91344
B.B. SAARA,B.B. SAARA,15928 VENTURA BLVD # 113,ENCINO,91346
SHIPMATES RESTAURANTE SPORTS,SHIPMATES RESTAURANTE SPORTS,11424 E SOUTH ST,CERRITOS,90703
THE Z00 GRILL,THE Z00 GRILL,5333 Z00 DR,LOS ANGELES,90027
EL BUKANAS,EL BUKANAS,100 N CITRUS AVE,COVINA,91723
ZAFRAN POT,ZAFRAN POT,10408 W VENICE BLVD,CULVER CITY,90034
SUBWAY #14457,SUBWAY #14457,20236 S AVALON BLVD,CARSON,90746
URARTU COFFEE,URARTU COFFEE,119 N ARTSAKH AVE,GLENDALE,91206
JAY'S PLACE,JAY'S PLACE,340 E FOOTHILL BLVD,CLAREMONT,91711
HANNOSUKE,HANNOSUKE,21515 WESTERN AVE,TORRANCE,90501
U S DONUTS,U S DONUTS,17340 S PIONEER BLVD,ARTESIA,90701
7-10 MARKET,7-10 MARKET,3500 E MLK JR BLVD,LYNWOOD,90262
CKS STORE,CKS STORE,15135 E AMAR RD,LA PUENTE,91744
TOKYO GRILL,TOKYO GRILL,1600 S AZUSA AVE UNIT 169D,INDUSTRY,91744
L.A. CAFE,L.A. CAFE,639 S SPRING ST,LOS ANGELES,90014
MADE BY MEG,MADE BY MEG,234 S PCH HWY STE #101,REDONDO BEACH,90277
PHO 1945,PHO 1945,17625 CENTRAL AVE,CARSON,90746
COMEX KOREAN BBQ,COMEX KOREAN BBQ,3102 IMPERIAL HWY,LYNWOOD,90262
ANA'S BIONICOS,ANA'S BIONICOS,11005 FIRESTONE ST # 112B,NORWALK,90650
ISLAND HUT,ISLAND HUT,2387 LOMITA BLVD,LOMITA,90717
SUBWAY,SUBWAY,3476 E WHITTIER BLVD,LOS ANGELES,90033
DIA DE LOS PUERCOS,DIA DE LOS PUERCOS,117 SECOND ST,POMONA,91766
PIZZERIA VIVOLI,PIZZERIA VIVOLI,7994 SUNSET BLVD,LOS ANGELES,90046
THE SALAD BAR,THE SALAD BAR,6333 W 3RD ST # 424,LOS ANGELES,90036
HAPPY RICE,HAPPY RICE,3100 IMPERIAL HWY # 3008,LYNWOOD,90262
EZ CONVENIENCE STORE,EZ CONVENIENCE STORE,18007 E GALE AVE,INDUSTRY,91748
DI PILLAS PIZZERIA,DI PILLAS PIZZERIA,9013 E VALLEY BLVD,ROSEMEAD,91770
SANYO SUSHI,SANYO SUSHI,750 W ROUTE 66 STE D & E,GLENDORA,91740
PHO HAI,PHO HAI,6420 ROSEMEAD BLVD,TEMPLE CITY,91775
THE NAUGHTY PIG,THE NAUGHTY PIG,8264 SUNSET BLVD,WEST HOLLYWOOD,90046
"CAFE 7, LLC","CAFE 7, LLC",1500 VERDUGO RD,GLENDALE,91205
THRIFTY,THRIFTY,18523 S AVALON BLVD,CARSON,90746
BAMBOO INN,BAMBOO INN,2005 W 7TH ST,LOS ANGELES,90057
JIM'S 1/4LB  BURGERS,JIM'S 1/4LB  BURGERS,16023 E AMAR RD,LA PUENTE,91744
FACEBOOK EMPLOYEE KITCHEN,FACEBOOK EMPLOYEE KITCHEN,8500 BALBOA BLVD,VAN NUYS,91406
JAR,JAR,8225 BEVERLY BLVD,LOS ANGELES,90048
BIG JIMS DONUT,BIG JIMS DONUTS,1141 E BROADWAY AVE,GLENDALE,91205
DON'S EATERY,DON'S EATERY,12972 E LAKELAND RD,SANTA FE SPRINGS,90670
THE GREAT ASHOKA,THE GREAT ASHOKA,18614 S PIONEER BLVD,ARTESIA,90701
BURGERIM LAKEWOOD,BURGERIM LAKEWOOD,4131 WOODRUFF AVE,BELLFLOWER,90713
BROOKLYN BAGELS,BROOKLYN BAGELS,2223 BEVERLY,LOS ANGELES,90057
DURI FOOD CATERING 2,DURI FOOD CATERING 2,10201 RESEDA BLVD # 102,RESEDA,91324
YAKI'S,YAKI'S,904 W ALAMEDA AVE,BURBANK,91506
42ND ST BAGEL CAFE,42ND ST BAGEL CAFE,225 N YALE AVE,CLAREMONT,91711
JOHNNY ROCKETS,JOHNNY ROCKETS,1000 UNIVERSAL CITY PLZ 130,UNIVERSAL CITY,91608
DRAGON GARDEN,DRAGON GARDEN,1063 E AVE J # 103,LANCASTER,93535
PANDA KING,PANDA KING,1027 W MLK BLVD,LOS ANGELES,90037
ALBERTSON'S #191,ALBERTSON'S #191 - MAIN MARKET,5015 E DEL AMO BLVD,LAKEWOOD,90712
BETO'S BAKERY,BETO'S BAKERY,3464 MLK JR BLVD,LYNWOOD,90262
EGGSLUT,EGGSLUT,317 S BROADWAY ST STAL D-1,LOS ANGELES,90013
SUBWAY #2234,SUBWAY #2234,120 7TH ST,LA PUENTE,91746
CARNAVAL,CARNAVAL,342 E THOMAS ST,POMONA,91766
SATIN,SATIN,13079 E VALLEY BLVD,INDUSTRY,91746
DUCKS,DUCKS,1381 E LAS TUNAS DR,SAN GABRIEL,91775
WEST END TENNIS&RACQUETCLUB,WEST END TENNIS&RACQUETCLUB,4343 SPENCER ST,TORRANCE,90503
PITA ON VINE,PITA ON VINE,1253 N VINE ST SUIT 7A,LOS ANGELES,90038
EL CAMACHO RESTAURANT,EL CAMACHO RESTAURANT,2019 W VENICE BLVD,LOS ANGELES,90006
STARBUCKS,STARBUCKS,8700 BEVERLY BLVD PL LE,LOS ANGELES,90048
AJ SPORTS CLUB,AJ SPORTS CLUB,21042 S MAIN ST,CARSON,90745
GRANO,GRANO,1028 HUNTINGTON DR,DUARTE,91010
DEL TACO #226,DEL TACO #226,20259 E VALLEY BLVD,WALNUT,91789
SPIN LOUNGE,SPIN LOUNGE,6532 S GREENLEAF AVE,WHITTIER,90602
SAWYER,SAWYER,3705 SUNSET BLVD,LOS ANGELES,90026
CILANTRO'S TACOS,CILANTRO'S TACOS,16533 E WHITTIER BLVD,WHITTIER,90603
GOLDENS EXPRESS,GOLDENS EXPRESS,11770 E FIRESTONE BLVD,NORWALK,90650
FOOD 4 LESS #336,FOOD 4 LESS #336,8620 E WHITTIER BLVD,PICO RIVERA,90660
QIN WEST,QIN WEST,2520 S FIGUEROA ST,LOS ANGELES,90007
"SWEET GREEN LA , LLC","SWEET GREEN LA , LLC",410 8TH ST,LOS ANGELES,90014
SOTTA,SOTTA,2009 W ALAMEDA AVE,BURBANK,91506
JIMMY JOHN'S,JIMMY JOHN'S,600 W 7TH # 160,LOS ANGELES,90017
TACOS VIRGINIA,TACOS VIRGINIA,4081 E WHITTIER BLVD,LOS ANGELES,90023
HAPPY LEMON,HAPPY LEMON,18246 E GALE RD #A,INDUSTRY,91748
MCDONALD'S,MCDONALD'S,27776 N MCBEAN PKWY,VALENCIA,91355
ALOHA TERIYAKI,ALOHA TERIYAKI,12819 S CRENSHAW BLVD,HAWTHORNE,90250
AM-PM MARKET,AM-PM MARKET,13411 E IMPERIAL HWY,WHITTIER,90603
JIM'S BURGERS #12,JIM'S BURGERS #12,13844 E IMPERIAL HWY,LA MIRADA,90638
FITCHOW,FITCHOW,2210 E PALMDALE BLVD,PALMDALE,93551
SUBWAY,SUBWAY,8866 CORBIN AVE,NORTHRIDGE,91324
FARM FRESH,FARM FRESH,18612 S PIONEER BLVD,ARTESIA,90701
