facility_name,program_name,facility_address,facility_city,facility_zip
ALCOHOLICS TOGETHER (AT CTR),ALCOHOLICS TOGETHER (AT CTR),1773 GRIFFITH PARK BLVD,LOS ANGELES,90026
AMANDINE PATISSERIE CAFE,AMANDINE PATISSERIE CAFE,12225 WILSHIRE BLVD,LOS ANGELES,90025
FRIEMAN MARK,WETZEL'S PRETZELS,2753 E EASTLAND CENTER DR #2,WEST COVINA,91791
STARBUCKS COFFEE #17415,STARBUCKS COFFEE #17415,10601 E VALLEY BLVD # #A,EL MONTE,91731
GNC C#7792,GENERAL NUTRITION CENTER,284 STONEWOOD ST,DOWNEY,90241
SLS HOTEL AT BEVERLY HILLS,SLS HOTEL AT BEVERLY HILLS - BAZAAR,465 LA CIENEGA BLVD,LOS ANGELES,90048
AIRPORT LIQUOR STORE,AIRPORT LIQUOR STORE,420 N LA BREA AVE,INGLEWOOD,90302
DODGER STADIUM,#103 DODGER DOG TRADITIONAL,1000 VIN SCULLY AVE,LOS ANGELES,90012
TACO,TACO,2430 CARSON ST,LAKEWOOD,90712
GREEN MARKET,GREEN MARKET,8242 LOUISE AVE,NORTHRIDGE,91324
DOMINO'S PIZZA #8432,DOMINO'S PIZZA #8432,2025 E FLORENCE AVE,LOS ANGELES,90001
MOKKOJI SHABU SHABU,MOKKOJI SHABU SHABU,815 W NAOMI AVE UNIT F,ARCADIA,91007
LA PUERTA,LA PUERTA,1720 E FLORENCE AVE,LOS ANGELES,90001
I FU TANG BAKERY,I FU TANG BAKERY,1611 S SAN GABRIEL BLVD,SAN GABRIEL,91776
YOKOHAMA,YOKOHAMA,3859 OVERLAND AVE,CULVER CITY,90232
GUADALAJARA MARKET,GUADALAJARA MARKET,1103 S LORENA ST,LOS ANGELES,90023
TACO LIMON,TACO LIMON,700 EXPOSITION PARK DR,LOS ANGELES,90037
NUTRITIONAL SPORT SUPPLEMENT,NUTRITIONAL SPORT SUPPLEMENT,3512 E FLORENCE AVE STE #101,HUNTINGTON PARK,90255
N101,N101,8730 SANTA MONICA BLVD STE #C,WEST HOLLYWOOD,90069
BIG MAMAS & PAPA'S/MARIPOSA,BIG MAMAS & PAPA'S/MARIPOSA,5051 HOLLYWOOD BLVD,LOS ANGELES,90027
THEE ELBOW ROOM,THEE ELBOW ROOM,2418 HONOLULU AVE,MONTROSE,91020
LADIN'S LIQUOR,LADIN'S LIQUOR,20857 SHERMAN WAY,WINNETKA,91306
SORRENTO LIQUOR,SORRENTO LIQUOR,801 W CESAR E CHAVEZ AVE,LOS ANGELES,90012
DON QUIXOTE,DON QUIXOTE,2811 E OLYMPIC BLVD,LOS ANGELES,90023
EZ CAR WASH & LUBE,EZ CAR WASH & LUBE,1862 S GAREY AVE,POMONA,91766
OK DONUT,OK DONUT,8737 E WHITTIER BLVD,PICO RIVERA,90660
THE GREENHAUS CAFE & BAKERY,THE GREENHAUS CAFE & BAKERY,510 E LAS TUNAS DR,SAN GABRIEL,91776
DODGER STADIUM,#222 ELYSIAN PARK GRILL,1000 VIN SCULLY AVE,LOS ANGELES,90012
7-ELEVEN STORE 13876D,7-ELEVEN #13876D,146 N HUBBARD AVE,SAN FERNANDO,91340
RITE AID #05488,RITE AID #05488,1331 WILSHIRE BLVD,SANTA MONICA,90403
STARBUCKS COFFEE #5350,STARBUCKS COFFEE #5350,8363 W SUNSET BLVD,WEST HOLLYWOOD,90069
GIGI #2,GIGI #2,12114 VANOWEN ST,NORTH HOLLYWOOD,91605
QUIK-N-EZ,QUIK-N-EZ,3280 TWEEDY BLVD # C,SOUTH GATE,90280
JASMINE THAI RESTAURANT,JASMINE THAI RESTAURANT,326 E PALMDALE BLVD,PALMDALE,93550
LA RAMADA RESTAURANT,LA RAMADA RESTAURANT,6330 SANTA FE AVE,HUNTINGTON PARK,90255
RITE AID #5446,RITE AID #5446,1130 N LA BREA AVE,WEST HOLLYWOOD,90048
YOGURT STOP,YOGURT STOP,8803 SANTA MONICA BLVD,WEST HOLLYWOOD,90069
QUICKLY,QUICKLY,6800 BALBOA BLVD # D,VAN NUYS,91406
PONIA AFRICAN MARKET,PONIA AFRICAN MARKET,1223 WEST AVE I,LANCASTER,93534
J.J. CAFE,J.J. CAFE,2900 SEPULVEDA BLVD,TORRANCE,90505
CALIFORNIA DONUTS,CALIFORNIA DONUTS,3483 TWEEDY BLVD,SOUTH GATE,90280
HOUSE OF YAHWEH,HOUSE OF YAHWEH,4046 W MARINE AVE,LAWNDALE,90250
THE PIZZA OVEN,THE PIZZA OVEN,9060 TELSTAR AVE STE 201,EL MONTE,91731
CVS/PHARMACY #9578,CVS/PHARMACY #9578,3120 W IMPERIAL HWY,INGLEWOOD,90303
A & J LIQUOR,A & J LIQUOR,953 W MISSION BLVD,POMONA,91766
ALAMEDA MARKET,ALAMEDA MARKET,4501 S ALAMEDA ST # M1,LOS ANGELES,90058
LOEWS HOTEL BANQUET KITCHEN,LOEWS HOTEL BANQUET KITCHEN,1700 OCEAN AVE,SANTA MONICA,90401
WIENERSCHNITZEL #16,WIENERSCHNITZEL #16,8201 E ROSECRANS AVE,PARAMOUNT,90723
OFFICE DEPOT #878,OFFICE DEPOT #878,19800 HAWTHORNE BLVD STE 248,TORRANCE,90503
SHELL OIL PRODUCTS,SHELL OIL PRODUCTS,43620 CHALLENGER WAY,LANCASTER,93535
NEW ORLENS CAJUN & CREOLE,NEW ORLENS CAJUN & CREOLE,140 PIER AVE,HERMOSA BEACH,90254
SUBWAY #59214,SUBWAY #59214,314 W HUNTINGTON DR,MONROVIA,91016
CARL'S JR 90,CARL'S JR 90,18741 VIA PRINCESSA,SANTA CLARITA,91387
ABE'S CHEVRON SERVICE,ABE'S CHEVRON SERVICE,2065 S LA CIENEGA BLVD,LOS ANGELES,90044
SUBWAY SANDWICH SHOP,SUBWAY SANDWICH SHOP,4919 EAGLE ROCK BLVD,LOS ANGELES,90041
EL RANCHO PRODUCE,EL RANCHO PRODUCE,4500 INGLEWOOD BLVD,CULVER CITY,90230
VIDA SALUDABLE,VIDA SALUDABLE,530 SAINT PAUL ST,POMONA,91767
IHOP,IHOP,701 S FREMONT AVE,ALHAMBRA,91803
SALOS MINI MARKET,SALOS MINI MARKET,4225 S HOOPER AVE,LOS ANGELES,90011
SHERATON HOTEL,WAREWASHING ROOM,6101 W CENTURY BLVD,LOS ANGELES,90045
100 PUDOF LIQUOR,100 PUDOF LIQUOR,5601 E SOUTH ST,LAKEWOOD,90713
EL SUPER,EL SUPER - MARKET,14103 E RAMONA BLVD,BALDWIN PARK,91706
DD'S DISCOUNTS #5175,DD'S DISCOUNT #5175,6101 ROSEMEAD BLVD,PICO RIVERA,90660
ARROW LIQUOR JR MARKET,ARROW LIQUOR JR MARKET,12521 VANOWEN ST,NORTH HOLLYWOOD,91605
