,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Dandy Donuts,,Donuts,4,3.5,$,33.90913246,-118.1164545,idXXPNKvvbHsuSQKf1v0Pw,DANDY DONUTS,13428 S WOODRUFF AVE,BELLFLOWER,,,
1,Birdies,,"Chicken Shop, Donuts, Coffee & Tea",1943,4,$$,34.04183631,-118.2590469,eXZyAF5Xk1u-d9vnkeNPXg,BIRDIES,314 W OLYMPIC BLVD,LOS ANGELES,,,
2,Bubba Gump Shrimp,,"Seafood, Southern",1499,3,$$,34.00972536,-118.4971619,mQwXUxi3zflBOlz0rsM6Pw,BUBBA GUMP,301 SANTA MONICA PIER BLDG BLDG,SANTA MONICA,,,
3,Taqueria El Tapatio,,Mexican,92,4,$,34.208043,-118.623017,CfA2F3l4u5gucj4RqFwYsQ,TAQUERIA EL TAPATIO 1 INC.,22746 SATICOY ST,WEST HILLS,,,
4,Sinaloa Express,,Mexican,65,4.5,$,34.076933,-118.1686427,nIW3de4zQiJT28W-CxFz5A,SINALOA EXPRESS,5373 ALHAMBRA AVE,LOS ANGELES,,,
5,George's Coffee Shop,,"Coffee & Tea, Breakfast & Brunch, Asian Fusion",142,4,$,33.9936145,-118.395501,Jfe5XfzEuik99vKtHlEoKg,GEORGE'S COFFEE SHOP,5439 S SEPULVEDA BLVD,CULVER CITY,,,
6,Edvin's Custom Cakes,,Custom Cakes,1,5,,34.1331678,-118.2521996,bW9nN0dmwDpaDo0X7v07fg,EDVIN'S CUSTOM CAKE'S,1107 S GLENDALE AVE STE #A,GLENDALE,,,
7,Pupuseria Las Champas,,Latin American,19,3,$$,33.9722099,-118.24735,8Pa7ADob_PV3aOY71rld_g,LAS CHAMPAS,7508 S COMPTON AVE,LOS ANGELES,,,
8,USA Donuts & Croissants,,Donuts,13,3,$,33.9239997,-118.151592,-4JbAm3LFcZD6exe85zs4w,USA DONUTS & CROISSANTS,8009 E IMPERIAL HWY,DOWNEY,,,
9,El Pollo Loco,,"Fast Food, Mexican",143,2,$,34.1064751,-117.8270724,XTNUaP3u5qMg3RTLhccqXA,EL POLLO LOCO #5984,1006 W ARROW HWY,SAN DIMAS,,,
10,,,,,,,,,,38 DEGREE,100 W MAIN ST,ALHAMBRA,,,
11,Pioneer Chicken,,"Chicken Shop, Chicken Wings, Fish & Chips",431,4,$,33.9658441,-118.1519534,znNsBFBJW05Jq10718xc1w,PIONEER CHICKEN,6323 E FLORENCE AVE,BELL GARDENS,,,
12,Bee Donuts,,Donuts,9,3.5,$,33.8676034,-118.2658851,O4NARvNSJnhZTKDvtrUspg,BEE DONUTS,17948 S AVALON BLVD,CARSON,,,
13,Northgate Market,,"Grocery, Bakeries, Mexican",95,3,$$,33.90035629,-118.3430252,PYLhaTNnV3I2ZFjp7lyClA,NORTHGATE GONZALES MARKET #25 - FMR & PRODUCE,3930 W ROSECRANS AVE,HAWTHORNE,,,
14,,,,,,,,,,SPARE TIRE,5368 WILSHIRE BLVD,LOS ANGELES,,,
15,,,,,,,,,,EL SUPER #14 BAKERY,960 W ARROW HWY,COVINA,,,
16,Starbucks,,Coffee & Tea,54,3,$,34.12893855,-117.8834729,tSGG22SjepLYViZESk8NSA,STARBUCKS COFFEE COMPANY,1119 E ALOSTA AVE,AZUSA,,,
17,,,,,,,,,,NATURE'S SUNSHINE,428 S BROADWAY,LOS ANGELES,,,
18,Taco Bell,,"Mexican, Fast Food",47,2.5,$,33.869561,-118.125215,yKrDp8TAf0NdS_8cYW2x9w,TACO BELL/PIZZA HUT #28520,17900 BELLFLOWER BLVD,BELLFLOWER,,,
19,Victory Bread,,Bakeries,68,4.5,$,34.18682925,-118.4395591,u5hUywDqNHqGGQ02Kr7sAQ,VICTORY BREAD,14049 VICTORY BLVD,VAN NUYS,,,
20,Leung Kee,,"Chinese, Barbeque",312,3,$$,33.9953497,-117.8908139,vW3ClgotMZkUxV-LQDK7nw,LEUNG KEE CHINESE RESTAURANT,18908 GALE AVE,ROWLAND HEIGHTS,,,
21,El Caribe Mkt,,Grocery,4,4,$,34.0772122,-118.0479701,uFhm5uRsHcTyMef2TsWtTg,EL CARIBE LIQUOR MARKET,10201 E VALLEY BLVD,EL MONTE,,,
22,La Suprema Meat Market 2,,Grocery,13,4.5,,34.0199851,-117.9487526,cCjBV-5W29scgYPqGntO1Q,LA SUPREMA MEAT MARKET,16006 E MAIN ST,LA PUENTE,,,
23,El Toreo West,,Mexican,174,3.5,$$,34.58748,-118.14792,Xk4jHgYCsqBokC2gbkJMyg,EL TOREO WEST,38801 W 10TH ST W,PALMDALE,,,
24,Full House Buffet,,Buffets,25,2.5,$$,34.02193,-118.16291,YI3SLA5IdrbNjqHRTGyGFw,YOUNG DONG BUFFET,4917 WHITTIER BLVD,LOS ANGELES,,,
25,ToriYen Sushi Ramen Japanese Restaurant,,"Sushi Bars, Ramen",197,4,$$,34.25121703,-118.293603,I5Snm_F8dXU4G3HsZcMiQQ,TORIYEN JAPANESE RESTAURANT,7406 FOOTHILL BLVD,TUJUNGA,,,
26,Alondra's,,"Chicken Wings, Burgers, Pizza",1773,3,$$,34.092767,-118.132707,7E7MGCdW68XNOtYvPzgWjQ,ALONDRA HOTWINGS,515 W MAIN ST,ALHAMBRA,,,
27,Forbes Entertainment,,"Bars, Karaoke",40,3,$$,34.040222,-118.036071,inQNgmGAFUb6NGpbdinDYA,FORBES RESTAURANT,1536 PECK RD,SOUTH EL MONTE,,,
28,AMC Century City 15,,Cinema,908,3.5,,34.05765229,-118.4186098,wKf87agRGdeayWOzQhRYiA,AMC CENTURY CITY 15 LEVEL 2,10250 SANTA MONICA BLVD # 2000,LOS ANGELES,,,
29,Panera Bread,,"Sandwiches, Salad, Soup",226,3,$,33.898283,-118.006783,Gy_zc8YV3ZqHhdmXk9rLPA,PANERA BREAD,15224 ROSECRANS AVE,LA MIRADA,,,
30,Mariscos Las Islitas,,"Mexican, Seafood, Empanadas",145,2.5,$$,34.19430923,-118.4571457,W72F8R4DGeLua6vQPfi1Rw,MARISCOS LAS ISLITAS,14867 VANOWEN ST,VAN NUYS,,,
31,Los Taquitos,,Mexican,89,4,$,33.96113411,-118.3759287,_CsAkbq5UTLzACQNKnWUiQ,LOS TAQUITOS,1120 W FLORENCE AVE STE #B,INGLEWOOD,,,
32,,,,,,,,,,ALFREDOS,3337 1/2 SUNSET BLVD,LOS ANGELES,,,
33,Lily's Market and Deli,,Sandwiches,6,5,,34.0427899,-118.21892,y8_4hrCCkeqq9Jl4Hf6bRA,LILY'S MARKET,1814 E 4TH ST,LOS ANGELES,,,
