,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Stacked Eatery,,"Sandwiches, Burgers, Breakfast & Brunch",164.0,4.5,$$,34.155185,34.155185,liZTt96EX_TWUrbVGkfZqA,STACKED EATERY,15826 VENTURA BLVD # 110,ENCINO,
1,,,,,,,,,,GEKO-TEI,11410 E SOUTH ST,CERRITOS,
2,Yang's Restaurant,,Chinese,152.0,4.0,$$,33.9406518,33.9406518,x4qo7OfaSD5wLfQI8h9TdQ,YANG'S RESTAURANT,16244 E WHITTIER BLVD,WHITTIER,
3,Coffee Gram,,"Coffee & Tea, Delis, Juice Bars & Smoothies",52.0,5.0,$,34.0477222212369,34.0477222212369,HU4T5mEVOUnQHySG09wLkg,COFFEE GRAM,1243 S ALVARADO AVE # B-1,LOS ANGELES,
4,,,,,,,,,,JOSELITO'S,2345 HONOLULU AVE,MONTROSE,
5,El Picoso Restaurant,,Mexican,167.0,3.0,$,34.1176910400391,34.1176910400391,JlFJWPiAy7Ombj78cQEt4g,EL PICOSO,303 S AZUSA AVE,AZUSA,
6,Jack in the Box,,"Burgers, Fast Food, Tacos",48.0,2.0,$,33.9166986719035,33.9166986719035,KRJD_riMfaYRoQDJYlbwxw,JACK IN THE BOX #3169,12603 S NORWALK BLVD,NORWALK,
7,M's Kitchen,,"Chinese, Seafood, Soup",152.0,4.5,$,33.8654171,33.8654171,iJb81s3KL6YzbSDoHomYbA,M'S KITCHEN,18323 S PIONEER BLVD,ARTESIA,
8,Tacos Si Senor,,Mexican,102.0,3.5,$,34.70433,34.70433,hpz5UTO_2owOdVcLmaL5eQ,SI SENOR,1137 W AVENUE I,LANCASTER,
9,Tacos El Chilango,,Mexican,20.0,2.5,$,33.9581489,33.9581489,J21dm_JecZ6kHvYSc6JyBQ,TACOS EL TORITO,13405 E LAMBERT RD,WHITTIER,
10,Cafe Vidal,,Mexican,193.0,4.5,$,34.1479282,34.1479282,QEK0ADxDo3ggnFH1hgjrYQ,CAFE VIDAL,112 WILSON AVE,GLENDALE,
11,The Shuttle Inn,,Cocktail Bars,25.0,3.5,$,33.9171349,33.9171349,ACuKhqWIbIdYQOevlQeN9g,SHUTTLE INN,9067 E IMPERIAL HWY,DOWNEY,
12,The Wood,,"Coffee & Tea, Breakfast & Brunch, Burgers",789.0,3.5,$$,33.997466,33.997466,Kdadoi3Wf9gmTNhIDtnzAA,THE WOOD,12000 WASHINGTON BLVD,CULVER CITY,
13,Versailles Cuban Food,,"Cuban, Sandwiches, Seafood",2332.0,4.0,$$,34.02114,34.02114,ssAlyvM97hroBeVPVJPgwA,VERSAILLES,10319 VENICE BLVD,LOS ANGELES,
14,Gauchos Village,,"Brazilian, Steakhouses",1006.0,3.5,$$$,34.1474972418266,34.1474972418266,CSQ-E6wjWmDdT_6wYOKppw,GAUCHOS VILLAGE,135 N ARTSAKH AVE,GLENDALE,
15,La Golondrina Mexican Cafe,,"Mexican, Venues & Event Spaces, Bars",962.0,3.5,$$,34.0571939,34.0571939,EcWhh6JiQo7xkH70NPLGtw,LA GOLONDRINA,OLVERA ST W17,LOS ANGELES,
16,,,,,,,,,,FRESH BROTHERS,407 N PCH HWY STE 100,REDONDO BEACH,
17,Salt & Straw,,Ice Cream & Frozen Yogurt,2129.0,4.5,$$,34.075825,34.075825,ikF6L0HiC3_AhAiywWzS3g,SALT & STRAW,240 LARCHMONT AVE,LOS ANGELES,
18,,,,,,,,,,FAMILIA MARKET,10928 MAIN ST,EL MONTE,
19,Country Diner 2,,Diners,7.0,4.5,$,34.6897492843016,34.6897492843016,tohI3zMH7IzV3NRVszzqjw,COUNTRY DINER,1063 E AVE J # 101,LANCASTER,
20,El Zipote,,Salvadoran,66.0,2.0,$,34.0014381369484,34.0014381369484,IuiYzDr5d3IJjpMM_on8FQ,EL ZIPOTE,8662 E WHITTIER BLVD,PICO RIVERA,
21,Golden Ox,,Burgers,43.0,3.0,$,34.0557763,34.0557763,XXDNqJvQp16-hGWHV4HDXQ,GOLDEN OX BURGERS,1195 MISSION BLVD,POMONA,
22,Tacos Locos,,Mexican,82.0,4.0,$,34.0435604006052,34.0435604006052,o-ko-JgdtsLQo8EzcXke_Q,TACOS LOCOS,2148 W VENICE BLVD,LOS ANGELES,
23,C U Cafe & more,,"Karaoke, Taiwanese",28.0,4.0,$$,34.01019,34.01019,6hE-4wdJHOhUr8eiVrNPsw,CU CAFE & MORE,1121 HACIENDA BLVD,HACIENDA HEIGHTS,
24,Accent On Health,,Health Markets,29.0,4.5,$$,34.258573,34.258573,j79FPNnjVGXs14BpGbXNvQ,ACCENT ON HEALTH,18559 DEVONSHIRE ST,NORTHRIDGE,
25,,,,,,,,,,MAIN KITCHEN,2400 COUNTRY CLUB DR,GLENDORA,
26,,,,,,,,,,BRUXIES LLC,1412 3RD ST,SANTA MONICA,
27,,,,,,,,,,MC DONALDS REST,21901 ERWIN ST,WOODLAND HILLS,
28,BBQ Power,,"Barbeque, Chinese",4.0,3.0,,34.07982833,34.07982833,awcZyNlcqpHSNcgZfM6eGA,BBQ POWER,8450 E VALLEY BLVD STE 116,ROSEMEAD,
29,,,,,,,,,,CARDAMON,7233 BEVERLY BLVD,LOS ANGELES,
30,Eric's On The Pier,,"Fast Food, Hot Dogs",159.0,2.5,$$,33.343486,33.343486,owSKLeoejIfZm0LwfOk72w,ERIC'S ON THE PIER,4 GREEN PLEASURE PIER,AVALON,
31,,,,,,,,,,KACHI,231 9TH ST,LOS ANGELES,
32,,,,,,,,,,TIKKA,1 N INDIAN HL # D-104,CLAREMONT,
33,Boda Restaurant,,"Vietnamese, Chinese",167.0,4.0,$,34.0754221,34.0754221,2yHIu6T-YWBgV5zXGAjOHA,BODA RESTAURANT,2310 PASADENA AVE STE # 102,LOS ANGELES,
34,,,,,,,,,,10 - E,811 W 7TH ST,LOS ANGELES,
35,Art's Burgers,,Burgers,357.0,4.0,$,34.0673316771482,34.0673316771482,9ZjMBRCFIYsAUBnfcPbZjw,ART'S BURGER,11629 E VALLEY BLVD,EL MONTE,
36,El Pollo Loco,,"Fast Food, Mexican",68.0,2.5,$,34.25988,34.25988,mX2Lbx0YzpNAqHh1nOP_DA,EL POLLO LOCO,7851 FOOTHILL BLVD,SUNLAND,
37,Cafe Mimosa,,"Coffee & Tea, Bakeries, Breakfast & Brunch",95.0,4.0,$,34.084064329372,34.084064329372,F3MaEZuoHwyzhflZfK3OuQ,CAFE MIMOSA,395 S TOPANGA BLVD,TOPANGA,
38,Taco Nazo - Bellflower,,Tacos,3439.0,4.5,$,33.88856,33.88856,zyRFrQo4-WUfEO-K2cRgkQ,TACO NAZO,10316 E ALONDRA BLVD,BELLFLOWER,
39,Le Donuts,,"Breakfast & Brunch, Donuts, Sandwiches",32.0,4.0,$,34.1390991210938,34.1390991210938,GB0j_kENtY0txKwOgRYirg,LE DONUT,1802 E HUNTINGTON DR,DUARTE,
40,Frozen Sweet,,Ice Cream & Frozen Yogurt,51.0,5.0,$,34.1395452618599,34.1395452618599,8GqgFxXUJSeIp6d9hBtEHA,FROZEN SWEET,1428 HUNTINGTON DR # A,DUARTE,
