,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,El Pollo Loco,,"Fast Food, Mexican",84.0,2.5,$,34.11738,-118.15083,PJt9kISEDj7qYJSZH7J4nw,EL POLLO LOCO #3671,711 FAIR OAKS AVE STE #A,SOUTH PASADENA,,,
1,Wienerschnitzel,,"Fast Food, Hot Dogs, Sandwiches",40.0,2.5,$,33.9835866772423,-118.097287197783,ugfMANPdQdorpIUZcvWDEg,WIENERSCHNITZEL #679,6749 ROSEMEAD BLVD,PICO RIVERA,,,
2,Dollar Dollar,,,1.0,5.0,,33.9596862792969,-118.233665466309,OnENOUO8guQa_rM6N1MCjQ,DOLLAR DOLLAR,2150 FIRESTONE BLVD,LOS ANGELES,,,
3,CVS Pharmacy,,"Drugstores, Pharmacy, Convenience Stores",47.0,3.0,$$,33.8088554271437,-118.358418424606,fRF6TgvJmgyWOgg612Slrg,CVS PHARMACY #8852,4235 PACIFIC COAST HWY,TORRANCE,,,
4,Little Caesars Pizza,,"Pizza, Fast Food",54.0,2.5,$,34.2012549,-118.5893207,F1g_d0iBDGVAkK7mB_myaQ,LITTLE CAESAR,20907 SHERMAN WAY,CANOGA PARK,,,
5,El Rocoto,,Peruvian,847.0,4.0,$$,33.872128,-118.297651,Kp5O4YLvaQZM4IOoVrgaoA,EL ROCOTO,1356 W ARTESIA BLVD,GARDENA,,,
6,Medrano's Mexican Restaurant,,"Mexican, Karaoke, Venues & Event Spaces",142.0,3.0,$$,34.6878087,-118.1477591,wfGTEbzLnp9T_PzYb8TSnw,MEDRANO'S MEXICAN RESTAURANT,44276 10TH ST W,LANCASTER,,,
7,Dream Dinners,,"Specialty Food, Do-It-Yourself Food",21.0,5.0,$$,34.2852923113969,-118.500973487958,wB3sfWOBD8OLx6XBA46MUw,DREAM DINNERS,11852 3/4 BALBOA BLVD,GRANADA HILLS,,,
8,,,,,,,,,,VONS EXPRESS #2272,117 CATALINA AVE,AVALON,,,
9,Flo's Coffee Shop,,"Breakfast & Brunch, Coffee & Tea, Tex-Mex",157.0,4.0,$,34.13332367,-117.90988183,jnHz9Bs115rIwtDJqbpMaQ,FLO'S COFFEE SHOP AND RESTAU,248 W FOOTHILL BLVD,AZUSA,,,
10,Taco Pete,,Mexican,164.0,3.0,$,33.9235,-118.25466,y-PYylz4ZcPkg8ej1h_Yvw,TACO PETE #3,12007 S CENTRAL AVE,LOS ANGELES,,,
11,Cafe Sol,,"Mexican, American (Traditional)",25.0,3.5,$,34.0294778,-118.4728683,v1cl_6plvFBbhXj9S4hjEA,CAFE SOL,2425 COLORADO AVE STE #104,SANTA MONICA,,,
12,Woori Korean Restaurant,,Korean,53.0,4.5,$$,33.8575102150412,-118.063727599295,i1cvahDSnqOJMiixaACHsA,WOORI KOREAN,19143 BLOOMFIELD AVE,CERRITOS,,,
13,T's Lounge,,Dive Bars,23.0,3.5,$,34.1065750412867,-117.852129432123,Qrr46b8BR_p7ltQoozxlVQ,T'S LOUNGE,20612 E ARROW HWY,COVINA,,,
14,Boba Express,,"Coffee & Tea, Juice Bars & Smoothies",214.0,4.5,$,34.107079,-118.059168,wUhG8n_HMGu9eJyEyPtqLw,BOBA EXPRESS,9653 LAS TUNAS DR,TEMPLE CITY,,,
15,Pizza Hut,,"Pizza, Italian, Chicken Wings",75.0,1.5,$,33.932116121371,-118.2032666,2DJltFNaQiRcDohUyTFevg,PIZZA HUT,3601 E MLK JR BLVD,LYNWOOD,,,
16,,,,,,,,,,KIM'S UNICAL,3501 W 3RD ST,LOS ANGELES,,,
17,,,,,,,,,,HW HUNTER PAVILION,2551 W AVENUE H,LANCASTER,,,
18,,,,,,,,,,JACK'S LIQUOR MARKET,5101 GAGE AVE,BELL,,,
19,City Club Ice Cream Shop,,"Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",3.0,3.5,$,33.89644,-118.19123,DmeimtQyJbnf7JPS7PtsMw,CITY CLUB ICE CREAM SHOP,4631 E COMPTON BLVD,COMPTON,,,
20,Slider Stop,,"Burgers, Salad, Chicken Shop",562.0,4.0,$$,33.87316,-118.36922,bujpkGfApH20WV8EVLHLoQ,SLIDER STOP,2315 ARTESIA BLVD # 1,REDONDO BEACH,,,
21,Louisiana Famous Fried Chicken,,"Chicken Wings, Southern, Fish & Chips",8.0,3.5,$,34.0103785789654,-118.292414416156,Pd-hjBh_eQwqLhdoS8QIOA,KENTUCKY FRIED CHICKEN,1425 MARTIN LUTHER KING JR BLVD,LOS ANGELES,,,
22,Taco Bell,,"Fast Food, Mexican",34.0,3.5,$,34.088007,-117.890184,snlELniPxKPIj9fwGJRXsQ,TACO BELL,301 N CITRUS AVE,COVINA,,,
23,DeFranko's Submarines,,"Italian, Sandwiches, Salad",575.0,4.0,$,34.20765,-118.4835451,iv7ot8WuMdOsKD1-CJcQog,DEFRANKO'S,7532 WOODLEY AVE # 406,VAN NUYS,,,
24,,,,,,,,,,ASTROS BURGERS,3421 W BEVERLY BLVD,MONTEBELLO,,,
25,,,,,,,,,,RALPH'S BAKERY #165,5951 E DEL AMO BLVD,LAKEWOOD,,,
26,,,,,,,,,,A.L.L NATURAL HEALTH,928 S WESTERN AVE #327,LOS ANGELES,,,
27,Starbucks,,Coffee & Tea,59.0,3.5,$,33.812742,-118.367623,yQ4AE0Bi2di-8FscuV2bWQ,STARBUCKS COFFEE #5246,5005 PACIFIC COAST HWY,TORRANCE,,,
28,Robeks Fresh Juices & Smoothies,,Juice Bars & Smoothies,123.0,4.0,$,33.9557,-118.396443,hFI59E3zMtD6tHRIok_IJw,ROBEKS JUICE,8905 S SEPULVEDA BLVD,LOS ANGELES,,,
29,,,,,,,,,,SFS MAIN SNACK BAR,13963 E ALONDRA BLVD,SANTA FE SPRINGS,,,
30,Tacos Mexico,,Mexican,28.0,3.0,$,34.0165222,-118.1602935,aBDF03GkK192Et0HiACkcQ,JAVIER TACO MEXICO #1,5120 E OLYMPIC BLVD,LOS ANGELES,,,
31,,,,,,,,,,7&7 MARKET,10041 LAUREL CANYON BLVD UNIT 1,PACOIMA,,,
32,Boo's Philly Cheesesteaks - Koreatown,,"Sandwiches, Cheesesteaks, American (New)",676.0,4.0,$$,34.062046,-118.297417,GBwagy_9bBmyiSETCbYnkg,BOO'S PHILLY KTOWN,3377 WILSHIRE BLVD STE 103,LOS ANGELES,,,
33,The Home Depot,,"Nurseries & Gardening, Appliances, Hardware Stores",282.0,2.5,$$,34.1853086,-118.5943,9Ty8IxG2FWzQApVPVJl51w,THE HOME DEPOT # 6632,6345 VARIEL AVE,WOODLAND HILLS,,,
34,California Fiesta Tamales House,,Mexican,120.0,4.0,$,34.18343,-118.31217,st3ccxAndmq0I-cw1koGBA,CALIFORNIA FIESTA TAMALE HOUSE,201 E MAGNOLIA BLVD # 374,BURBANK,,,
