,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,El Taco Man,,Mexican,352.0,4.5,$,34.0614738464355,-118.023658752441,j8Vf8YXY2LPAiEAEwVbRhg,EL TACO MAN,11741 MAGNOLIA ST,EL MONTE,,,
1,Belwood Bakery Cafe,,"Bakeries, Cafes, Sandwiches",390.0,4.5,$,34.06513371655,-118.46948765075,Zzueg_h1VFtr-y0bGGBKCw,BELWOOD BAKERY,11625 BARRINGTON CT,LOS ANGELES,,,
2,Corner Bakery,,"Sandwiches, Breakfast & Brunch, Salad",423.0,3.0,$$,34.18596,-118.31508,qBymlcJM92S_J2YOOZ5HuQ,CORNER BAKERY CAFE,800 N SAN FERNANDO BLVD,BURBANK,,,
3,,,,,,,,,,CASA FOOD MART,11885 FOOTHILL BLVD,SYLMAR,,,
4,Green Farm Market,,"Grocery, Farmers Market",52.0,2.5,$,34.09138,-118.01352,3cjtyGgBU0qBdZAgp14RNw,GREEN FARM MARKET EL MONTE - MEAT DEPT,4840 N PECK RD,EL MONTE,,,
5,Feast From The East,,"Chinese, Asian Fusion",482.0,4.0,$$,34.0473288,-118.4348881,frW3mnSiB1MgY_ONdMHXEw,FEAST FROM THE EAST,1949 WESTWOOD BLVD,LOS ANGELES,,,
6,Planet Pansit,,"Filipino, Breakfast & Brunch, Specialty Food",121.0,4.0,$,34.0312473439749,-117.911732196808,3vKI-XUdr1_diMy0Q3fwyw,PLANET PANSIT,1559 E AMAR RD STE O,WEST COVINA,,,
7,,,,,,,,,,MAIN KITCHEN,1 INDUSTRY HILLS PKWY,CITY OF INDUSTRY,,,
8,La Adelita No 3,,Bakeries,12.0,3.0,$$,34.025302,-118.252975,JxZmdKJoGKAWpck7F7VqbA,LA ADELITA FOODS,1000 E WASHINGTON BLVD STE 108,LOS ANGELES,,,
9,,,,,,,,,,UNITED FAMILY ARCO #94678,362 N AZUSA AVE,LA PUENTE,,,
10,Ralphs,,Grocery,80.0,3.0,$$,34.170254,-118.570297,BU7VLjmV59-4i84ouiz16g,RALPHS MEAT MARKET #70,20060 VENTURA BLVD,WOODLAND HILLS,,,
11,The Village Idiot,,"Bars, American (Traditional), Gastropubs",1240.0,4.0,$$,34.08384,-118.35093,bL8ypAeHQR1VOZLFgmSR7g,THE VILLAGE IDIOT,7383 MELROSE AVE,LOS ANGELES,,,
12,Nabeeya,,"Sushi Bars, Japanese",335.0,4.5,$$,34.041565,-118.251176202377,vobM2Ootv9omVWblCWirDw,SUSHI NABEEYA,766 SANTEE ST,LOS ANGELES,,,
