,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Shrine,,"Karaoke, Korean",50.0,4.0,$$$$,34.06409,34.06409,l44JNnIsMrG-VQ2K4KtJ7A,SHRINE,2999 W 6TH ST BM,LOS ANGELES,
1,,,,,,,,,,EUREST CANTEEN GAS CO,555 W 5TH ST,LOS ANGELES,
2,,,,,,,,,,LAS MARAVILLAS RESTAURANT PUPUSERIA,7908 EASTERN AVE,BELL GARDENS,
3,McDonald's,,"Burgers, Fast Food, Coffee & Tea",112.0,2.0,$,34.0364018848072,34.0364018848072,nskFsbm4Ruj7jqDDLtoCrQ,MCDONALD'S 5213,1185 DURFEE AVE,SOUTH EL MONTE,
4,Winchester Room,,"Dive Bars, Karaoke",50.0,4.0,$,34.168344,34.168344,Ma2Yv2gqRSicYd_zfv7LHw,WINCHESTER ROOM,6522 SAN FERNANDO RD,GLENDALE,
5,Salsa House,,Mexican,57.0,4.5,$,34.09547,34.09547,Uk7KUKKpc2LEL-jDuebGdg,SALSA HOUSE,17026 E CYPRESS ST UNIT B,COVINA,
6,Denny's,,"Diners, Breakfast & Brunch, American (Traditional)",216.0,3.0,$,34.1943373071772,34.1943373071772,mulLa-3r6RJhe4gkHNYK9Q,DENNY'S #7802,2525 N HOLLYWOOD WAY,BURBANK,
7,31 Ten Lounge,,"Lounges, Pizza, Cocktail Bars",378.0,3.0,$$,33.997578,33.997578,ZGq8zgqllVuLwhuLj44iig,31TEN LOUNGE,3110 MAIN ST STE 132,SANTA MONICA,
8,MOD Pizza,,"Pizza, Fast Food",346.0,4.0,$,34.0273714669718,34.0273714669718,rRCFPncyt3piAy7oqnfbTA,MOD PIZZA,8985 VENICE BLVD,LOS ANGELES,
9,O T Liquor,,"Beer, Wine & Spirits",2.0,5.0,$,34.0268,34.0268,Ha5yOsgLTOCyL6WJJilEiQ,O T LIQUORS,1920 E OLYMPIC BLVD,LOS ANGELES,
10,Hummus Republic,,"Mediterranean, Vegetarian, Salad",117.0,3.5,$,34.045092,34.045092,G-scWUkDalR3HkFZnyNxMQ,HUMMUS REPUBLIC,225 W 7TH ST,LOS ANGELES,
11,Costco Wholesale,,Wholesale Stores,230.0,3.0,$$,34.03291,34.03291,0STC4p3oMf6oLbb1RMP0-g,COSTCO WHOLESALE #459 MEAT,1345 N MONTEBELLO BLVD,MONTEBELLO,
12,,,,,,,,,,MELROSE UMBRELLA CO.,7463 MELROSE AVE,LOS ANGELES,
13,Subway,,Sandwiches,32.0,3.5,$,34.2752235769655,34.2752235769655,ncFUmOcsLhbFFZgEjKoWFA,PORTER RANCH SUBWAY,19753 RINALDI ST,PORTER RANCH,
14,Sunny's Sushi Hut,,"Japanese, Sushi Bars",527.0,4.0,$$,34.1718431977569,34.1718431977569,3VdHsaHa4517IlV7m_nwgA,SUNNY'S SUSHI HUT,11672 BURBANK BLVD,NORTH HOLLYWOOD,
15,Sunset Thai Cuisine,,"Thai, Coffee & Tea, Seafood",337.0,3.5,$$,34.0981549,34.0981549,TuoznwsbwX87ufjOTbV30w,SUNSET THAI,7513 W SUNSET BLVD,LOS ANGELES,
16,,,,,,,,,,40-LOVE,1515 N GLENOAKS BLVD,BURBANK,
17,Panera Bread,,"Sandwiches, Salad, Soup",236.0,3.0,$$,33.9424095,33.9424095,7fJmxU62h3tSNcIVdoadig,"PANERA,LLC# 1016",15620 WHITTWOOD LN,WHITTIER,
18,El Valle Oaxaqueno,,Bakeries,31.0,3.5,$$,34.0440063476562,34.0440063476562,rILBRqxjt_T45qMj0cM4uA,EL VALLE OAXAQUENO MARKET,1601 S VERMONT AVE STE #104,LOS ANGELES,
19,Lee's Tofu,,"Korean, Barbeque, Soup",347.0,3.5,$$,33.8887803,33.8887803,0dUzxNMUrOCBWlfl3uJsiQ,LEE'S TOFU RESTAURANT,1743 W REDONDO BEACH BLVD,GARDENA,
20,La Hacienda,,Mexican,44.0,4.0,$$,33.93428,33.93428,xNfe35m0m7Opzvg7uQhJRw,LA HACIENDA RESTAURANT,5009 ABBOTT RD,LYNWOOD,
