,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city
0,,,,,,,,,,,BORU'S MARKET,5957 S SAN PEDRO ST,LOS ANGELES
1,Seaside Grill And Cafe,,7,2.5,$$,"Mediterranean, Hookah Bars",33.83908,-118.38511,pEPnoUn27AdBO_cI8-BaiA,,SEASIDE GRILL AND CAFE,234 S PACIFIC COAST HWY # 102,REDONDO BEACH
2,,,,,,,,,,,ALPHA DISCOUNT,309 W ARBOR VITAE ST,INGLEWOOD
3,Soho House West Hollywood,,374,4.5,$$$$,"Middle Eastern, Cocktail Bars, Venues & Event Spaces",34.08980116,-118.3928111,mfRAMQGOdQk_v1CmjXq3Eg,,SOHO TERRACE BAR,9200 W SUNSET BLVD,WEST HOLLYWOOD
4,Sweet Frog Premium Frozen Yogurt,,113,4.5,$,Ice Cream & Frozen Yogurt,34.57413,-118.045793,mOfsl8x0kCN55IomdZxtQw,,SWEET FROG,38029 E 47TH ST E STE A,PALMDALE
5,,,,,,,,,,,BREWWELL COFFEE,6515 SUNSET BLVD,LOS ANGELES
6,Pop Boba,,177,3.5,$,"Desserts, Coffee & Tea, Bubble Tea",33.8209564,-118.3522223,R-yeNn609VJeBQ6Ujyv-Ug,,POP BOBA,22749 HAWTHORNE BLVD,TORRANCE
7,Ralphs,,123,3,$$,"Grocery, Drugstores, Bakeries",33.89612304,-118.3944992,jvlyz3sgEfMRumVIAlITGA,,RALPHS #166 BAKERY DEPT,2700 N SEPULVEDA BLVD,MANHATTAN BEACH
8,The Fifth,,174,4,$,"Lounges, Dive Bars",34.15862215,-118.4062672,yEdvSmy3p8XjWdaO2XknIg,,THE FIFTH,4821 WHITSETT AVE,VALLEY VILLAGE
9,AMC Rolling Hills 20,,395,3,,Cinema,33.79174,-118.3293,xRHKfn9rXLYzL-9et9Yt3g,,AMC ROLLING HILLS 20,2591 AIRPORT DR,TORRANCE
10,Antojitos Cuquio,,1,5,$,"Desserts, Ice Cream & Frozen Yogurt",33.945168,-118.2166595,Xt0bRw8kmj4ugCxEzGB4XQ,,ANTOJITOS CUQUIO,3100 TWEEDY BLVD,SOUTH GATE
11,Sun Donut,,4,3.5,$,Donuts,34.0403651,-118.189659,c5Iwyea1y2xyh121XjQSKg,,SUN DONUT,3484 E CESAR E CHAVEZ AVE,LOS ANGELES
12,Fair Market,,13,4.5,$,Grocery,34.0072199,-118.48434,TXgcsqnJ4DX-x62zq4c6sw,,FAIR MARKET,2225 4TH ST,SANTA MONICA
13,Chevron Stations,,16,2.5,,Gas Stations,34.03437,-118.27155,ikoAf9sqOkYowbnQnq0OrA,,CHEVRON FOOD MART,525 W WASHINGTON BLVD,LOS ANGELES
14,Los Paisas 1 Mini Market,,1,5,,"Beer, Wine & Spirits, Grocery",33.97911866,-118.241005,qj3IgdgTGIQmORmtL4iDgQ,,LOS PAISAS #1 MINI MARKET,6618 HOLMES AVE,LOS ANGELES
15,K2 Market,,1,3,,Grocery,34.6841247,-118.1478551,bdSbA-LBhNDHq-dfSnUyPg,,K-2 MARKET,44116 W 10TH ST W # 111,LANCASTER
16,Mother's Nutritional Centers,,5,3.5,,"Grocery, Health Markets",33.930571,-118.287455,#NAME?,,MOTHER'S NUTRITION CENTER209,700 W IMPERIAL HWY # 104-5,LOS ANGELES
17,Ok Liquor,,3,5,$$,"Beer, Wine & Spirits",33.83901596,-118.0822372,zF9AGB9YxTQp8edDzKBAAQ,,OK LIQUOR,20915 PIONEER BLVD,LAKEWOOD
18,Quick Stop Wine Market Liquor,,126,4.5,$$,"Beer, Wine & Spirits",33.87323592,-118.3695474,Ai2mV0BNRHBSNk4qecyFow,,QUICK STOP MARKET,2301 ARTESIA BLVD STE 5,REDONDO BEACH
