,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Gen Korean BBQ House,,"Korean, Barbeque, Asian Fusion",5398,4,$$,33.805338,33.805338,C6rP97tf5yi7INJCUH9A5w,GEN KOREAN BBQ,24301 CRENSHAW BLVD,TORRANCE,
1,Denny's,,"Diners, Breakfast & Brunch, American (Traditional)",92,2.5,$,34.0207864,34.0207864,U8Gfec-186rQ93-3jbLdCQ,DENNY'S,15553 E VALLEY BLVD,LA PUENTE,
2,Ten Ren's Tea Time,None,"Bubble Tea, Taiwanese",272,3.5,$,33.9959544,33.9959544,,TEA LAB,18912 E GALE AVE STE #A,ROWLAND HEIGHTS,
3,El Botanitas,,"Mexican, Seafood, Cocktail Bars",40,2.5,$$,33.931955,33.931955,k14x6AsgKlzbEB33wVCUwQ,EL BOTANITAS,3614 MLK JR BLVD,LYNWOOD,
4,Polly's Pies Restaurant,,"Bakeries, American (Traditional), Breakfast & Brunch",346,3.5,$$,33.87495,33.87495,ouxSotRraoDXHGHvquM-fA,POLLY'S PIES,17198 S NORWALK BLVD,CERRITOS,
5,Chinatown Express,,Chinese,16,3,$,34.095,34.095,xY9YOYp76MmXVaV3Yivr1g,CHINATOWN EXPRESS,1320 N VINE ST,LOS ANGELES,
6,Moun Of Tunis Restaurant,,"Moroccan, African, Halal",271,4,$$,34.098451,34.098451,u8U8Zc1Se_gY30zNeOTSqg,MOUN OF TUNIS,7445 SUNSET BLVD # B,LOS ANGELES,
7,Castaway,,Venues & Event Spaces,1859,3.5,,34.2043474,34.2043474,vez1Tfa8hnGMBr1hJCuZjQ,CASTAWAY,1250 E HARVARD RD,BURBANK,
8,,,,,,,,,,BLU TUSK,2114 S SAWTELLE BLVD # 211,LOS ANGELES,
9,Starbucks,,Coffee & Tea,70,3,$$,34.066695,34.066695,hK68zFka1b4QEpWG62MY_A,STARBUCKS,9811 SANTA MONICA BLVD,BEVERLY HILLS,
10,R & R Soul Food Restaurant,,"Soul Food, Southern",526,3.5,$$,33.86225756,33.86225756,jmuHtdZGmytkvO6R5s7z4Q,R & R SOUL FOOD,18427 S AVALON BLVD,CARSON,
11,Banh Mi,,"Vietnamese, Sandwiches",370,4,$$,34.0011001,34.0011001,wRaNjp6XeL10V2mJ2je10A,BANH MI,307 LINCOLN BLVD,VENICE,
12,,,,,,,,,,COFFEE COLAB,305 E 8TH ST 103,LOS ANGELES,
13,Fonda Don Chon,,"Mexican, Buffets, Breakfast & Brunch",1969,4.5,$$,34.07838,34.07838,iUHHuZmrMZJQLHL_eCQSIQ,FONDA DON CHON,618 SHOPPERS LN,COVINA,
14,,,,,,,,,,MAGDALENO DEBBIE,OLVERA ST E17,LOS ANGELES,
15,,,,,,,,,,CAFE CREPE,1460 3RD ST,SANTA MONICA,
16,Ten Ren's Tea Time,,"Chinese, Bubble Tea, Desserts",342,3.5,$,34.00964647,34.00964647,kUumKscKuHG-Rw_ttMUdSw,TEN RENS TEA TI ME,20311 VALLEY BLVD E,WALNUT,
17,Cafe Momo,,"American (Traditional), Breakfast & Brunch, Buffets",21,3.5,$,33.91548756,33.91548756,4LybhiKlQdoW_ZPvrlcT0w,CAFE MOMO,12440 E IMPERIAL HWY,NORWALK,
18,Cafe Bravo,,"Middle Eastern, Mediterranean, Armenian",911,4,$$,34.1649318,34.1649318,OI8pxsQ7ktNQkomjn74X4A,CAFE BRAVO,1133 GLENOAKS BLVD #A,GLENDALE,
19,Meet in Paris,,"French, Breakfast & Brunch, Beer, Wine & Spirits",1562,4,$$,34.0219647,34.0219647,byuWxWTmdw-vfJw29B9MoA,MEET,9727 CULVER BLVD,CULVER CITY,
20,,,,,,,,,,FOOD SYSTEMS INC.,2350 E 223RD ST,CARSON,
21,Bread Lounge,,Bakeries,755,4.5,$$,34.034325,34.034325,bCynbdA4wd_uc9M5RefVmA,BREAD LOUNGE,700 S SANTA FE AVE,LOS ANGELES,
22,Domino's Pizza,,Pizza,71,2.5,$,34.139133,34.139133,OZSYKcqAlcA9N6YEXsp9kg,DOMINO'S PIZZA,1802 E HUNTINGTON DR STE #B,DUARTE,
23,Cafe Dulce,,"Coffee & Tea, Bakeries, Cafes",2171,4,$,34.04886,34.04886,8rVWoDNS6JO-5uXOD3VyXw,CAFE DULCE,134 S JAPANESE VILLAGE PLZ,LOS ANGELES,
24,,,,,,,,,QhgbU_CYdfYAq3gYBHmrEg,CORAL CAFE,3321 W BURBANK BLVD,BURBANK,
25,La Cabana Restaurant,,Mexican,843,3.5,$$,34.00098448,34.00098448,OE6YkMl3WY8zA5kSsTFZqQ,LA CABANA,738 ROSE AVE,VENICE,
26,Steak ’n Shake,,"Burgers, Fast Food, American (Traditional)",603,2.5,$$,34.0146504,34.0146504,39NODk79ni7799xln_lIIw,STEAK & SHAKE,1455 W 3RD ST,SANTA MONICA,
