,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Little Cave,,Lounges,248.0,3.5,$$,34.1106758117676,-118.190147399902,gjrVPCqcaXh7wYoWu7cvPw,THE CAVE,5922 N FIGUEROA ST,LOS ANGELES,,,
1,Chevron,,Gas Stations,18.0,2.0,,34.0716710534089,-117.788356952369,9zipjSt96E8SHVnK4TWjQQ,FAIRPLEX CHEVRON,1515 FAIRPLEX DR,POMONA,,,
2,7-Eleven,,"Convenience Stores, Coffee & Tea",7.0,2.0,$,33.77956533,-118.39101733,q0cpPm4CFrtGWZOEm4SZsg,7-ELEVEN #16184,28041 HAWTHORNE BLVD,RANCHO PALOS VERDES,,,
3,24 Hour Fitness - Sherman Oaks,,"Gyms, Trainers",603.0,2.5,,34.154959,-118.467317,XPIUoFcZQeRJKi1mjfFi4w,24 HOUR FITNESS,15301 VENTURA BLVD,SHERMAN OAKS,,,
4,,,,,,,,,,GLENOAKS MUNICIPAL GOLF COUR,200 W DAWSON AVE,GLENDORA,,,
5,Black Angus Steakhouse,,"Steakhouses, American (Traditional), Seafood",586.0,3.0,$$,33.8535364,-118.1346062,nsMT0ocKAnqjelB5UZw5Tw,"BLACK ANGUS STEAKHOUSE, LLC",5000 E CANDLEWOOD ST,LAKEWOOD,,,
6,Jimmy's Burgers,,Burgers,304.0,4.5,$,34.2059038,-118.3880583,34-jeD-uZsAlxxkNy3WNGw,JIMMY'S BURGER,7441 LANKERSHIM BLVD,NORTH HOLLYWOOD,,,
7,Avenue A Bar & Grill,,"American (Traditional), Sports Bars",216.0,4.0,$$,33.82841,-118.38528,c2pNqDyC41tomsEz2HpjGQ,AVENUE A BAR & GRILL,800 S PACIFIC COAST HWY STE 9,REDONDO BEACH,,,
8,Nevera Juice Bar,,"Juice Bars & Smoothies, Sandwiches, Acai Bowls",245.0,4.5,$,33.9313497868985,-118.147023842246,Zk_xSmDViZIUzcbP-vZsyw,RESTAURANT JUICE BAR,12121 PARAMOUNT BLVD,DOWNEY,,,
9,Jamba Juice,,Juice Bars & Smoothies,114.0,3.0,$,34.391898,-118.573167,LPoI_3RG93zVo9R-My7rzw,JAMBA JUICE #066,25888 THE OLD RD,STEVENSON RANCH,,,
10,,,,,,,,,,SHU FENG YUAN,18459 E COLIMA RD,ROWLAND HEIGHTS,,,
11,Terroni,,"Italian, Pizza",1161.0,3.5,$$,34.0762749,-118.3555375,_99S24U4pTduqpiJOEMD8w,TERRONI,7605 BEVERLY BLVD,LOS ANGELES,,,
12,Lemonade,,"American (New), Sandwiches, Salad",464.0,4.0,$$,34.0642722,-118.4690313,iCZjQPADbk9sYHNvjef2Zg,LEMONADE,145 S BARRINGTON AVE,LOS ANGELES,,,
13,The Flame Broiler,,"Asian Fusion, Korean",91.0,3.0,$,34.0488417488642,-118.258718177676,tf-2NFbwXd3rjds7YBiUiw,THE FLAME BROILER RESTAURANT,659 S FLOWER ST,LOS ANGELES,,,
14,,,,,,,,,,CI LIQUOR AND MARKET,1658 W CARSON ST STE D,TORRANCE,,,
15,El Pollo Loco,,"Fast Food, Mexican",87.0,1.5,$,33.98945,-118.2909,a_Ak5gsTd8MP2DZlEksJ0Q,EL POLLO LOCO #5919,5800 S VERMONT AVE,LOS ANGELES,,,
16,Panda Express,,"Chinese, Fast Food",99.0,2.0,$,33.975004,-118.232957,xpr-5bMRNqLs323iansjLQ,PANDA EXPRESS #1552,2120 E FLORENCE AVE,HUNTINGTON PARK,,,
17,800 Degrees Neapolitan Pizzeria,,"Pizza, Salad",136.0,2.5,$$,33.9438213824,-118.410170786,LpkjM_scxrNBqLVY9MV6Tw,800 DEGREES PIZZERIA,380 WORLD WAY T31,LOS ANGELES,,,
18,Woodland Hills Country Club,,"Golf, Venues & Event Spaces, Country Clubs",69.0,4.5,,34.1571465953025,-118.59149966627,VEJpQ08wvRB5aL31ehutNQ,W H COUNTRY CLUB SNACK BAR,21150 DUMETZ RD,WOODLAND HILLS,,,
19,Sunset Tower Hotel,,Hotels,236.0,4.0,$$$,34.09505,-118.37209,YjwmWL_Alf-1nnqSObKGRw,SUNSET TOWER HOTEL - RESTAURANT BAR,8358 SUNSET BLVD,WEST HOLLYWOOD,,,
20,Thai Curry,,Thai,259.0,4.5,$$,33.8956393,-118.1599351,b9Xm26LTjTxIPPiR_TS_vg,THAI CURRY RESTAURANT,15120 S PARAMOUNT BLVD,PARAMOUNT,,,
21,,,,,,,,,,HAMJIPARK DAUGHTER RESTAURAN,3407 W 6TH ST STE 101-C,LOS ANGELES,,,
22,Target,,"Department Stores, Furniture Stores, Electronics",240.0,2.5,$$,33.9853,-118.394695,NAAQ1xxhxGHou-2vS04fTw,TARGET STORE-FOOD CRT T2632,6000 SEPULVEDA BLVD STE 2250,CULVER CITY,,,
23,Pins Grill At Oak Tree Lanes,,"Pizza, Burgers",1.0,3.0,,34.035612907335,-117.805136738711,62iV7xCjdQBeMMKqILL7UQ,OAK TREE LANES,990 N DIAMOND BAR BLVD,DIAMOND BAR,,,
24,Taco Bell,,"Fast Food, Mexican",48.0,3.0,$,34.1406108222178,-118.07366162519,kQP7dt7nCP0NeoGkl5yBPg,TACO BELL #3147,333 S ROSEMEAD BLVD,PASADENA,,,
25,Barbarita Restaurant,,"Mexican, Latin American",20.0,4.5,$,33.9527870377276,-118.356112204492,F86KHOI23rc6TBCrs8DQoA,RESTAURANT BARBARITA,125 W ARBOR VITAE ST,INGLEWOOD,,,
26,Sushi Avenue,,"Sushi Bars, Japanese",118.0,4.0,$$,33.91861,-118.41505,HmG4HrftbADFI5TqW-jzWQ,SUSHI AVENUE,130 E GRAND AVE STE STE K,EL SEGUNDO,,,
27,,,,,,,,,,DREAM ON,13755 FIJI WAY,MARINA DEL REY,,,
28,Bill's Taco House #4,,Mexican,28.0,2.5,$,33.89558,-118.22238,Q21V6HAfacBtft7cc45hwg,BILL'S TACO HOUSE #4,162 E COMPTON BLVD STE A,COMPTON,,,
29,Hot Salsa,,Mexican,62.0,3.0,$,33.903062,-118.1690049,z6RS_QXKuuHYJNmxz_HpqA,HOT SALSA,14327 GARFIELD AVE,PARAMOUNT,,,
30,Andre's Italian Restaurant,,"Italian, Pizza",1230.0,4.0,$,34.0711906,-118.3599417,-CW_jNF0-x1RAhlGjX3JUg,ANDRE'S ITALIAN RESTAURANT & PIZZERIA,6332 W 3RD ST # 18-10,LOS ANGELES,,,
31,La Esperanza Restaurant and Bakery,,"Bakeries, Mexican, Salvadoran",756.0,4.5,$$,33.818252,-118.3086751,GkSi5j38TDNypoPSt6tpgQ,LA ESPERANZA RESTAURANT,22832 S WESTERN AVE,TORRANCE,,,
32,Birrieria Chalio,,Mexican,89.0,2.0,$$,33.97134,-118.07099,ID0YLNAYEwPntJx_6026Qw,BIRRIERIA CHALIO,11300 E WASHINGTON BLVD,WHITTIER,,,
