,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Gen Korean BBQ House,,"Korean, Barbeque, Asian Fusion",5426.0,4.0,$$,33.805338,-118.328352,C6rP97tf5yi7INJCUH9A5w,GEN KOREAN BBQ,24301 CRENSHAW BLVD,TORRANCE,,,
1,Denny's,,"Diners, Breakfast & Brunch, American (Traditional)",92.0,2.5,$,34.0207864,-117.9586692,U8Gfec-186rQ93-3jbLdCQ,DENNY'S,15553 E VALLEY BLVD,LA PUENTE,,,
2,Ten Ren's Tea Time,,"Bubble Tea, Taiwanese",273.0,3.5,$,33.9959544,-117.889903,XklGt4-kkLa9GRxMwDYFAw,TEA LAB,18912 E GALE AVE STE #A,ROWLAND HEIGHTS,,,
3,El Botanitas,,"Mexican, Seafood, Cocktail Bars",40.0,2.5,$$,33.931955,-118.2037977,k14x6AsgKlzbEB33wVCUwQ,EL BOTANITAS,3614 MLK JR BLVD,LYNWOOD,,,
4,Polly's Pies Restaurant,,"Bakeries, American (Traditional), Breakfast & Brunch",347.0,3.5,$$,33.87495,-118.0723,ouxSotRraoDXHGHvquM-fA,POLLY'S PIES,17198 S NORWALK BLVD,CERRITOS,,,
5,Chinatown Express,,Chinese,16.0,3.0,$,34.095,-118.32632,xY9YOYp76MmXVaV3Yivr1g,CHINATOWN EXPRESS,1320 N VINE ST,LOS ANGELES,,,
6,Moun Of Tunis Restaurant,,"Moroccan, African, Halal",273.0,4.0,$$,34.098451,-118.352524,u8U8Zc1Se_gY30zNeOTSqg,MOUN OF TUNIS,7445 SUNSET BLVD # B,LOS ANGELES,,,
7,Castaway,,Venues & Event Spaces,1857.0,3.5,,34.2043474003288,-118.303187138913,vez1Tfa8hnGMBr1hJCuZjQ,CASTAWAY,1250 E HARVARD RD,BURBANK,,,
8,,,,,,,,,,BLU TUSK,2114 S SAWTELLE BLVD # 211,LOS ANGELES,,,
9,Starbucks,,Coffee & Tea,70.0,3.0,$$,34.066695,-118.410275,hK68zFka1b4QEpWG62MY_A,STARBUCKS,9811 SANTA MONICA BLVD,BEVERLY HILLS,,,
