,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Smart & Final Extra!,,Grocery,47.0,3.0,$$,34.159901,-118.3451904,vqgXouPTZ7kzBy3tH4Y52g,SMART & FINAL EXTRA!#941 - FOOD MARKET,3830 W VERDUGO AVE,BURBANK,,,
1,Royal Donuts,,Donuts,6.0,4.0,$,33.81866,-118.28626,qvZo4n2jbMxAkPIqnmy6-A,ROYAL DONUTS,22811 S FIGUEROA ST,CARSON,,,
2,Amapola Deli & Market,,"Grocery, Delis",41.0,3.0,$,33.9104216,-118.1691082,6Of5GYvT0MlJ243ddes8Jw,AMAPOLA DELI & MARKET,13733 GARFIELD AVE,PARAMOUNT,,,
3,Best Buy Hawthorne,,"Computers, Electronics, Mobile Phones",247.0,2.5,$$,33.89741,-118.36549,VKmnxfLHsVfVVaNMzriNvQ,BEST BUY # 104,5000 W 147TH ST,HAWTHORNE,,,
4,Frio Pete Chevron,,Gas Stations,9.0,4.5,,33.97117,-118.37818,EmDOXwiXF8dU_BMu-5-nLQ,PETER FRIO&SON-CHEVRON,7360 LA TIJERA BLVD,LOS ANGELES,,,
5,Five Guys,,"Burgers, Fast Food",256.0,3.5,$,33.81530420662575,-118.350352,j7XFktO_oiYpXldKI0S5Gg,FIVE GUYS BURGERS & FRIES #606,23240 HAWTHORNE BLVD,TORRANCE,,,
6,Taco Bell,,"Fast Food, Mexican",77.0,2.5,$,34.128747,-117.863531,ywgbXFV1xJaI4Ft3sOV3Og,TACO BELL #27889,116 E ROUTE 66,GLENDORA,,,
7,Wingstop,,Chicken Wings,302.0,2.0,$,33.8078312,-118.2726696,giEQJq36i4yP7ifzWjYUJg,WINGSTOP RESTAURANT,212 E SEPULVEDA BLVD STE P4-B,CARSON,,,
8,,,,,,,,,,VIRGILS,520 N GLENDALE AVE,GLENDALE,,,
9,Jim's Famous Quarterpound Burger,,"Burgers, Ice Cream & Frozen Yogurt, Sandwiches",383.0,4.0,$,34.131783,-118.018178,tnO7WVqcQMFpI9mAxLrKmA,JIM'S FAMOUS 1/4 LB BURGERS,915 W DUARTE RD,MONROVIA,,,
10,,,,,,,,,,AGUA SMART LOS PRIMOS,3857 E WHITTIER BLVD #E,LOS ANGELES,,,
