,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,New India's Oven,,Indian,361,3.5,$$,33.986593,33.986593,fNepJlcekm1xOZ-LC4VI7Q,NEW INDIA'S OVEN,13444 MAXELLA AVE,MARINA DEL REY,,,
1,Asia Kitchen,,"Chinese, Asian Fusion",61,3,$,34.011917,34.011917,D5Zo6W0n0PiJZ9Y5r5RENQ,ASIA KITCHEN,11279 VENICE BLVD,LOS ANGELES,,,
2,El Ranchero,,"Mexican, Breakfast & Brunch",32,3.5,$,33.94343277,33.94343277,ZWWcvwjGyB4QVM34FcD4oA,EL RANCHERO MEXICAN FOOD,4070 TWEEDY BLVD STE #B,SOUTH GATE,,,
3,Captain Tony's Pizza & Pasta Emporium,,Pizza,60,3.5,$,34.6895,34.6895,z4GxbGkHwlAKLzbALDgoDw,CAPTAIN TONYS PIZZA & PASTA  EMPORIUM,135 E J AVE,LANCASTER,,,
4,208 Rodeo,,"American (New), French, Seafood",798,3.5,$$$,34.0671885,34.0671885,Pm2XIvuYeOXa_FxoGdMEQg,208 RODEO,208 N RODEO DR,BEVERLY HILLS,,,
5,,,,,,,,,,RUBEN AND SONS,2040 W ROSECRANS AVE # 63,GARDENA,,,
6,Oto-Oto Izakaya Japonaise,,"Japanese, Bars, Sushi Bars",434,3.5,$$,34.0697208,34.0697208,Mltip1Q3CHWVbmv0LyxrUA,OTO-OTO JAPENESE RESTAURANT,2686 E GARVEY AVE S,WEST COVINA,,,
7,The Best Burger,,American (Traditional),48,3.5,$,33.96923,33.96923,GLyaVBs1YuzlpsqxFKLsjw,THE BEST BURGER,7730 S WESTERN AVE,LOS ANGELES,,,
8,El Salvadoreno Pupuseria,,Salvadoran,150,4,$,34.06573,34.06573,GRNHXQHAwFO65zu5xYXi3A,EL SALVADORENO,3130 PECK RD,EL MONTE,,,
9,,,,,,,,,,NICOLES GOURMET FOODS,921 MERIDIAN AVE # B,SOUTH PASADENA,,,
10,Black Angus Steakhouse,,"Steakhouses, American (New), Seafood",533,3,$$,34.236832,34.236832,ZwlxV_2CGdhLpMZxuQEABQ,BLACK ANGUS STEAKHOUSE REST.,9145 CORBIN AVE,NORTHRIDGE,,,
11,Nuoc Mia Vien Dong,,"Vietnamese, Chinese, Fast Food",56,4,$,34.0613699,34.0613699,b83Www-xYZOAjrjh2vaGCw,NUOC MIA VIEN DONG,8150 GARVEY AVE STE #117B,ROSEMEAD,,,
12,Super Tortas,,Mexican,86,4,$,34.21526,34.21526,yErIE4_mCGvaRgT9VdZ9lQ,SUPER TORTSAS 2,7951 VINELAND AVE,SUN VALLEY,,,
13,,,,,,,,,,RUBIO'S FRESH MEXICAN GRILL,2000 N SEPULVEDA BLVD,MANHATTAN BEACH,,,
14,Sherman Oaks Little League,,Sports Clubs,3,5,,34.16481502,34.16481502,GpY4GwUITdKVOeBm1PWBIA,SHO LITTLE LEAGUE SNACK BAR,14230 MAGNOLIA BLVD,SHERMAN OAKS,,,
15,Milo and Olive,,"Pizza, Bakeries, Italian",1761,4,$$,34.03757,34.03757,ANoWhBWNVDy_syuwZqh2BA,MILO & OLIVE,2723 WILSHIRE BLVD,SANTA MONICA,,,
16,Tep Thai,,Thai,367,3.5,$$,34.14821243,34.14821243,clL79cMWtSTF-cV2ltSxcg,TEP THAI,209 W WILSON AVE,GLENDALE,,,
17,Gish Bac Restaurant,,"Mexican, Breakfast & Brunch",73,3.5,$$,34.040138,34.040138,UPuGlJvngKuTmz-0-ssqVA,GISH BAC RESTAURANT,4163 W WASHINGTON BLVD,LOS ANGELES,,,
18,Pauline's Premier Sweets,,"Chocolatiers & Shops, Gift Shops",73,5,$$,34.1650401,34.1650401,1K7_4WA_gl4C9SBjSGpzoQ,PAULINE'S HANDMADE BRITTLE,1926 W OLIVE AVE,BURBANK,,,
19,Callender's Grill,,"American (Traditional), Breakfast & Brunch",391,3.5,$$,34.06267367,34.06267367,YYoqawLeMiAMxp2NrvERAA,MARIE CALLENDER'S,5773 WILSHIRE BLVD,LOS ANGELES,,,
20,Hong Kong Express 2,,Chinese,16,4,$,34.03959,34.03959,ISy9aIQaPalGZ3nHwwbl8A,HONG KONG EXPRESS #2,1905 S WESTERN AVE STE #1,LOS ANGELES,,,
