,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,7-Eleven,,Convenience Stores,3.0,5.0,,34.03306,-118.2999,s0azl-UfmdBRvVu4AQ_67g,7-ELEVEN STORE - 39807A,1691 W ADAMS BLVD,LOS ANGELES,,,
1,,,,,,,,,,DISTRIC MARKET,317 S BROADWAY ST # 25,LOS ANGELES,,,
2,Azteca Mexican,,Mexican,1.0,4.0,,34.6007846543817,-118.140118941665,ZxZV0frPOcL9I535iRycRQ,AZTECA MEXICAN RESTAURANT,550 W RANCHO VISTA BLVD,PALMDALE,,,
3,Oceana Seafood,,Seafood,49.0,4.0,$$,34.0257771,-118.2841401,WcYCPSe3WaIggnsz5NnRgw,OCEANA SEAFOOD,3201 S HOOVER ST # 1845,LOS ANGELES,,,
4,,,,,,,,,,SHAWNS LIQUOR MARKET,6101 AVALON BLVD,LOS ANGELES,,,
5,"Fatto a Mano, The Pasta Shop",,"Pasta Shops, Pizza, Italian",511.0,4.5,$$,33.83734983,-118.381385,pdkhgRUIjcBGJUyemWJCsw,FATTO A MANO THE PASTA SHOP,610 TORRANCE BLVD,REDONDO BEACH,,,
6,Vallarta Supermarkets,,Grocery,80.0,3.5,,34.218177,-118.606982,oFuIZtdiRFyBAJgcr6U4Cg,VALLARTA SUPERMARKET #112 - ISLA,8201 TOPANGA CANYON BLVD,CANOGA PARK,,,
7,The Cake House,,"Custom Cakes, Bakeries, Desserts",27.0,4.5,,34.16791333,-118.60006667,GPAqp_0mPWXeEff_p2R0OQ,THE CAKE HOUSE,21606 VENTURA BLVD,WOODLAND HILLS,,,
8,,,,,,,,,,GNCK VITAMIN,1315 S GRAND AVE UNIT 100,GLENDORA,,,
9,SuKarne - Premium Meats,,Meat Shops,3.0,5.0,,34.0184679,-118.1474558,vKBAv-8pT4DGezqFSAC3zg,SUKARNE,5729 WHITTIER BLVD,LOS ANGELES,,,
10,Potato Hut,,"Fast Food, Chicken Wings",15.0,4.0,,34.41398,-118.55664,n2vCXTjIHRkaMn6ZH0uDHA,POTATO HUT,24201 VALENCIA BLVD # 9010,VALENCIA,,,
11,Fruta Mania,,"Juice Bars & Smoothies, Sandwiches",13.0,4.0,$,34.0118141382985,-117.924515477139,2lBc9SQCP3Wy3khThUdUoQ,FRUTA MANIA,591 S AZUSA,LA PUENTE,,,
12,,,,,,,,,,BON APPETTIT DELI & CAFE,1801 CENTURY PARK STE 660,LOS ANGELES,,,
13,,,,,,,,,,YIMOYA CATERING INC.,3510 S BROADWAY STRA,LOS ANGELES,,,
14,Korean Red Ginseng,,Herbs & Spices,3.0,4.5,,34.0529,-118.29548,XKheJrJ5PbTzcwPFSV8-pw,"JUNG KWAN JANG / PREMIUM GINSENG SOLUTIONS, INC.",2837 W OLYMPIC BLVD # B,LOS ANGELES,,,
15,Frostbites Crepes & Frozen Delights,,"Desserts, Ice Cream & Frozen Yogurt, Creperies",299.0,4.5,$,33.8327005,-118.352557,mZG0xAQYy3lFKESgxsv9Fg,FROSTBITES CREPES & FROZEN DELIGHTS,21540 HAWTHORNE BLVD # 520B,TORRANCE,,,
16,,,,,,,,,,WESTERN REFINING RETAIL,3820 SIERRA HWY,ACTON,,,
17,,,,,,,,,,FUEGO SECOND STREET PROMENADE,205 E SECOND ST,POMONA,,,
18,,,,,,,,,,CJ'S URBAN CAFE,1015 S CROCKER ST,LOS ANGELES,,,
19,Hilton Garden Inn Arcadia/Pasadena Area,,Hotels,96.0,3.0,$$,34.1418499059704,-118.02581979895,HKm5a6BzeO7OjDOHO3ix8Q,HILTON GARDEN INN,199 N 2ND AVE,ARCADIA,,,
20,Earthen Restaurant,,"Chinese, Taiwanese, Korean",903.0,4.0,$$,33.9923787372682,-117.93333604815,TXsw3t4AzSoUsMHI4XmOLQ,EARTHEN CHINESE RESTAURANT,1639 S AZUSA AVE,HACIENDA HEIGHTS,,,
21,,,,,,,,,,HONEYBEE BURGER,1820 N VERMONT AVE,LOS ANGELES,,,
22,Lupita's Mexican Restaurant,,Mexican,136.0,3.5,$,34.07644,-118.15275,R693BuBNgTxUZk2pVEbr6A,LUPITA MEXICAN FOOD,2620 W VALLEY BLVD,ALHAMBRA,,,
23,Shiso Sushi Bar,,Sushi Bars,71.0,4.5,$$,34.20871117,-118.388177,xkcVzl5WFp4GkKefEAI27g,SHISO SUSHI BAR,11713 SATICOY ST,NORTH HOLLYWOOD,,,
24,Brewin’ Coffee,,"Coffee & Tea, Bakeries, Donuts",20.0,4.5,,34.059917,-118.444829,hUnt9K7Ir1V7X5go5SKBiA,BREWIN' COFFEE,1145 WESTWOOD BLVD,LOS ANGELES,,,
25,Mizlala,,"Falafel, Middle Eastern",320.0,4.5,$$,34.03221,-118.36072,DYmSjWNUbU5tyo_gQ7PO5g,MIZLALA,5400 W ADAMS BLVD,LOS ANGELES,,,
26,Waffa's Kitchen,,Mediterranean,418.0,4.5,$$,34.1361449,-117.8675673,6OczaGrXa9z15wtmd5DU8A,WAFFAS MEDITERREAN KITCHEN,221 W FOOTHILL BLVD,GLENDORA,,,
27,Town Hof and Thanks Chicken,,"Chicken Shop, Korean, Beer Bar",20.0,5.0,$$,34.04933,-118.30859,9T2siQj4ET92dQ_XGae71g,TOWN HOF RESTAURANT,1144 S WESTERN AVE STE 107,LOS ANGELES,,,
28,Thai By Trio,,Thai,153.0,4.0,$$,34.02688,-118.27618,4lf6VPVwHR92favXJfpvlQ,THAI BY TRIO,2700 S FIGUEROA ST,LOS ANGELES,,,
29,Farm District Marketplace,,"Health Markets, Sushi Bars, Pizza",73.0,4.5,,34.1510325407697,-118.25617980212,wOgEqebC6w_jGqYzrIcs6Q,FARM DISTRICT MARTKETPLACE,328 N ORANGE ST,GLENDALE,,,
30,,,,,,,,,,ESTRELLA #1,7825 STATE ST,HUNTINGTON PARK,,,
31,,,,,,,,,,GOOD FORTUNE SUPERMARKET,13321 ARTESIA BLVD,CERRITOS,,,
32,Angry Chickz,,"Southern, Comfort Food, Chicken Shop",927.0,4.5,$$,34.102039,-118.299858,mcHP3IfI1b7bXJZKD6PLHA,ANGRY BIRDZ CHICKEN,5065 HOLLYWOOD BLVD # 102,LOS ANGELES,,,
33,,,,,,,,,,SHELL-WESTERN REFINING RETAIL LLC #68624,911 W CARSON PKWY,TORRANCE,,,
34,Boba Ave 8090,,"Coffee & Tea, Bubble Tea, Juice Bars & Smoothies",898.0,3.5,$,34.07763,-118.10085,-BmmTYy7fuk5YcpqZMPVHg,BOBA AVE 8090,140 W VALLEY BLVD # 118B,SAN GABRIEL,,,
35,KIIN Thai Eatery,,"Thai, Asian Fusion",352.0,4.0,$$,34.1741144,-118.3290761,Y_wDxXYPBfzjmVgFrnxN6Q,SIAM SMILE THAI RESTAURANT,1907 1/2 W MAGNOLIA BLVD,BURBANK,,,
36,,,,,,,,,,DISTRIBUIDORA INDEPENDIENTE YOUNGEVITY,7212 PACIFIC BLVD STE A,WALNUT PARK,,,
37,,,,,,,,,,LITTLE WEST SHOP,342 S LA BREA AVE,LOS ANGELES,,,
38,Kreation Organic Juicery,,Juice Bars & Smoothies,37.0,3.0,$$,34.09272,-118.3383,D3O9dMsEAutTZ_-MTAkQWQ,KREATION 719,1200 N HIGHLAND AVE,LOS ANGELES,,,
39,Homestyle Donuts,,"Coffee & Tea, Donuts, Bagels",32.0,4.0,$,33.9490192,-118.0895904,W8DsqoMV_sZg5byBnS7i6Q,HOMESTYLE DONUTS,11425 TELEGRAPH RD,SANTA FE SPRINGS,,,
40,,,,,,,,,,BIBI'S BAKERY AND CAFE,5450 W PICO BLVD # 204,LOS ANGELES,,,
41,The Poke Co & Wings,,"Poke, Hawaiian, Bubble Tea",168.0,4.5,$$,34.11327,-117.82827,RCHOrzIrBmrvJ0rfUIgSrQ,THE POKE CO & WINGS,1046 W GLADSTONE ST,SAN DIMAS,,,
42,The Walk in Closet,,"Used, Vintage & Consignment, Thrift Stores",14.0,4.5,$,33.9372061329819,-118.3266141988,76FqSjtWiEd0HLFpGI6rqA,THE WALK IN CLOSET,13430 CRENSHAW BLVD,GARDENA,,,
43,PokeCeviche,,"Poke, Seafood, Asian Fusion",30.0,4.5,,34.00075167,-118.48215567,WNP4OspDeyQ7AxW9sLoiwA,POKE CEVICHE,2715 MAIN ST,SANTA MONICA,,,
44,Compagnon Wine Bistro,,"French, Wine Bars",203.0,4.5,$$,33.737706,-118.284469,8VSgnSrawlzC7uO4CQgz_A,COMPAGNON WINE BISTRO,335 W 7TH ST,SAN PEDRO,,,
45,La Michoacana USA,,Ice Cream & Frozen Yogurt,9.0,3.0,,33.9041473307871,-118.084529808158,QwmKZlSWhCbApVfzLkwFYw,LA ORIGINAL MICHOACANA USA,11689 THE PLAZA,NORWALK,,,
46,Temple City Shell,,"Gas Stations, Convenience Stores",5.0,3.5,$$,34.0990295410156,-118.075531005859,-eq_FIa9xnYAWa-i4I5Qhg,TEMPLE CITY SHELL #415,9010 BROADWAY,TEMPLE CITY,,,
47,Dot & Dough,,"Donuts, Bakeries, Desserts",417.0,4.0,$,34.06402,-118.134654,8_PRFw9NM0vP6hC7WSpEpQ,DOT & DOUGH,141 N ATLANTIC BLVD STE 102,MONTEREY PARK,,,
48,,,,,,,,,,MAYFAIR HOTEL - SPEAK EASY BAR (2ND FLOOR),1256 W 7TH ST,LOS ANGELES,,,
49,Santa Monica Shell,,"Gas Stations, Convenience Stores",66.0,2.5,$$,34.0445324587418,-118.453383520246,1KGuVgsj313gumJbYism1w,SANTA MONICA DISCOUNT STORE,11550 SANTA MONICA BLVD,LOS ANGELES,,,
