,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Lee's Garden,,Taiwanese,148.0,4.0,$,34.077203,-118.133624,psX_9k1VDHnlephqtNiTSg,LEE'S GARDEN,1428 S ATLANTIC BLVD,ALHAMBRA,,,
1,The Tenderloin Restaurant,,Steakhouses,157.0,3.0,$$,34.11348,-117.766837,-2NHPq0MhC03_-ja3Lfxtw,THE TENDERLOIN,2080 E FOOTHILL BLVD,LA VERNE,,,
2,,,,,,,,,,ALTADENA DRIVE-IN DAIRY,437 E ALOSTA AVE,GLENDORA,,,
3,Edible Arrangements,,"Gift Shops, Chocolatiers & Shops, Florists",25.0,3.0,$$,33.9876637,-118.212914,i2vCMxENcGeWlKKk08IIlA,EDIBLE ARRANGEMENT,5945 STATE ST,HUNTINGTON PARK,,,
4,El Huarique,,Peruvian,468.0,4.5,$$,33.988507,-118.474756,c1C7eb3SRfbsKUXPvRyIGA,EL HUARIQUE VENICE BEACH,1301 OCEAN FRONT WALK STE 10,VENICE,,,
5,Irish Import Shop,,"Jewelry, Imported Food, Gift Shops",34.0,4.5,$$,34.0845836,-118.3264751,YOWUv6Trmnn05Bmgegn9rQ,IRISH IMPORT SHOP,742 N VINE ST,LOS ANGELES,,,
6,Tacos Al Pastor,,Mexican,113.0,4.0,$,34.09105,-118.30227,AfjDejIQnCOhFFMxZFWExQ,TACOS AL PASTOR,5179 SANTA MONICA BLVD,LOS ANGELES,,,
7,Florentine Gardens,,Dance Clubs,164.0,2.5,$$,34.1023799,-118.31987,OlVXR3LYQ4ht8WNvYMvFpg,FLORENTINE GARDENS,5951 HOLLYWOOD BLVD,LOS ANGELES,,,
8,CVS Pharmacy,,"Drugstores, Pharmacy, Convenience Stores",227.0,2.0,$$,34.1598,-118.344,ON5TSRlTOLtf1BpZp9PF0w,CVS/PHARMACY #9795,511 N HOLLYWOOD WAY,BURBANK,,,
