,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Alexandra's Table,,Caterers,17.0,5.0,,34.096400232206,-118.10779094696,bgh5Tduw8C_IIsfA6QtWGQ,ALEXANDRA'S TABLE,413 S MISSION DR,SAN GABRIEL,,,
1,,,,,,,,,,PANERA BREAD CAFE #4862,501 WILSHIRE BLVD,SANTA MONICA,,,
2,Hana Haru Restaurant,,"Sushi Bars, Japanese",203.0,3.5,$$,33.9211467,-118.4162735,xEQZ2dEOg2RtJ4rz_o-PTQ,HANA HARU,409 MAIN ST,EL SEGUNDO,,,
3,Rose & Vine,,American (New),120.0,4.5,$$,34.08414,-118.3264751,2PzAOp6DzEgfT5k_0-Jkpg,ROSE & VINE,724 VINE,LOS ANGELES,,,
4,S & S Market,,"Beer, Wine & Spirits",1.0,5.0,,33.953166237914,-118.241717232055,TpgYpyxrimgLO_3K_hzzkw,S&S MARKET,1752 E 92ND ST,LOS ANGELES,,,
5,Kumano Sushiya,,"Japanese, Sushi Bars",155.0,4.0,$$,33.7597228,-118.3127903,JXKNVOAq0ickmeUF4GBzIA,KUMANO SUSHIYA,28621 S WESTERN AVE,RANCHO PALOS VERDES,,,
6,Burritos La Palma - El Monte,,Mexican,497.0,4.5,$,34.095815,-118.011821,n9dUEE2RNzvJB-dvZJE4Wg,LA PALMA,5120 N PECK RD,EL MONTE,,,
7,Rice Things,,"Japanese, Sushi Bars",992.0,3.5,$,33.8731529684421,-118.367999931548,jWs_UXMwvUv5IxSnDZVCQg,RICE THINGS,2401 ARTESIA BLVD STE 105,REDONDO BEACH,,,
8,,,,,,,,,,AUNTI ANNE'S CA146,344 STONEWOOD ST # 6-9,DOWNEY,,,
9,Castaic Union 76,,"Gas Stations, Convenience Stores",15.0,3.5,$$$$,34.49602,-118.62483,c7N7Y2fm7O4N5rUu5hGNYw,UNOCAL 76,31786 THE OLD RD,CASTAIC,,,
10,South Pacific Mkt,,Grocery,1.0,1.0,,33.731761932373,-118.287406921387,ffRzlVKH7nDgcvr_yf7O3A,SOUTH PACIFIC MARKET,1330 S PACIFIC AVE C,SAN PEDRO,,,
11,Cozy Inn,,Dive Bars,242.0,4.0,$,34.0094687,-118.4129915,X6VXEXBlpAQ_h_-NAIxhmQ,COZY INN,11155 WASHINGTON PL,CULVER CITY,,,
12,Tacomiendo,,Mexican,494.0,4.0,$,33.9948548,-118.4175322,XaZ_ELfr1AoNgJn0Hiy8Gw,TACOMIENDO,4502 INGLEWOOD BLVD,CULVER CITY,,,
13,Lisa's Coffee Shop,,"Breakfast & Brunch, American (Traditional)",650.0,4.0,$,34.08865,-117.921878,XaSBny-P96DG8yhmUVqKJA,LISAS COFFEE SHOP,1530 W SAN BERNARDINO RD,COVINA,,,
14,Mondo Taco,,"Mexican, American (New), Comfort Food",856.0,4.0,$,34.0270863958879,-118.475330437991,2f60qfk4wjMp_Xqc-i6vFA,MONDO TACO,2200 COLORADO AVE STE F,SANTA MONICA,,,
15,La Adelita,,Mexican,194.0,4.0,$,34.1457618,-117.9995259,i0jgiYrmT-XripS6ZpVqjQ,LA ADELITA MEXICAN RESTAURAN,134 E COLORADO BLVD,MONROVIA,,,
16,Media Wine & Spirits,,"Beer, Wine & Spirits",16.0,3.5,$$,34.08386,-118.35206,Z809UUaEg32atSIDmpCYBg,MEDIA WINE & SPIRITS,7435 MELROSE AVE,LOS ANGELES,,,
17,Northgate Market,,"Grocery, Bakeries, Mexican",60.0,2.5,$,33.9646911621094,-118.223983764648,AN0qxIZG5WeDiFOSCFyGsA,NORTHGATE MARKET - MEAT,2633 SANTA ANA ST,SOUTH GATE,,,
18,Buffalo Wild Wings,,"Chicken Wings, Sports Bars, American (Traditional)",562.0,2.5,$$,34.1446972,-118.2548151,BJ7vdfiuzktyDeOtV6tfGg,BUFFALO WILD WINGS #3662,142 S BRAND BLVD,GLENDALE,,,
19,Daily Doughnut House,,Donuts,1.0,4.0,,33.8874778747559,-118.249313354492,oN5HkqU19AiwUEKDRzqJ-g,DAILY DONUT HOUSE,906 S CENTRAL AVE,COMPTON,,,
20,West Hills Hospital & Medical Center,,Medical Centers,500.0,2.5,,34.202726,-118.629518,30ZsYsbNybj7AT1YB2W3Fg,WEST HILLS HOSPITAL & MEDICAL CENTER KITCHEN & CAFE,7300 MEDICAL CENTER DR,WEST HILLS,,,
21,Target,,"Department Stores, Furniture Stores, Electronics",135.0,3.5,$$,34.190907,-118.626444,YCU77R_Beu_sWU6_1NGChA,STARBUCKS- INSIDE TARGET #228,6635 FALLBROOK AVE,WEST HILLS,,,
22,La Pasadita Meat Market,,Meat Shops,18.0,4.0,$,33.89668,-118.29228,ZXg-rmS0CSNqhsVJ8hJ3Yw,SUPER CARNES LA PASADITA,14823 S VERMONT AVE,GARDENA,,,
23,Master Burger,,"Burgers, Breakfast & Brunch, Mexican",114.0,3.0,$,34.0031,-118.30929,Yq7DDzkfMEWPQO_xrUJarA,MASTER BURGER,4419 S WESTERN AVE,LOS ANGELES,,,
24,Benihana,,"Japanese, Sushi Bars, Soup",1422.0,3.0,$$$,34.015678,-118.493885,2CmFkpw_GYH-XLNLChPB3A,BENIHANA,1447 4TH ST,SANTA MONICA,,,
25,,,,,,,,,,BOTTLE ROCK,1050 S FLOWER ST STE 167,LOS ANGELES,,,
26,Super Dollar,,Grocery,1.0,5.0,,33.7865753173828,-118.262466430664,ZJJqdbs3329PEMTRe_H-0Q,SUPER DOLLAR STORE,1162 N AVALON BLVD,WILMINGTON,,,
27,Beers N Wings,,"Sports Bars, Pizza, Chicken Wings",380.0,3.5,$$,34.221045,-118.572469,6wecg0pKEn1ywt3yQk6H5w,BEERS N WINGS,20141 ROSCOE BLVD,WINNETKA,,,
28,A & O Liquor Store,,"Beer, Wine & Spirits",9.0,2.0,$,34.15621,-118.33519,w-V9wiZ0uojPZTf3J9y0tA,A & O STUDIO LIQUOR,3117 W OLIVE AVE,BURBANK,,,
