,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Yiannis Greek Restaurant,,"Greek, Mediterranean",128.0,3.5,$$,34.0960139,-117.7177451,lgO3Zsijjc0sTuKpwI8NsQ,YIANNI S GREEK RESTAURANT,238 N YALE AVE,CLAREMONT,,,
1,City Spa & Health Center,,"Gyms, Day Spas",39.0,4.0,$$,34.04864,-118.35446,sD0vbVraROKbOwBXCuSdVg,CITY SPA CAFE,5325 W PICO BLVD,LOS ANGELES,,,
2,,,,,,,,,,FRESH DAY CAFE,7900 W SUNSET BLVD,LOS ANGELES,,,
3,Burrito Factory,,Mexican,116.0,3.0,$,33.7268199,-118.287665,o63QrxtynQ8Z1UeuSSnD1A,BURRITO FACTORY,1902 S PACIFIC AVE,SAN PEDRO,,,
4,R+D Kitchen,,"American (New), Burgers",1315.0,4.0,$$,34.03206,-118.49578,wRUZC0DjqLCV3hX0laZILw,R AND D KITCHEN,1323 MONTANA AVE,SANTA MONICA,,,
5,Sushi Counter At Ralphs,,"Sushi Bars, Japanese, Vegetarian",2.0,4.0,,34.0655136108398,-118.133666992188,77LCBnfeIuDZORca5NmcXQ,AFC SUSHI @ RALPHS 715,330 N ATLANTIC BLVD,MONTEREY PARK,,,
6,Wendy's Place,,"Diners, Breakfast & Brunch",353.0,4.0,$,33.919138,-118.416311,1hKIBIaGs9qT48Zo7jMWVQ,WENDY'S PLACE,107 W GRAND AVE,EL SEGUNDO,,,
7,Pizza Hut,,"Pizza, Italian, Chicken Wings",119.0,2.0,$,34.040077,-118.465040395999,jpwWuArQhUFYKS0qLDMmZQ,PIZZA HUT #026176,12217 SANTA MONICA BLVD,LOS ANGELES,,,
8,Arco,,"Gas Stations, Convenience Stores",12.0,3.0,$,34.17812,-118.13153,ANORHrktfFEggDY8XvG05w,ARCO FOOD MART,1880 N LAKE AVE,ALTADENA,,,
9,Hi Family,,"Chinese, Soup",254.0,4.0,$$,34.106272264829,-117.733183228406,eouO2pgYNaKg3zf1Amk19A,HI FAMILY,944 W FOOTHILL BLVD,CLAREMONT,,,
10,Carl's Jr,,"Fast Food, Burgers",78.0,2.0,$,33.9969921830193,-117.870891166253,7eiBGeoYwXGZU4yk6aMjnA,CARL'S JR #7398,19782 E WALNUT DR,ROWLAND HEIGHTS,,,
11,,,,,,,,,,THE ARC LOS ANGELES & ORANGE,9545 WASHBURN RD,DOWNEY,,,
12,Edible Arrangements,,"Gift Shops, Florists, Chocolatiers & Shops",89.0,3.5,$$,34.07633,-118.37503,zwFWc9PBHVJ4t3gQNxVEtg,EDIBLE ARRANGEMENTS - 250,8453 BEVERLY BLVD,LOS ANGELES,,,
13,,,,,,,,,,ROYAL LIQUOR,1508 W SUNSET BLVD,LOS ANGELES,,,
14,,,,,,,,,,SAN DIMAS SENIOR CENTER,201 E BONITA AVE,SAN DIMAS,,,
15,Yogurtland West Covina,,Ice Cream & Frozen Yogurt,187.0,4.0,$,34.067971,-117.931446,9LTr6MvisjG_j13BY4yw0A,YOGURTLAND WEST COVINA,1000 W WEST COVINA PKWY,WEST COVINA,,,
16,Menchie's,,"Ice Cream & Frozen Yogurt, Desserts",71.0,4.0,$,33.941758,-118.046477,g_5pdH7QliOmZ9QDAZzZmw,MENCHIE'S #MEN-107,10122 CARMENITA RD,WHITTIER,,,
17,Daphne's Desserts,,"Cafes, Coffee & Tea, Bakeries",205.0,5.0,$,34.17183,-118.43066,JFk4gr1qbjWVOwu23m5dig,DAPHNE'S DESSERTS,13646 BURBANK BLVD,SHERMAN OAKS,,,
18,Restaurante El Mirador,,Salvadoran,11.0,3.0,$,34.04755,-118.29455,sbOfpkpCNN_U_wv3YayapA,EL MIRADOR RESTAURANT,1250 S CATALINA ST,LOS ANGELES,,,
19,Good Grill Express,,"Mexican, Seafood, American (Traditional)",38.0,3.0,$$,34.03897,-118.25569,rbcOzsLyUv4D8H1VyfKhcQ,GOOD GRILL RESTAURANT,210 E OLYMPIC BLVD STE 127,LOS ANGELES,,,
20,Sweet Lady Jane Bakery,,"Bakeries, Desserts, Custom Cakes",424.0,4.0,$$,34.15787,-118.49091,75JIxDKh3aLm3bGgYi1TyQ,SWEET LADY JANE,16403 VENTURA BLVD #C,ENCINO,,,
21,Shanghai Express,,Chinese,8.0,3.0,$,34.1393951,-117.9835599,NQL0VDItCKa7IwaeQaZZXA,HONGKONG EXPRESS HUNTINGTON,1018 E HUNTINGTON DR,DUARTE,,,
22,Phillips Bar B Que,,Barbeque,205.0,3.5,$$,33.9767641,-118.3655114,1WkYibAohA05AjfX7mfXGw,PHILLIPS BAR-B-QUE II,1517 CENTINELA AVE,INGLEWOOD,,,
