,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
193,El Tarasco,,Mexican,113.0,3.0,$,33.9312210083008,33.9312210083008,WoyneT8MeWqr0u1ns0hOHg,EL TARASCO,4675 W IMPERIAL HWY,INGLEWOOD,
194,All Indian Sweets and Snacks,,"Indian, Grocery",233.0,4.0,$,33.83976,33.83976,zEZAiyhDGY7okjoZYA7qEw,ALL INDIAN SWEETS & SNACKS,20916 HAWTHORNE BLVD,TORRANCE,
195,Hansol Lunchbox,,Korean,7.0,4.5,,34.056809,34.056809,MFmJXFFwppqPtS-7It7sbg,HANSOL LUNCHBOX,2520 W 8TH ST STE 101,LOS ANGELES,
196,,,,,,,,,,LANCER'S,697 N VICTORY BLVD,BURBANK,
197,,,,,,,,,,YC GINSENG & HERB,443 W GARVEY AVE STE #B,MONTEREY PARK,
198,Chipotle Mexican Grill,,"Mexican, Fast Food",327.0,3.5,$,34.2374706022105,34.2374706022105,UAextREPh5irJvgjX30iBQ,CHIPOTLE MEXICAN GRILL #629,9205 RESEDA BLVD,NORTHRIDGE,
199,Lupita's Bakery,,"Bakeries, Custom Cakes",135.0,3.5,$$,33.97429,33.97429,HQoJNMj2pkistgNYbGniQA,LUPITA'S BAKERY,1848 W FLORENCE AVE,LOS ANGELES,
200,Hagop Restaurant,,Middle Eastern,26.0,4.0,$$,34.1498169,34.1498169,cYyZZKrwpHjZjwgPYo21hQ,HAGOP RESTAURANT,14228 VENTURA BLVD,SHERMAN OAKS,
201,Corona Beach House Lax,,"Bars, Mexican",56.0,2.5,$$,33.9414131217083,33.9414131217083,xZO9lKu-TiA0mzuTLjtFMA,CORONA BEACH HOUSE,800 WORLD WAY # 8C,LOS ANGELES,
202,Poquito Mas,,"Mexican, Salad",211.0,3.0,$,34.0321,34.0321,NP2xuOnsAAFkr8MAWdWGdw,POQUITO MAS,2025 WILSHIRE BLVD # #A,SANTA MONICA,
203,Tony's Bella Vista Restaurant & Pizzeria,,"Pizza, Italian",416.0,4.0,$$,34.1695315,34.1695315,1vKk83e8-mF_K7jcsEc_tw,BELLA VISTA,3116 W MAGNOLIA BLVD,BURBANK,
204,Hoi Yeung,,Seafood Markets,31.0,4.5,$$,34.0607639,34.0607639,MK0VewTIJx7juWRKVxaahw,HOI YEUNG SEAFOOD MARKET,716 N BROADWAY,LOS ANGELES,
205,Little Caesars Pizza,,"Pizza, Fast Food",34.0,2.0,$,33.9039200006304,33.9039200006304,u6x33jWawmSpkV-A8x1ytw,LITTLE CAESARS #5728,8526 1/2 E ROSECRANS AVE,PARAMOUNT,
206,Starbucks,,Coffee & Tea,104.0,3.0,$$,33.9852986,33.9852986,FRMy2SrDWs1-QrJXSYsRXw,STARBUCKS #20139,11270 WHITTIER BLVD,WHITTIER,
207,,,,,,,,,,CBS STUDIO CENTER CARLAS CAF,4024 RADFORD AVE,STUDIO CITY,
208,,,,,,,,,,ACE SUSHI @ ALBERTSON'S # 6594,220 E BONITA AVE,SAN DIMAS,
209,,,,,,,,,,CERRITOS GAS & MART,11004 SOUTH ST,CERRITOS,
210,Subway,,Sandwiches,25.0,2.0,$,34.020658694302,34.020658694302,bMj-2vZKEtnqKR23pAgzyA,SUBWAY SANDWICHES,10401 VENICE BLVD STE #102,LOS ANGELES,
211,El Nuevo Mirador Restaurant,,"Mexican, Salvadoran",9.0,3.5,$,34.04754,34.04754,UyB7b_hAqVLMuG0apmgY8g,EL NUEVO MIRADOR,2705 W PICO BLVD,LOS ANGELES,
212,Pizza Hut,,"Pizza, Italian, Chicken Wings",77.0,2.0,$,34.2565224999225,34.2565224999225,6pXqN3_ftluPkn7MWBusJA,PIZZA HUT,10231 RESEDA BLVD,NORTHRIDGE,
213,Panaderia La Mexicana,,Bakeries,24.0,4.5,$,34.067234,34.067234,kmgsV_TbF8MXRijjsGQfTg,PANADERIA LA MEXICANA,13914 E FRANCISQUITO AVE STE B&C,BALDWIN PARK,
214,Tarzana Tech,,"IT Services & Computer Repair, Electronics Repair",42.0,5.0,,34.169354,34.169354,CtsxJ2FhehVut_SpWUXv9A,TARZANA CIRCLE K,18524 VENTURA BLVD,TARZANA,
215,Pacific Wheel Pizza,,"Pizza, Burgers, Ice Cream & Frozen Yogurt",11.0,2.0,$,34.0085755,34.0085755,xAh6xLadU5OASDbIhxX7hw,PACIFIC PARK -  WHEEL PIZZA COMPANY,380 SANTA MONICA PIER,SANTA MONICA,
216,,,,,,,,,,EUREST DINING SERVICES 22475,2060 W IMPERIAL HWY,EL SEGUNDO,
217,Sprouts Farmers Market,,"Grocery, Health Markets, Organic Stores",210.0,3.5,$$,34.13982,34.13982,YFd1qFKIJoAg-raJR2S3zw,SPROUTS FARMERS MKT MEAT#257,400 W HUNTINGTON DR,MONROVIA,
218,Café Con Leche,,Cafes,5.0,3.5,$,34.047377,34.047377,vtOPSHJ1Oy2AjbtoE_lJ8w,CAFE CON LECHE,1506 E 1ST ST,LOS ANGELES,
219,Vitamin House,,Vitamins & Supplements,2.0,5.0,,33.8317949,33.8317949,weLWGYUpk2rTe03CYTFOtg,VITAMIN HOUSE,12535 CARSON ST,HAWAIIAN GARDENS,
220,Alma Delias Restaurant,,Mexican,287.0,5.0,$,34.01946,34.01946,2TFxLBZcYqRo-ypIcQe43A,ALMA DELIA'S RESTAURANT,15835 OLD VALLEY BLVD,LA PUENTE,
221,Walmart Neighborhood Market,,"Drugstores, Grocery",22.0,3.0,$$,33.970634,33.970634,1hUqY0efkoK9Ql_9FIoP-A,WALMART MARKET #5688-DELI,6820 EASTERN AVE,BELL GARDENS,
222,Taqueria San Jose,,Mexican,23.0,4.0,$,34.1941,34.1941,e7iaiNfwH3yc75i-kTxy9w,TAQUERIA SAN JOSE,16435 VANOWEN ST STE A,VAN NUYS,
223,Chago Ahogadas Express,,Mexican,2.0,5.0,$,33.987158,33.987158,QmrtEw-FFlzkC51I15dpfQ,JESSIE AHOGADAS EXPRESS,4535 E SLAUSON AVE,MAYWOOD,
224,Super King Markets,,"Grocery, Butcher, Beer, Wine & Spirits",284.0,3.0,$,34.0806183,34.0806183,jG_zqTMmawwOdowev2qKUQ,SUPER KING MARKET-BAKERY,436 AUTO CENTER DR,CLAREMONT,
225,,,,,,,,,,STEP UP ON SECOND-MARKET,1328 2ND ST,SANTA MONICA,
226,LAX-C,,International Grocery,171.0,4.0,$,34.06316,34.06316,hBWDuQxATXTeGXsLGA-aqg,LAX-C RESTAURANT,1100 N MAIN ST # #D,LOS ANGELES,
227,Airport Royal Cuisine,,"African, American (Traditional)",27.0,4.0,,33.94497,33.94497,z-ov7rYczq0WmZ4xJWULyw,AIRPORT ROYAL CUISINE,4956 W CENTURY BLVD STE 10-B,INGLEWOOD,
228,,,,,,,,,,MAY-VERN LIQUOR,3931 E 52ND ST,MAYWOOD,
229,,,,,,,,,,WAL-MART #2609 (BAKERY),2770 CARSON ST,LAKEWOOD,
230,,,,,,,,,,LAS DORADAS,3570 MARTIN LUTHER KING JR BLVD,LYNWOOD,
231,,,,,,,,,,LADY BUG ASIAN GRILL,1841 W REDONDO BEACH BLVD,GARDENA,
232,Meze,,"Mediterranean, Greek, Kebab",309.0,4.0,$,34.1066423,34.1066423,qrIHMsZLOdKyLhq1o9UdAw,MEZE,2662 GRIFFITH PARK BLVD,LOS ANGELES,
233,,,,,,,,,,SUBWAY SANDWICHES,14304 S OCEAN GATE AVE,HAWTHORNE,
234,Kazu Sushi,,"Sushi Bars, Japanese",131.0,4.0,$$$$,34.1392499,34.1392499,DENlYKL3numINYOnpkglYA,KAZU SUSHI,11440 VENTURA BLVD STE,STUDIO CITY,
235,,,,,,,,,,MCDEN'S DONUT,15735 HAWTHORNE BLVD STE #113,LAWNDALE,
236,,,,,,,,,,BYOB A BOBA COMPANY,963 S GLENDORA AVE,WEST COVINA,
237,Shutters On The Beach,,"Hotels, Venues & Event Spaces",557.0,4.0,$$$,34.007192,34.007192,mSNjT2Ic1nyii4iViaJYpQ,SHUTTERS ON THE BEACH - COAST BEACH,1 PICO BLVD,SANTA MONICA,
238,East End Liquor,,"Beer, Wine & Spirits",2.0,5.0,$,34.0626435041993,34.0626435041993,-zV9nFw1W3pNEvC3zlEaXA,EAST END LIQUOR,998 E HOLT AVE,POMONA,
239,,,,,,,,,,WINE EXPO,2933 SANTA MONICA BLVD,SANTA MONICA,
240,Ocha Classic Restaurant,,"Thai, Seafood, Noodles",234.0,3.0,$,34.0982549,34.0982549,BRweQQcGSkLHi1922ERAXA,OCHA CLASSIC RESTAURANT #5,5187 W SUNSET BLVD,LOS ANGELES,
241,,,,,,,,,m1mIciGzB7nsTkd8-xPiZQ,MEDITERRANEAN TRIANGLE,4917 N EAGLE ROCK BLVD,LOS ANGELES,
242,,,,,,,,,s1J-_6nDHhHzJ-NimhcF-g,CHAPINLANDIA MARKET,4328 TWEEDY BLVD,SOUTH GATE,
243,Ramada by Wyndham Los Angeles/Downtown West,,Hotels,130.0,2.5,$$,34.05133,34.05133,_C7df0WKv5HCuhUn4KAusA,RAMADA LOS ANGELES DOWNTOWN WEST,1903 OLYMPIC BLVD,LOS ANGELES,
244,Mariscos Sol Y Mar,,"Seafood, Mexican",40.0,3.0,$$,33.9441223144531,33.9441223144531,5P9iH9hV_2S3lC1APho91w,MARISCOS SOL Y MAR #3,10007 LONG BEACH BLVD,LYNWOOD,
245,Grizzly Bear's Burgers,,American (Traditional),110.0,3.0,$,34.4899970796936,34.4899970796936,E_2LxTvhplubIKCWvQRQ5w,GRIZZLY BEAR'S BURGER,2211 SIERRA HWY,ACTON,
246,Tall Pines Coffee Shop,,"Coffee & Tea, Sports Bars, Mexican",27.0,3.5,$,34.134597,34.134597,_uwwrI72tOQykb2okR9lMA,TALL PINES,1540 S MYRTLE AVE,MONROVIA,
247,Good Stuff Restaurant - Redondo Beach,,"Breakfast & Brunch, American (Traditional), Burgers",575.0,4.0,$$,33.81924,33.81924,BdpybDHDsmfZKpmZ-pmhhw,GOOD STUFF,1617 S PACIFIC COAST HWY,REDONDO BEACH,
248,,,,,,,,,,MC DONALDS,1111 S FIGUEROA ST # 334,LOS ANGELES,
249,El Pollo Loco,,"Fast Food, Mexican",127.0,2.0,$,33.891923,33.891923,tgo2cJxZ-Sql8fhiimLCkg,EL POLLO LOCO INC #5904,15329 S NORMANDIE AVE,GARDENA,
