,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Pinkberry,1 World Way,Ice Cream & Frozen Yogurt,127,3.5,$$,,,,380 WORLD WAY,LOS ANGELES,90045,,,
1,Characters,276 E 1st St.,Sports Bars,92,3,$,,,,,,,,,
2,Cafe Collage,,"Coffee & Tea, Breakfast & Brunch, Sandwiches",11,3.5,$,34.04763031,-118.2541122,TdEE6Ecdv4D3vguBF7H8Fg,CAFE COLLAGE,606 S OLIVE ST STE 101,LOS ANGELES,,,
3,Grecos New York Pizzeria,,Pizza,120,3,$,34.15471904,-118.4480796,GwQkh2WHkaHtKfG1kjygmQ,GRECO'S PIZZERIA,4572 VAN NUYS BLVD,SHERMAN OAKS,,,
4,Almansor Court,,"Caterers, Venues & Event Spaces",536,4,,34.090087,-118.116378,DJLiVxjGXe4Arq5wHNDzqg,ALMANSOR COURT BANQUET HALL,700 S ALMANSOR ST,ALHAMBRA,,,
5,Delicias De El Salvador,,Latin American,30,3,$,34.02125,-118.20478,e6sz8SHupGLbTKq39kHP4Q,DELICIAS DE EL SALVADOR,3400 E 8TH ST,LOS ANGELES,,,
6,,,,,,,,,,K DISCOUNT STORE,8029 S EASTERN AVE,BELL GARDENS,,,
7,The Standard Station,,"Sports Bars, American (Traditional)",342,4,$$,33.91855,-118.41438,KFj8acfiafK3zaHMyo6_1Q,STANDARD STATIONS SPORTS BAR,226 STANDARD ST,EL SEGUNDO,,,
8,,,,,,,,,,GARCIA MINI MARKET,4411 W PICO BLVD,LOS ANGELES,,,
9,Edible Arrangements,,"Gift Shops, Chocolatiers & Shops",35,2.5,$$,33.944391,-118.330319,adIuMNRI21Fjkog12E89dg,EDIBLE ARRANGEMENTS,3358 W CENTURY BLVD,INGLEWOOD,,,
10,,,,,,,,,,MC DONALD'S #10291,269 S ATLANTIC BLVD,LOS ANGELES,,,
11,,,,,,,,,,YUCAS MARKET,11300 VANOWEN ST,NORTH HOLLYWOOD,,,
12,TJ Maxx,,Department Stores,33,3,$$,34.01042938,-118.3366699,C9ibEfqwP86zE_it1h5nnA,TJ MAXX # 125,3650 W MLK BLVD,LOS ANGELES,,,
13,Oleego by Parks BBQ,,Korean,41,3.5,$,34.1574751,-118.4387006,uEVnSChVu29iRAvHM0382g,OLEEGO,14006 RIVERSIDE DR # FC-3,SHERMAN OAKS,,,
14,La Familia Meat Market,,"Grocery, Meat Shops",1,1,,34.035115,-118.283128,qCwM2AUdMN6RfoeVU5ZCWg,LA FAMILIA MEAT MARKET,2202 S HOOVER ST STE #E,LOS ANGELES,,,
15,,,,,,,,,,OLYMPIC LIQUOR,2571 W OLYMPIC BLVD,LOS ANGELES,,,
16,Cafe 153,,"Coffee & Tea, Breakfast & Brunch",6,4.5,$$,34.03591906,-118.2547897,hX5AlLwfBmHDBZRGn5NEwg,CAFE 153,1125 3/4 WALL ST,LOS ANGELES,,,
17,,,,,,,,,,WAL-MART #2226 - BAKERY,19340 HAWTHRONE BLVD,TORRANCE,,,
18,Palisades Garden Cafe,,"Bakeries, Sandwiches, Breakfast & Brunch",236,4,$,34.0457746,-118.5251269,FUsBxw0-Dk62-fiE_S5cNg,PALISADES GARDEN CAFE,15231 1/2 LA CRUZ DR,PACIFIC PALISADES,,,
19,Starbucks,,Coffee & Tea,91,3,$,34.050984,-118.242338,MEsACQ6JZRxG82qLsoUN3g,STARBUCKS,120 S LOS ANGELES ST,LOS ANGELES,,,
20,Panera Bread,,"Salad, Soup, Sandwiches",133,3,$$,34.15143799,-118.4534921,MAysit-Cpl7ET1CnQMJIJQ,PANERA BREAD,14708 VENTURA BLVD,SHERMAN OAKS,,,
21,Domino's Pizza,,"Pizza, Chicken Wings, Sandwiches",143,2,$,34.202095,-118.5909,6WaJZYWDrIFks3cCyjmBxA,DOMINO'S PIZZA,21001 SHERMAN WAY STE #16,CANOGA PARK,,,
22,Subway,,Sandwiches,28,2,$,34.19435914,-118.5008689,whjPXeYxwaa30-ZNlT6GwQ,SUBWAY,6800 BALBOA BLVD,VAN NUYS,,,
23,MOD Pizza,,"Pizza, Fast Food",461,4.5,$$,34.3918363,-118.5730076,hqpODVir_UYf63RspaJrUQ,MOD SUPER FAST PIZZA,25910 THE OLD RD,STEVENSON RANCH,,,
24,,,,,,,,,,SNOWCREAM,201 E MAGNOLIA BLVD #119,BURBANK,,,
25,Xposed Modeling Agency,,,2,1,,34.2192634,-118.5976549,uqgvPOqUE8ryhkIJmjXrWA,XPOSED,8229 CANOGA AVE,CANOGA PARK,,,
26,Sushi n I,,"Sushi Bars, Japanese",316,4,$$,34.138668,-117.865804,NiSeDO7JM0oFwhoRixlbzA,SUSHI N I,201 N GLENDORA AVE # 200,GLENDORA,,,
27,Zion Market,,"Seafood Markets, Grocery, Korean",321,3,$$,34.06324567,-118.2985711,O2nsiRBhGKEbT3bNc5Pczg,ZION MARKET DELI & ISLAND,3500 W 6TH ST STE 100,LOS ANGELES,,,
28,Mat Goeul,,Korean,32,4.5,$$,34.06739,-118.30949,MXby7njMKKmRY-nJO4-1Hw,MAT GOEUL,361 S WESTERN AVE # #101,LOS ANGELES,,,
29,,,,,,,,,,LILLIAN WATER,8200 LONG BEACH BLVD,SOUTH GATE,,,
30,El Zorro Market,,International Grocery,11,4,$,33.938378,-118.353335,j3eu92Avve4oFmwioTHzpQ,EL ZORRO MARKET,4417 LENNOX BLVD,INGLEWOOD,,,
31,,,,,,,,,,"TAEMEN, INC.",3500 W 6TH ST #100A,LOS ANGELES,,,
32,Village Gourmet,,"Cheese Shops, Beer, Wine & Spirits",58,4,$$$,34.14898682,-118.3793106,ScaIcuCWpitXtOx0xYGWmQ,VILLAGE GOURMET,4357 TUJUNGA AVE,STUDIO CITY,,,
33,,,,,,,,,,CITY OF  HOPE STARBUCKS,1500 E DUARTE RD,DUARTE,,,
34,,,,,,,,,,MITSUWA MARKEPLACE MEAT DEP,21515 S WESTERN AVE,TORRANCE,,,
35,Las Marias,,Mexican,223,4.5,$,34.150941,-118.008396,zmmYbiBiY2TuuUGuZOw8lQ,LAS MARIAS MEXICAN FOOD,410 W FOOTHILL BLVD,MONROVIA,,,
36,Colorado Donuts,,"Donuts, Bakeries, Sandwiches",805,4.5,$,34.1391079,-118.2009526,1PzoaTLB8ZTcwAmDkit8rQ,COLORADO DONUTS,1578 COLORADO BLVD STE 14,LOS ANGELES,,,
37,,,,,,,,,,MEAT MARKET,4028 GAGE AVE,BELL,,,
38,Mila's Kusina,,Filipino,25,3.5,$,34.6752815,-118.155632,LfSFLJJWhOSYw6UC16d0Gg,MILA'S KUSINA,43633 W 15TH ST W,LANCASTER,,,
39,CVS Pharmacy,,"Drugstores, Pharmacy, Convenience Stores",23,2.5,$$,33.90147,-118.342223,-R4_4JnVGtCdaYt1EhF5Ow,CVS/PHARMACY #8831,3880 W ROSECRANS AVE,HAWTHORNE,,,
40,Flying Chopstix,,Chinese,59,3,$,33.830895,-118.275328,mla2q5kgpJj7zkvRG4ia2g,FLYING CHOPSTIX,174 E CARSON ST,CARSON,,,
41,La Perla Restaurant,,Mexican,26,2,$$,34.03731,-118.1937,yg7m1ltSa2E736iyWILWJA,LA PERLA,3425 E 1ST ST #N 3RDF,LOS ANGELES,,,
42,Ocho Rios Grill,,Caribbean,358,4,$$,33.9010116,-118.3522651,PNQFijNE20bJPtndwQqM9w,OCHO RIOS GRILL,14400 HAWTHORNE BLVD,LAWNDALE,,,
43,dd's DISCOUNTS,,"Discount Store, Women's Clothing, Home Decor",17,2,$,33.90252,-118.31988,XmAT2mZLWXbFLrkAYcKIog,DD'S DISCOUNTS #5083,2405 W ROSECRANS AVE,GARDENA,,,
44,Fatburger,,"Fast Food, American (Traditional), Burgers",76,3,$$,33.9027849,-118.2566178,Q5UAPeUGRxFwv1O5SxT9aw,FATBURGER #1066,2251 W ROSECRANS AVE STE #12,COMPTON,,,
45,Asia Kitchen Of Baldwin Park,,Chinese,221,3.5,$$,34.0649283,-117.9673029,Pj4AZkNmmDEOaE8NPACtTw,ASIA KITCHEN,1626 PUENTE AVE,BALDWIN PARK,,,
46,Big Saver Foods,,Grocery,16,3.5,$,33.901393,-118.351063,5ukgE-RZFxpY8UWnMvVg3A,BIG SAVER FOODS,14310 HAWTHORNE BLVD,LAWNDALE,,,
47,Suede Ultra Lounge,,"Lounges, Venues & Event Spaces",215,3,$$,34.052407,-118.255598,sltvBeHWfVIkZayfGIoPOg,SUEDE BAR AND LOUNGE,404 S FIGUEROA ST STE #102,LOS ANGELES,,,
48,Wokshop By Xi'an,,"Chinese, Asian Fusion, Organic Stores",59,4,$$,34.1279952,-118.4441461,v5WPe-lJOLTTUpxIzkRMmQ,WOKSHOP,2958 BEVERLY GLEN CIR,LOS ANGELES,,,
49,Papa John's Pizza,,Pizza,43,2.5,$,33.9923535,-118.4435673,LahXlCGZlwcv8nofaNSyCg,PAPA JOHNS PIZZA,13350 WASHINGTON BLVD,LOS ANGELES,,,
50,Sushi Island,,Japanese,255,4.5,$,33.86221625,-118.3092042,B6fPHvxkHCo42iVCkqrloA,SUSHI ISLAND,18539 S WESTERN AVE,GARDENA,,,
51,Royal Garden Restaurant,,"Dim Sum, Seafood, Cantonese",412,3,$$,33.858281,-118.080743,w09LOEPNKyxcWBTlJIKnnQ,ROYAL GARDEN RESTAURANT,11828 SOUTH ST,CERRITOS,,,
52,Public School 818,,"Gastropubs, Bars, American (New)",1142,3.5,$$,34.15347412,-118.4664801,AN2NlhwP_4SAr1-ELrgpHg,PUBLIC SCHOOL 818,15300 VENTURA BLVD # 102G,SHERMAN OAKS,,,
53,Best Donuts,,"Donuts, Juice Bars & Smoothies, Sandwiches",2,3.5,,34.01138,-118.30941,SUFmhnr7kEy4n68EZ18B7g,BEST DONUTS,3991 S WESTERN AVE #1,LOS ANGELES,,,
54,Vons,,Grocery,132,2.5,$$,34.0302639,-118.401574,Rt0MSk0iZyvdW9NHdpVjTg,VONS BAKERY,9860 NATIONAL BLVD,LOS ANGELES,,,
55,El Cemitero Poblano,,Mexican,24,4,$,34.03188,-118.19794,LuRJZaHZ40YMV09j1WhefQ,EL CEMITERO PLOBLANO,510 S LORENA ST,LOS ANGELES,,,
56,Alfred Coffee Melrose Place,,"Coffee & Tea, Bakeries, Breakfast & Brunch",893,4,$$,34.08350938,-118.3743271,5JAwQ8YnOgoXALGZCNiYWA,ALFRED COFFEE & KITCHEN,8428 MELROSE PL STE #A,LOS ANGELES,,,
57,Greenleaf Chopshop,,"American (New), Salad, Breakfast & Brunch",196,3,$$,34.0612632,-118.4140249,2puFrUGjTjtzU4sLb9D4Ww,GREENLEAF GOURMET CHOPSHOP,1888 CENTURY PARK E STE 110,LOS ANGELES,,,
58,,,,,,,,,,QUIZNO'S SUBS #3506,16931 DEVONSHIRE ST,GRANADA HILLS,,,
