,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Costco Wholesale Optical Dept,,Optometrists,24,3.5,,34.15227,34.15227,xOntoUjuQ4UyIUMyAxfHaQ,COSTCO MEAT DEPT #117,5700 LINDERO CANYON RD,WESTLAKE VILLAGE,
1,,,,,,,,,,FREEBIRDS WORLD BURRITO,4020 LINCOLN BLVD STE #A,MARINA DEL REY,
2,Yup Dduk LA,,Korean,2074,4.5,$$,34.064009,34.064009,DrToq9357afdpOyO5w0Y5w,YUP DDUK LA,3603 W 6TH ST,LOS ANGELES,
3,InterContinental Los Angeles Century City,,"Hotels, Venues & Event Spaces",292,4,$$$,34.05413,34.05413,OZPmZP6S7H77-EvPDB9Sag,INTERCONTINENTAL HOTEL LOS ANGELES CENTURY CITY  -MARI,2151 AVENUE OF THE STARS,LOS ANGELES,
4,Sprouts Farmers Market,,"Grocery, Health Markets, Organic Stores",264,4,$$,33.83568,33.83568,TvvwxDmAkagb6XAavkBGGw,SPROUTS ( BAKERY),4253 WOODRUFF AVE,LAKEWOOD,
5,El Pescador - Montebello,,"Mexican, Seafood",463,3.5,$$,34.01558957,34.01558957,XmZ5IxEoGnwpa-VJV8C9sQ,EL PESCADOR BAR& GRILL MONTEBELLO,116 E BEVERLY BLVD,MONTEBELLO,
6,Cho Dang Tofu & BBQ,,"Korean, Barbeque",244,4,$$,34.00233,34.00233,us4vN7YDLUDqI_YFvnud8Q,CHODANG TOFU RESTAURANT,1155 S DIAMOND BAR BLVD # M,DIAMOND BAR,
7,Roca Fuerte Panadería y Pupuseria,,Salvadoran,4,1.5,,34.22852,34.22852,WT1CkqH74nj7i2EBPjTMgA,PANADERIA Y PUPUSERIA EMMANU,8710 1/2 SEPULVEDA BLVD,NORTH HILLS,
8,Panda Express,,"Chinese, Fast Food",48,3,$,34.12408869,34.12408869,uG2uQbO4lSBvd_2dHrnyjg,PANDA EXPRESS #114,745 W NAOMI AVE,ARCADIA,
9,MIS Amigos,,Mexican,3,1,,34.222609,34.222609,v5vldjMryrB5wmafcxBmxg,MIS AMIGOS MEXICAN REST,8333 VAN NUYS BLVD,PANORAMA CITY,
10,Maya Teriyaki House,,Japanese,51,3,$,33.88732529,33.88732529,Xj0D_pGC1n53O5Lpn448ug,MAYA TERIYAKI,16212 PARAMOUNT BLVD,PARAMOUNT,
11,Burger King,,Burgers,23,3,$,34.04599,34.04599,vvf7l9G3O2D7f-6EY1jckw,BURGER KING # 9218,1742 S LA CIENEGA BLVD,LOS ANGELES,
12,Amarone Kitchen & Wine,,Italian,238,4.5,$$$,34.09061909,34.09061909,u16Xj2MdFGrXHFjCQcd2xw,AMARONE KITCHEN AND WINE,8868 W SUNSET BLVD,WEST HOLLYWOOD,
13,Fatburger,,"Burgers, Fast Food",168,3,$,34.0601471,34.0601471,SPDKXBx7yC3lAOY4fkGN2A,FATBURGER,10955 KINROSS AVE,LOS ANGELES,
14,Young King,,"Chinese, Korean, Seafood",574,4,$$,34.05239,34.05239,nxOmiITLYE3AdEqrSZIRDg,YOUNG KING CHINESE RESTAURANT,3100 W OLYMPIC BLVD,LOS ANGELES,
15,Valerio's Tropical Bakeshop,,Bakeries,1,1,,34.032199,34.032199,csGgLKx5qCDr5B6Bb4qYgQ,VALERIOS TROPICAL BAKESHOP,1509 E AMAR RD,WEST COVINA,
16,Wienerschnitzel,,"Fast Food, Hot Dogs, Sandwiches",22,2.5,$,34.0500486,34.0500486,mcCGeDaG6UKVUWbDwQXIQw,WIENERSCHNITZEL #657,1731 N HACIENDA BLVD,LA PUENTE,
17,Northgate Market,,"Grocery, Bakeries, Mexican",95,3,$$,33.90035629,33.90035629,PYLhaTNnV3I2ZFjp7lyClA,NORTHGATE GONZALES MARKET #25 - COLD DELI,3930 W ROSECRANS AVE,HAWTHORNE,
18,Mariscos El Charro,,"Seafood, Mexican",31,4,$,34.3222129,34.3222129,x0_CviFLfkq6ylwEJk2Niw,MARISCO EL CHARRO,15965 YARNELL ST,SYLMAR,
19,Vintage Westwood,,Retirement Homes,11,3.5,,34.062594,34.062594,iS5Vx99v1ek3nI5Oh4hXzg,VINTAGE WESTWOOD HORIZONS,947 TIVERTON AVE,LOS ANGELES,
20,Mr You Express,,Chinese,256,3.5,$,34.0805151,34.0805151,_X0FlYhIOGi6Ru_7Q_8hsg,MR YOU EXPRESS,402 AUTO CENTER DR,CLAREMONT,
21,Saigon Village Bistro,,Vietnamese,75,4,$,34.06255,34.06255,eO1tn_qNYSzJz1wAmrXpLw,SAIGON VILLAGE RESTAURANT,1280 E HOLT AVE,POMONA,
22,Ross Dress for Less,,"Women's Clothing, Department Stores, Home Decor",62,2,$,33.991795,33.991795,ZBiaTvsLt_WG6RBTU5GMPw,ROSS DRESS FOR LESS,17651 COLIMA RD,INDUSTRY,
23,HaiDiLao Hot Pot,,"Chinese, Hot Pot, Do-It-Yourself Food",1073,4,$$$,34.1371,34.1371,0QhrzANaOrJ0S6Eoaew4yw,HAIDILAO HOTPOT,400 S BALDWIN AVE #2015,ARCADIA,
24,,,,,,,,,,LOS CIPOTES,2520 E PALMDALE BLVD # K9-10,PALMDALE,
25,Ensenada Meat Market,,"Grocery, Meat Shops",4,4,$,33.8818779,33.8818779,4jw27AdbYRouFvoy4K2GOw,ENSENADA MARKET,853 W GARDENA BLVD,GARDENA,
26,,,,,,,,,,DELI DEPT,15000 CRENSHAW BLVD,GARDENA,
27,Century Grill,,American (New),16,4,$,34.05956268,34.05956268,1flRAP3MW7wJO9yROzyT6w,CENTURY GRILL,1901 AVENUE OF THE STARS # #A,LOS ANGELES,
