,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,All Star Sports Grills,,"American (Traditional), Sports Bars, Burgers",155.0,3.5,$$,34.45285,-118.49559,_bmMMdBGPIC7bVe_KJsjyg,ALL STAR SPORTS GRILLS,28200 BOUQUET CANYON RD STE O-P,SANTA CLARITA,,,
1,,,,,,,,,,ARCO AM PM,24800 PICO CANYON RD,STEVENSON RANCH,,,
2,Shell,,Gas Stations,2.0,4.5,,33.88896,-118.16835,2bbts_SOoMf05YGkWR3xMA,SLK PARAMOUNT SHELL,7512 ALONDRA BLVD,PARAMOUNT,,,
3,U S A Donuts & Croissants,,Donuts,12.0,4.5,$,34.200862,-118.408828,J2YYhGRdtSvtl-vZNR7dcQ,USA DONUTS,12650 SHERMAN WAY,NORTH HOLLYWOOD,,,
4,Taipei Bistro,,"Taiwanese, Chinese, Noodles",381.0,4.0,$,34.1022460322714,-118.109990358352,4RYImutEccSKoaZHTwJIKQ,TAIPEI BISTRO,704 W LAS TUNAS DR # E3,SAN GABRIEL,,,
5,The Coffee Bean & Tea Leaf,,Coffee & Tea,171.0,4.0,$,34.2052305,-118.22833933,2Evhx7ph9sJNE8q34PD6dg,COFFEE BEAN AND TEA LEAF,3701 OCEAN VIEW BLVD STE A-2,MONTROSE,,,
6,Chuck E. Cheese,,"Pizza, Arcades, Kids Activities",40.0,2.0,$$,33.9284514851413,-118.215199721827,PFh-YR0MHomAKFrEhk-liw,CHUCK E CHEESE'S #377,3140 E IMPERIAL HWY,LYNWOOD,,,
7,La Nueva Flor Blanca,,Latin American,30.0,4.5,$,34.0764249,-118.3016642,MdMMQUfEUKjzaScNtm_VDQ,LA NUEVA FLOR BLANCO SALVADORENA GRILL Y MARISCOS,4271 BEVERLY BLVD,LOS ANGELES,,,
8,The Home Depot,,"Hardware Stores, Nurseries & Gardening, Appliances",53.0,3.0,$$,34.5989447062346,-118.134929537773,PrjhHepY7VMMM7ek6-pG9A,THE HOME DEPOT #638,340 W RANCHO VISTA BLVD,PALMDALE,,,
9,Papa John's Pizza,,Pizza,75.0,2.5,$,34.172541,-118.396261,djOmX1RJKhUsNYJBteUeeQ,PAPA JOHN'S PIZZA,5608 LAUREL CANYON BLVD,NORTH HOLLYWOOD,,,
10,Tierra Mia Coffee,,"Coffee & Tea, Bakeries",425.0,3.5,$,33.93007,-118.1834,vQVGQRYz3lI8S-iPIMHcdw,TIERRA MIA COFFEE COMPANY,11004 ATLANTIC AVE,LYNWOOD,,,
11,,,,,,,,,,POGOS BAR & GRILL,17314 SATICOY ST,VAN NUYS,,,
12,Chile Relleno,,Mexican,53.0,4.0,$,33.8314351,-118.2746467,i4ha025hktKFVFd1cgKfHQ,CHILE RELLENO MEXICAN FOOD,194 E CARSON ST,CARSON,,,
13,The Corner Door,,"Bars, Italian",479.0,3.5,$$,33.9969769227672,-118.430627848769,J10jlmkA-QM789j9BvO6bg,THE CORNER DOOR,12477 W WASHINGTON BLVD,LOS ANGELES,,,
14,Tacoteca,,"Mexican, Cocktail Bars",230.0,3.5,$$,34.03501,-118.4781,3bT1zTbEk_xUVqzhRvdc9A,TACOTECA,2460 WILSHIRE BLVD,SANTA MONICA,,,
15,Coronado Meat Market & Bakery No 2,,Meat Shops,1.0,5.0,,34.0069901,-118.2651451,k1M84hqf5RVP96EHsNAD4g,CORONADO MEAT MARKET,4228 S AVALON BLVD,LOS ANGELES,,,
16,Ralphs Grocery,,Grocery,107.0,2.0,$$,33.7535403,-118.3087933,aHxtFD-fajZn6gmA_a6Fxg,RALPHS MARKET #87 - MEAT DEPT,1050 N WESTERN AVE,SAN PEDRO,,,
17,,,,,,,,,,WHISPER'S,2900 N SAN FERNANDO BLVD,BURBANK,,,
18,Cold Stone Creamery,,"Ice Cream & Frozen Yogurt, Cupcakes, Custom Cakes",179.0,4.0,$$,34.147823,-118.000656,hMv9OwqDHhUOj6uB5RhtWA,COLD STONE CREAMERY,408 S MYRTLE AVE,MONROVIA,,,
19,Loteria Grill,,Mexican,710.0,3.5,$$,34.0722008,-118.3603668,U6ROInRvD0a_95T4JexRDQ,LOTERIA GRILL AT FARMERS MAR,6333 W 3RD ST STE 322,LOS ANGELES,,,
20,,,,,,,,,,MCDONALDS #2773,449 FOOTHILL BLVD,LA CANADA FLINTRIDGE,,,
21,,,,,,,,,,YOGURT IN LOVE KIOSK,24201 VALENCIA BLVD # 9030,VALENCIA,,,
22,Subway,,Sandwiches,26.0,2.0,$,33.9117963945116,-118.082315659045,u0bQRKKmjLKRpRPXPel-eg,SUBWAY #6153,11782 E FIRESTONE BLVD,NORWALK,,,
