,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,Lum-Ka-Naad,,"Thai, Salad, Seafood",390.0,3.5,$$,34.1617352181656,34.1617352181656,7HzuKqAJGZ-p9J_3PJHSFg,LUM KA NAAD,17644 VENTURA BLVD,ENCINO,
1,Bob's Big Boy,,"American (Traditional), Diners",1601.0,3.5,$$,34.15256,34.15256,hSUf7VslAm0ASjIDnMDUXg,BOB'S BIG BOY #30,4211 W RIVERSIDE DR,BURBANK,
2,Cafe Alexander,,"American (New), Breakfast & Brunch",99.0,3.0,$$,34.06602,34.06602,pRPIGdb-renhLyxh9aZJ9w,CAFE ALEXANDER,8670 WILSHIRE BLVD,BEVERLY HILLS,
3,Ralphs,,"Grocery, Drugstores, Delis",117.0,3.0,$$,34.1486265,34.1486265,EpW99j9QuFWpvWYz2V8KSA,RALPHS GROCERY CO STORE #134,211 N GLENDALE AVE,GLENDALE,
4,Cinnabon,,Bakeries,4.0,5.0,$,34.2227402,34.2227402,8YkY4kIX2tMLiv_Z7r8kEg,CINNABON,8401 VAN NUYS BLVD #K109,PANORAMA CITY,
5,Skyline Grill,,American (Traditional),2.0,1.5,,34.0430335998535,34.0430335998535,y0E_15gJOma2q75qojWKNg,SPOTLIGHT GRILL,1111 S FIGUEROA ST,LOS ANGELES,
6,Apples Boba & Bakery,,"Desserts, Coffee & Tea, Bakeries",15.0,3.5,$,34.056359,34.056359,5HJFrJo2PncwtjbnILlH-w,APPLES BAKERY,849 S VERMONT AVE,LOS ANGELES,
7,The Square Supermarket,,"Convenience Stores, Specialty Food, Beer, Wine & Spirits",125.0,3.0,$,34.0613699,34.0613699,y-cUkCi0e6D_lTfEinf8eg,THE SQUARE SUPER MKT,8150 GARVEY AVE STE #121,ROSEMEAD,
8,Ye Loy Restaurant,,"Chinese, Taiwanese",49.0,3.5,$$,34.10556,34.10556,MwptELoQaCKyjFYgMTxV0Q,YE LOY RESTAURANT,9406 LAS TUNAS DR,TEMPLE CITY,
9,Durfee Car Wash Lube & Oil,,"Auto Detailing, Car Wash",31.0,1.5,,34.04871,34.04871,ghUkqiQ3_zd_Mk19awYmxw,DURFEE MINIMART,2205 DURFEE AVE,EL MONTE,
10,Charlie's Place,,Seafood,40.0,2.5,$$,33.839189,33.839189,Aj-b4dIZYTCLNvdZuRM3Zw,CHARLIE'S PLACE,200 FISHERMANS WHARF,REDONDO BEACH,
11,District Pub,,"Burgers, Bars, Gastropubs",599.0,4.5,$$,34.166022,34.166022,ba5zD5nszDuv_a6Z1QTtEQ,DISTRICT PUB,5249 LANKERSHIM BLVD,NORTH HOLLYWOOD,
12,La Tapachulteca,,"Grocery, Bakeries",32.0,3.0,$$,34.19038,34.19038,YRxQPc3-Xx1jxeU8Yex1Zw,LA TAPCHULTECA PROVIDENCIA,6569 VAN NUYS BLVD,VAN NUYS,
13,Cojutepeque Restaurant,,"Salvadoran, Breakfast & Brunch",87.0,3.5,$,34.065803527832,34.065803527832,us1nFY4lrj4VWA7Gyh3svA,COJUTEPEQUE RESTAURANTE,2610 W 3RD ST,LOS ANGELES,
14,Nice Time Cafe,,"Taiwanese, Cafes, Chinese",241.0,3.0,$$,34.067812,34.067812,17gnBnNl2iVpRd1yDgwidw,NICE TIME CAFE,500 N ATLANTIC BLVD # A117,MONTEREY PARK,
15,Starbucks,,Coffee & Tea,6.0,5.0,,34.151073,34.151073,EvnDjxhATFm_JTe1ALJ9uA,STARBUCKS #5593,140 W FOOTHILL BLVD,MONROVIA,
16,Champagne French Bakery Cafe,,"Bakeries, French",201.0,3.0,$$,34.0380927,34.0380927,IXIiezSs_vxXttXJ3L8gFw,CHAMPAGNE FRENCH BAKERY,2202 SAWTELLE BLVD,LOS ANGELES,
17,Dong Nguyen,,"Chinese, Vietnamese",447.0,4.0,$,34.0792954713106,34.0792954713106,LvS8748mHE9HljF9gHxQmw,DONG NGUYEN RESTAURANT,1433 E VALLEY BLVD,ALHAMBRA,
18,Mr. Pepe's Burgers,,"American (Traditional), Burgers",33.0,4.0,$,34.0085248,34.0085248,UymxG4ISTusqfzlA8ccSdQ,MR. PEPE'S BURGERS,201 W WHITTIER BLVD,MONTEBELLO,
19,Enzo & Angela,,Italian,277.0,4.0,$$,34.0495526273446,34.0495526273446,qBiQuYFNV2YZE2GsP7NxCA,ENZO & ANGELA,11701 WILSHIRE BLVD STE #12,LOS ANGELES,
20,Philly's Best,,Cheesesteaks,211.0,3.5,$$,34.1057575602513,34.1057575602513,GhQqsrjmy3IqV1WFOYbypg,PHILLY'S BEST OF SAN DIMAS,806 W ARROW HWY STE #C,SAN DIMAS,
21,Subway,,Sandwiches,30.0,3.0,$,34.0324495651777,34.0324495651777,qvqm7q6K3aUpPxqLCCpmxg,SUBWAY #26399,2112 S GAREY AVE E,POMONA,
22,Mama Hong's Vietnamese Kitchen,,Vietnamese,1472.0,4.0,$$,34.181846,34.181846,CtZPYKOlNeZDDCZzvDYfQg,MAMA HONG'S VIETNAMESE KITCH,211 N SAN FERNANDO BLVD,BURBANK,
23,Louigi's Italian Kitchen,,"Pizza, Italian, Salad",201.0,3.5,$$,34.0462357,34.0462357,LsFLYDp6-q-0ngE9QpmVlA,LOUIGI'S,1644 SAWTELLE BLVD,LOS ANGELES,
