,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,The Home Depot,,"Hardware Stores, Nurseries & Gardening, Appliances",95,2.5,$$,34.6863437,-118.164498,RWWE_KO98NP_p1Y6LnxbCg,THE HOME DEPOT #6651,44226 20TH ST W,LANCASTER,,,
1,Raspados Flores,,"Shaved Ice, Coffee & Tea, Juice Bars & Smoothies",9,4,$,34.0810801,-117.7403041,JGzOG6X1ksWIdiXybYY8SQ,FLORES RASPADOS,2121 N TOWNE AVE,POMONA,,,
2,Domino's Pizza,,Pizza,79,2,$,34.165895,-118.2829068,OWMhtANXyR7j2ME8cG_FjA,DOMINO'S PIZZA,1244 W GLENOAKS BLVD,GLENDALE,,,
3,Ralphs,,Grocery,46,3.5,$$,34.1316,-118.06632,bIsH6Ht12Ib9t5-q-r0OQw,RALPHS #742-BAKERY,1101 W HUNTINGTON DR,ARCADIA,,,
4,Tortas Azteca,,"Mexican, Sandwiches",8,4.5,$,33.9792543,-118.2241535,QJ2GczMf-zo9KfUP8X1A1g,TORTAS AZTECA RESTAURANT,2632 ZOE AVE,HUNTINGTON PARK,,,
5,,,,,,,,,,RICO PEREZ PRODUCTS,516 S GLENDORA AVE,WEST COVINA,,,
6,Church's Chicken,,"Fast Food, Chicken Wings",123,2.5,$,34.041836,-117.9492641,Fyak9B6RNsLevqVFdcXs6Q,CHURCH'S FRIED CHICKEN,1180 N HACIENDA BLVD,LA PUENTE,,,
7,Which Wich,,Sandwiches,97,2.5,$,34.06222,-118.351163,bQz6tljdtRVPySteRNCpig,WHICH WICH,5600 WILSHIRE BLVD # G,LOS ANGELES,,,
8,Jimmy John's,,"Sandwiches, Fast Food, Delis",96,3.5,$,34.0609214,-118.2912287,Pm_wgurQjfMJWK5ZbubiRg,JIMMY JOHN'S #2575,3150 WILSHIRE BLVD STE 118,LOS ANGELES,,,
9,Nutrition 4 Less,,"Nutritionists, Vitamins & Supplements",12,4.5,$$,,,,POWER NUTRITION,1137 E ALOSTA AVE,AZUSA,,,
10,Little Caesars Pizza,,"Pizza, Fast Food",35,2,$,33.90269,-118.05451,aXnUPMedREYGZZiNCTfewg,LITTLE CAESARS # 5951,13019 ROSECRANS AVE STE #102,NORWALK,,,
11,Yeya's Restaurant,,Mexican,105,4.5,$,34.04708441,-118.2192015,5LtA8XdCN-pP7QRcJeFSHg,YEYA'S,1816 E 1ST ST,LOS ANGELES,,,
12,Jack in the Box,,"Burgers, Fast Food, Tacos",34,2,$,33.929223,-118.211512,NNPO6ursoXr4Wt--ffvmrw,JACK IN THE BOX #3521,11201 S LONG BEACH BLVD,LYNWOOD,,,
13,Happy's Liquor,,"Beer, Wine & Spirits",2,2.5,$,34.0315514,-118.1925125,nhRrSahi_kauL0lSiK8NiA,HAPPY'S LIQUOR,405 S INDIANA ST,LOS ANGELES,,,
14,The Juice,,Juice Bars & Smoothies,25,4,$$,34.12148395,-118.2077605,TmIePHsrn6RPYnN99zvAxw,THE JUICE,4936 E YORK BLVD,LOS ANGELES,,,
15,Yung Ho Restaurant,,"Taiwanese, Chinese, Breakfast & Brunch",230,3,$,34.0794808,-118.1076685,XLiqes7GpT913afLSCU-Sw,YUNG HO RESTAURANT,533 W VALLEY BLVD,SAN GABRIEL,,,
16,Sidewalk Cafe,,"Tacos, Sports Bars, Pizza",853,3,$$,33.98787488,-118.4743487,Vf8KLY9lGJCvKrmhFjBOTw,THE SIDE WALK CAFE,1401 OCEAN FRONT WALK,VENICE,,,
17,Pholicious,,Vietnamese,74,3,$,34.41719234,-118.5581961,BxFxbDPAA6wNrJUsxyyt_Q,PHOLICIOUS,24201 VALENCIA BLVD # 9010,VALENCIA,,,
18,Antigua Coffee House,,"Coffee & Tea, Sandwiches",309,4.5,$,34.0873694,-118.2175073,x8QLG3CzWSbGftmMTUwPTg,ANTIGUA CULTURAL COFFEE,3400 N FIGUEROA ST,LOS ANGELES,,,
19,Big Saver Foods,,Grocery,16,3.5,$,33.901393,-118.351063,5ukgE-RZFxpY8UWnMvVg3A,BIG SAVER FOODS MEAT DEPT,14310 HAWTHORNE BLVD,LAWNDALE,,,
20,The Country Deli,,"Delis, Breakfast & Brunch, American (Traditional)",530,3.5,$$,34.2504599,-118.60661,yEeyypdckaQe8HrAv2ZVyg,COUNTRY DELI,9901 TOPANGA CANYON BLVD,CHATSWORTH,,,
21,Flores Cafe,,"Mexican, Karaoke, American (Traditional)",86,3.5,$$,33.83121943,-118.2407533,zq2pxf_XZuuxkdCiXsUM7Q,FLORES CAFE,1804 E CARSON ST,CARSON,,,
22,Cantaloop Frozen Yogurt,,"Ice Cream & Frozen Yogurt, Coffee & Tea, Juice Bars & Smoothies",346,4,$,34.101926,-118.344966,QUZs3-2TvhnvaDcnVZVU6w,CANTALOOP,7095 HOLLYWOOD BLVD # 106,LOS ANGELES,,,
23,Oh Manna Fish Market,,"Seafood Markets, American (Traditional)",52,4.5,$,,,,OHMANNA,803 E MANCHESTER AVE,LOS ANGELES,,,
24,King's Kabob,,"Greek, Mediterranean, Egyptian",196,3.5,$,33.9949451,-118.3965198,JmhgWZKBbIAouQo2U2H5ug,KINGS KABOB,5500 SAWTELLE BLVD,CULVER CITY,,,
25,Jack in the Box,,"Fast Food, Burgers, Tacos",41,2.5,$,34.1953386,-118.4490558,UW_1HR5MBpm48TdcqlSREg,JACK IN THE BOX,6847 VAN NUYS BLVD,VAN NUYS,,,
26,Sparky's,,Donuts,142,4,$$,34.13611889,-118.3540832,MiGF4jW22In9aI6AU-M9og,SPARKY'S,1000 UNIVERSAL STUDIO BLVD STE 136,UNIVERSAL CITY,,,
27,Jersey Mike's Subs,,"Sandwiches, Fast Food, Delis",121,3,$$,34.142412,-118.223066,7py0pkXyRz2llDbkS7EB7A,JERSEY MIKE'S SUBS,2601 COLORADO BLVD,LOS ANGELES,,,
28,El Pollo Loco,,"Fast Food, Mexican",81,2.5,$,34.1935352,-118.5359051,DsLoykQ54OHbp1Y0mT1iRg,EL POLLO LOCO #3425,6752 RESEDA BLVD,RESEDA,,,
29,Los Planes De Renderos,,"Mexican, Salvadoran",39,3.5,$,34.0650011,-118.0223076,0-cpxEcmjeQ1yWPWhYHQzg,LOS PLANES RENDERO,11819 1/2 E VALLEY BLVD,EL MONTE,,,
30,Big Mama's & Papa's Pizzeria,,"Pizza, Salad, Sandwiches",285,3,$,34.16535,-118.37527,zLhZaOKQ_GtVFMWqJq78Vg,BIG MAMAS AND BIG PAPA PIZZERIA,5219 LANKERSHIM BLVD,NORTH HOLLYWOOD,,,
31,red Bar & Grill,,"Bars, Pizza, American (Traditional)",108,4,$$,33.9192583,-118.3952969,tRm4qNlpysfEkTR_z3K0lw,RED BAR & GRILL,222 N PACIFIC COAST HWY,EL SEGUNDO,,,
32,,,,,,,,,,SWEET TIME DONUTS,624 E COMPTON BLVD # B,COMPTON,,,
33,Eat Drink Americano,,"American (New), Breakfast & Brunch, Sandwiches",765,4,$$,34.0461152,-118.2341999,ECDeXJtkl5umk8_CZp7hkw,AMERICANO,923 E 3RD ST STE 101,LOS ANGELES,,,
