,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
0,Pho Shop,,Vietnamese,233,3.5,$$,34.0490039,34.0490039,ZheXbOKjjh1JFe2k2svhYg,PHO SHOP,1834 WESTWOOD BLVD,LOS ANGELES,,,
1,Sam's Club,,"Grocery, Wholesale Stores, Tires",180,2.5,$$,34.41494959,34.41494959,Vtqj7nvcRkpl7l1bnmZx5g,SAM'S CLUB #4824 SNACK BAR,26468 CARL BOYER DR,CANYON COUNTRY,,,
2,,,,,,,,,,LA BENDICION MEAT MARKET,5411 S CENTRAL AVE,LOS ANGELES,,,
3,Starbucks,,Coffee & Tea,49,3.5,$,34.459782,34.459782,HOQ_D9NShukrL1u7NgWvhw,STARBUCKS COFFEE,27984 SECO CANYON RD STE #301,SANTA CLARITA,,,
4,,,,,,,,,,CLUB DE SALUD,8700 WOODMAN AVE # 3,ARLETA,,,
5,Yoshinoya Garvey & Jackson,,Japanese,49,3.5,$,34.063386,34.063386,aEwdSTtCWdAOwwgPvr8zOw,YOSHINOYA #4144,7613 GARVEY AVE,ROSEMEAD,,,
6,Mon Roll House,,"Japanese, Sushi Bars",386,3.5,$$,34.0147382,34.0147382,3YtKjdYnmXqOd3AcuT9Ezw,MON ROLL HOUSE,1509 4TH ST,SANTA MONICA,,,
7,Wetzel's Pretzels,,Pretzels,4,2.5,$,34.043125,34.043125,wAR0znS7HvxnIhCh2i5Czw,STAND 103 - WETZEL'S PRETZELS,1111 S FIGUEROA ST,LOS ANGELES,,,
8,Martin Pharmacy,,Drugstores,2,3,,34.05751,34.05751,oZXZXLUP6IoIUN1hEiY4Ug,MARTIN PHARMACY,801 S VERMONT AVE STE 104,LOS ANGELES,,,
9,Las Segovias Nicaraguan Restaurant,,"Latin American, Nicaraguan",104,4,$$,33.9659309,33.9659309,GiEfc7v_G2j2F4vCiAhlbA,LAS SEGOVIAS,8014 SEVILLE AVE,HUNTINGTON PARK,,,
10,Sprouts Farmers Market,,"Grocery, Health Markets, Organic Stores",144,3.5,$$,33.94446,33.94446,5I0GznKG88dMpuxHye6YMg,SPROUTS FARMERS MARKET-MKT,15801 WHITTIER BLVD,WHITTIER,,,
11,Philadelphia Sandwiches,,"Sandwiches, Cheesesteaks",260,3.5,$$,34.16464,34.16464,4RweNpwDetqCxd8c3F8rqQ,PHILADELPHIA SANDWICH SHOP,11112 MAGNOLIA BLVD,NORTH HOLLYWOOD,,,
12,Tiny's Submarine,,Sandwiches,100,4,$,34.41741,34.41741,tSIYPAaveSGMfLlO8ok5Fw,TINY'S SUBMARINE SANDWICHES,27251 CAMP PLENTY RD,CANYON COUNTRY,,,
13,Sushi Yotsuya,,Sushi Bars,139,4.5,$$$,34.17101288,34.17101288,qS-0Iq6dQXg0QfL2RjvyJg,SUSHI YOTSUYA,18760 VENTURA BLVD,TARZANA,,,
14,Magnolia,,Mediterranean,9,3,$$,34.17403,34.17403,n5n-be9AzaEbNqX14kykOg,MAGNOLIA REST,1915 W MAGNOLIA BLVD,BURBANK,,,
15,Dark Horse Tavern,,"American (New), Gastropubs, Pubs",320,4,$$,34.170097,34.170097,IgXVVGcn4kAAryvVNChiKA,DARK HORSE TAVERN,5507 RESEDA BLVD,TARZANA,,,
16,Subway,,Sandwiches,5,2.5,$,34.14552559,34.14552559,fSONTocy2q9Og7uncfQENA,SUBWAY,1136 E BROADWAY,GLENDALE,,,
17,Robeks Juice,,Juice Bars & Smoothies,54,3,$,34.1546499,34.1546499,PA9zM2oFFGv_uoNTwVtMnA,ROBEKS JUICE,4550 VAN NUYS BLVD,SHERMAN OAKS,,,
18,New Donut,,Donuts,3,5,$$,33.97497559,33.97497559,e1MdwBeYUk6C4AsoWY88kQ,NEW DONUTS,7125 S SAN PEDRO ST # A,LOS ANGELES,,,
19,Subway,,Sandwiches,28,2.5,$,34.04370774,34.04370774,Q_YjtQG1F6dbyKzksV6tmA,SUBWAY SANDWICHES,10597 W PICO BLVD,LOS ANGELES,,,
20,Alan's Market,,"Grocery, Beer, Wine & Spirits",59,4,$$,33.981102,33.981102,LW7PCtKB0pnXBxX7VeN0zQ,ALAN'S MARKET,339 WASHINGTON BLVD,VENICE,,,
21,,,,,,,,,,MC DONALD'S REST,5545 WHITTIER BLVD,LOS ANGELES,,,
22,V K Food Products,,"Delis, Desserts, Vietnamese",156,4.5,$,34.0808336,34.0808336,4nPlOYzQd46sa6muXY7bUg,V K FOOD PRODUCTS,9210 E VALLEY BLVD,ROSEMEAD,,,
23,Ruben's Bar & Grill,,"Dive Bars, Burgers",34,4,$,34.64619644,34.64619644,6mWcyp4qStiOoori2q8EjQ,RUBEN'S BAR AND GRILL,255 E COLUMBIA WAY,LANCASTER,,,
24,Snug Harbor,,"Breakfast & Brunch, American (Traditional), Diners",332,3.5,$$,34.0341,34.0341,k5CJ_UDezAYQa3hMYAwGSQ,SNUG HARBOR,2323 WILSHIRE BLVD,SANTA MONICA,,,
25,Real de Oaxaca,,"Mexican, Latin American, Sports Bars",177,3,$$,33.92914617,33.92914617,0szz25LdoJ3sTncYxn3aAg,REAL DE OAXACA,11215 LONG BEACH BLVD STE #1010,LYNWOOD,,,
26,,,,,,,,,,ALBERTSON'S #1335 - MAIN MARKET,26521 AGOURA RD,CALABASAS,,,
27,Vons,,"Grocery, Pharmacy",76,3,$$,34.137459,34.137459,IhAOrvd8hJ0oXS9YC8vIZw,VONS MARKET #2169 - MEAT DEPT,435 W FOOTHILL BLVD,GLENDORA,,,
28,Baba Ghanooj,,"Hookah Bars, Mediterranean, Desserts",151,4,$$,34.0762949,34.0762949,eO-iERZ5u_N06pMAlVpQCg,BABA GHANOOJ,7169 BEVERLY BLVD,LOS ANGELES,,,
29,Vons,,Grocery,80,2.5,$$,34.18776159,34.18776159,DfzAigfV_RCKBwaTAA1E_w,VONS MEAT DEPT #2039,19333 VICTORY BLVD,RESEDA,,,
30,Chipotle Mexican Grill,,"Mexican, Fast Food",227,3.5,$,34.06332379,34.06332379,b-ipBsX5A5Gk1eWqI2Y5vA,CHIPOTLE MEXICAN GRILL,244 S BEVERLY DR,BEVERLY HILLS,,,
31,Albert's Mexican Food,,Mexican,54,3,$,33.95444796,33.95444796,irBSkrJXU_G7NpfpkfktDg,ALBERT'S MEXICAN FOOD,3300 E FIRESTONE BLVD,SOUTH GATE,,,
32,Subway,,Sandwiches,22,2.5,$,34.40508895,34.40508895,khOEInTgeXwHFnsAu59E-g,SUBWAY #32183,18725 VIA PRINCESSA,CANYON COUNTRY,,,
33,Wine & Liquor Market,,"Beer, Wine & Spirits",5,3,$$,34.082473,34.082473,OZyYwyxQuw92aaKAbc_7ow,WINE & LIQUOR MARKET,750 S INDIAN HILL BLVD,CLAREMONT,,,
34,LeBlanc Restaurant,,"Armenian, Mediterranean, Middle Eastern",82,4.5,$$,34.2002975,34.2002975,7r7xJ6SvYgK4BNYlpRXGLw,LEBLANK RESTAURANT,7131 BALBOA BLVD,VAN NUYS,,,
35,Winchell's Donuts,,"Donuts, Coffee & Tea, Sandwiches",25,3,$,34.0517165,34.0517165,hVE-O6ruCG5D4x44mHtveg,WINCHELL'S DONUTS #9506,13070 E VALLEY BLVD,LA PUENTE,,,
36,Uptown Farm Market,,"Grocery, Juice Bars & Smoothies, Meat Shops",16,4,$,33.97347,33.97347,-UNj56CRu-H-5osE6pcdLA,GREENLEAF MARKET,7601 S GREENLEAF AVE,WHITTIER,,,
37,,,,,,,,,,ALBERTSON'S #1181 - MEAT DEPT,2469 VIA CAMPO AVE,MONTEBELLO,,,
38,7-Eleven,,Convenience Stores,9,4,$$,34.20064441,34.20064441,cD2rxv54Q1gG45lh95TB5A,7-ELEVEN #35361H,19648 SHERMAN WAY,RESEDA,,,
39,,,,,,,,,,PLAZA MARKET,106 W MANCHESTER AVE # #D,LOS ANGELES,,,
40,Yum Yum Donuts,,"Donuts, Coffee & Tea, Sandwiches",22,3.5,$,33.73895,33.73895,syRE3irwISjOjHTlBsN_sA,YUM YUM DONUTS,540 S GAFFEY ST,SAN PEDRO,,,
41,New Fusion,,"Asian Fusion, Breakfast & Brunch, Cantonese",367,3.5,$$,34.1250923,34.1250923,ZKN5He9HQIY95-onFvmYwg,NEW FUSION,1227 S BALDWIN AVE,ARCADIA,,,
42,McDonald's,,"Fast Food, Burgers, Coffee & Tea",144,2.5,$,34.16255397,34.16255397,BTdBcLXeq1a1ITf3O7f93w,MCDONALD'S #1711,17641 VENTURA BLVD,ENCINO,,,
43,Charlie's,,"Italian, Pizza, Sports Bars",357,3.5,$$,33.85194,33.85194,fRYOVNoRraFWsFI-H1A5RA,CHARLIE'S,601 N PACIFIC COAST HWY,REDONDO BEACH,,,
44,,,,,,,,,,68 DEGREE CHINA BISTRO,8401 VAN NUYS BLVD STE 22,PANORAMA CITY,,,
45,,,,,,,,,,SUGAR FISH,212 N CANON DR,BEVERLY HILLS,,,
46,Salad Farm,,"Salad, Sandwiches, Vegetarian",96,3.5,$$,34.0967449,34.0967449,fTwAB9Aho_F7GMAMXX1a2Q,SALAD FARM,373 W BONITA AVE,CLAREMONT,,,
47,Miyo Fresh & Grill,,"Mexican, Vietnamese",36,4,$,34.221444,34.221444,zOBfjq_nzq1in-QdNhDmaw,MIYO FRESH & GRILL,13550 ROSCOE BLVD STE #4,PANORAMA CITY,,,
48,,,,,,,,,78Y686-kBCkonZ8KTPdfbg,PARTY AMERICA #1504,2011 N HOLLYWOOD WAY,BURBANK,,,
49,,,,,,,,,,LAS DELICIAS DE LOS LOPEZ,7355 LANKERSHIM BLVD #A23,NORTH HOLLYWOOD,,,
50,ACA Grill,,"Barbeque, Argentine, Seafood",38,4,$$,34.03231812,34.03231812,Yji5SVINMP7c2KOmGeouwg,ACA GRILL,1300 S SAN PEDRO ST STE 220,LOS ANGELES,,,
51,Joe's Sushi Restaurant,,"Sushi Bars, Japanese",1056,4,$$,33.8603662,33.8603662,aTIy-9vIFBvzNaZ2a5WIOA,JOE'S SUSHI,5607 SOUTH ST,LAKEWOOD,,,
52,El Michoacano,,Mexican,30,4,$,34.2702031,34.2702031,NEwYQkGszG5APsB905s-ng,EL MICHOACANO,11017 SAN FERNANDO RD,PACOIMA,,,
53,Subway,,Sandwiches,16,2,$,33.987957,33.987957,3RQmF4xi8XjgcYlv3D0TDw,SUBWAY,5864 S VERMONT AVE,LOS ANGELES,,,
54,Java Brew Cafe,,Coffee & Tea,2,4,$,34.03304672,34.03304672,dAEihEuoWZhibruHhvaozg,JAVA BRU CAFE,726 E 12TH ST # #208,LOS ANGELES,,,
55,La Carreta Salvadorian Food,,Salvadoran,86,3,$,34.2031002,34.2031002,azcEeOIZ0wXp_syU-xs3og,LA CARRETA FAMILY RESTAURANT,7301 VAN NUYS BLVD,VAN NUYS,,,
56,Cozy Cafe,,Taiwanese,81,3.5,$,34.1264149,34.1264149,#NAME?,COZY CAFE,651 W DUARTE RD STE B,ARCADIA,,,
57,Taco Bell,,"Fast Food, Mexican",35,2.5,$,33.968137,33.968137,riCDPFsnk0wvhSEn-WLn0w,TACO BELL #031564,7500 ATLANTIC AVE,CUDAHY,,,
58,Bamboo Garden Restaurant,,Chinese,21,4,$,33.9570694,33.9570694,Vg561lWGLnFUl-GJ9cVj_g,BAMBO GARDEN,8844 S VERMONT AVE,LOS ANGELES,,,
59,,,,,,,,,,TANA ETHIOPIAN REST & MARKET,1905 S WESTERN AVE STE 11,LOS ANGELES,,,
60,El Pollo Loco,,"Fast Food, Mexican",153,3,$,33.99272,33.99272,7KM2S-wfDesQObILU0I3bA,EL POLLO LOCO,5529 S SEPULVEDA BLVD,CULVER CITY,,,
61,Ameci Pizza & Pasta - Chatsworth,,"Pizza, Italian, Chicken Wings",60,3.5,$,34.2571051,34.2571051,8fvijHd8NhBaG5gyUnlL8g,AMECI PIZZA AND PASTA,21110 DEVONSHIRE ST,CHATSWORTH,,,
62,Huicho's Bakery,,"Bakeries, American (New), Mexican",45,2,$,34.04765,34.04765,mEVavjpDWpsoBTi5Pz-UoA,HUICHO'S,1250 S VERMONT AVE,LOS ANGELES,,,
