,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city
0,,,,,,,,,,,DELI,4848 W 190TH ST,TORRANCE
1,Popbar,,192,4,$,"Ice Cream & Frozen Yogurt, Gelato, Juice Bars & Smoothies",34.13493,-118.049426,e95d56V6_plwq5JVS--DQw,,POPBAR,400 S BALDWIN AVE T62,ARCADIA
2,Cafe Los Feliz,,985,4,$$,"Coffee & Tea, Sandwiches, Breakfast & Brunch",34.11055,-118.28726,FPBsEp6Ecp_JE7KD5NsDeA,,CAFE LOS FELIZ INC,2118 HILLHURST AVE,LOS ANGELES
3,Vons,,98,3,$$,Grocery,34.0266323,-118.4270011,NHJ4HGS1ShOhfKKLwgjX-Q,,VONS STARBUCKS COFFEE,3118 S SEPULVEDA BLVD,LOS ANGELES
4,,,,,,,,,,,PRISCILLAS,4150 W RIVERSIDE DR UNIT A,BURBANK
5,Sports Authority,,59,2.5,$$,Sporting Goods,34.04396,-118.44161,Si_79KLQf-EdqgyN6z1WIw,,SPORTS AUTHORITY #637,1919 S SEPULVEDA BLVD # #37,LOS ANGELES
6,St Moritz Restaurant Deli Bakery,,31,4,$,"Bakeries, Delis",33.791107,-118.319686,zYjbFw2_f9ZdR6mFJNfTBg,,ST. MORITZ BAKERY,25604 NARBONNE AVE,LOMITA
7,,,,,,,,,,,JENNY CRAIG,4048 HARDWICK ST,LAKEWOOD
8,Whole Foods Market,,340,3.5,$$,"Grocery, Health Markets, Organic Stores",33.792577,-118.330947,qD6-Cfx-2Gj2IRmSGxrS2w,,KIKKA AT WHOLE FOODS TORRANCE,2655 PACIFIC COAST HWY,TORRANCE
9,Melody Liquor,,5,4,,"Beer, Wine & Spirits",33.84238,-118.29893,t6dWUSfFrUgFfsqFHdVVxQ,,MELODY LIQUOR,20716 S NORMANDIE AVE,TORRANCE
10,Circle K,,3,2.5,,"Convenience Stores, Gas Stations",33.88769,-118.37909,JKOSYpLjDzvROvINu1TUSw,,CIRCLE K #2709422,1865 MANHATTAN BEACH BLVD,MANHATTAN BEACH
11,Beverly Hills Juice,,254,4.5,$$,"Health Markets, Juice Bars & Smoothies",34.07576,-118.37296,Xa15uaashZMghD7sQWx54A,,BEVERLY HILLS JUICE CLUB,8382 BEVERLY BLVD,LOS ANGELES
12,USA Gasoline,,9,2,,Gas Stations,34.0124501,-118.1192271,KeqguWLKItfZiJhMf46Utg,,USA GAS #63010,1700 W WHITTIER BLVD,MONTEBELLO
13,,,,,,,,,,,VIVA MEAT MARKET,281 NEWBURGH ST,AZUSA
14,Aloha Hawaiian Grill,,59,4,$,Hawaiian,33.848589,-118.264255,u2kUehdBtq3RFcjXMo_D4g,,ALOHA HAWAIIAN GRILL,20220 S AVALON BLVD STE #B,CARSON
15,7-Eleven,,19,2,$,"Convenience Stores, Coffee & Tea",34.0562834,-118.2893335,uuQtblC57_-6sUm2PPsODA,,7 ELEVEN,2801 W JAMES M WOOD BLVD,LOS ANGELES
16,Los Dos Hermanos Billiards,,3,3.5,$$,"Pool Halls, Bars",33.9528349,-118.366158,i_c-zZFv74ZL2Vc-YcVQLw,,LOS DOS HERMANOS,605 W ARBOR VITAE ST,INGLEWOOD
17,,,,,,,,,,,DHC TRADING,640 N BROADWAY # 4,LOS ANGELES
18,,,,,,,,,,,VCAA BASEBALL SNACK BAR,6290 WHITE OAK AVE,ENCINO
19,,,,,,,,,,,STARBUCKS COFFEE #5513,1000 S FAIR OAKS AVE,SOUTH PASADENA
20,Wetzel's Pretzels,,9,2,$$,Pretzels,34.141075,-118.224918,BmkknsYDhIfIqoFLozqH0A,,WETZEL'S PRETZELS,2700 COLORADO BLVD 9002,LOS ANGELES
21,El Toreo West L-10,,84,4,$$,Mexican,34.65935825,-118.1472558,TJPo8Q8xr56W_xuVLFoilw,,EL TOREO L-10,830 W AVENUE L STE 139,LANCASTER
22,Sport Chalet,,76,3,$$,Sporting Goods,34.1834297,-118.3121719,L35AecFp1GN2oEVCyJ4VTw,,SPORT CHALET,201 E MAGNOLIA BLVD STE 145,BURBANK
23,Mike's Deli 2,,224,4.5,$$,"Delis, Breakfast & Brunch, Sandwiches",34.05061722,-118.2415466,aECWbqZMtAlDkFDq_fGQ-w,,MIKE'S DELI #2,238 E 1ST ST,LOS ANGELES
24,El Rancho Super Market,,14,3.5,$,"Grocery, Fruits & Veggies, Meat Shops",34.0882986,-118.3264851,iLoSyd0TCV84WOfPmFM2lA,,EL RANCHO MARKET,960 N VINE ST,LOS ANGELES
25,Edible Arrangements,,34,2,$$$,"Gift Shops, Florists, Chocolatiers & Shops",33.8841811,-118.3094468,Th2X_dgTP0dh81Ua8m-6JQ,,EDIBLE ARRANGEMENTS,15478 S WESTERN AVE,GARDENA
26,Tai-Kadai Kitchen,,517,4,$$,"Chinese, Vietnamese, Thai",34.0810146,-118.0756609,zuNKRZWdvyKkegtKYiejIg,,TAI-KADAI KITCHEN,8877 VALLEY BLVD,ROSEMEAD
27,,,,,,,,,,,FRUIT AND COFFEE,1000 MAPLE AVE # 6,LOS ANGELES
28,TJ Maxx,,27,3.5,$$,Department Stores,33.912343,-118.083343,Uws_tZOqvELuU0nNna3wow,,T.J. MAXX #1240,11758 FIRESTONE BLVD,NORWALK
29,Häagen-Dazs,,62,3,$,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Specialty Food",34.1452468,-118.2549434,kHA4Nscb7DBYvZYkyToyqA,,HAAGEN-DAZS,668 AMERICANA WAY # FP-5,GLENDALE
30,Fang-Huo Ginseng and Herbs,,4,3,,Traditional Chinese Medicine,34.0622551,-118.1316288,53Ay1ZMS6UPhsD252NrIsw,,FANG-HUO,664 W GARVEY AVE,MONTEREY PARK
31,,,,,,,,,,,LA SIRENA FISH MARKET,4226 E OLYMPIC BLVD,LOS ANGELES
32,Payless Discounts,,2,4,,Discount Store,34.0643857,-118.0213965,Ki6__SZW3mI2RBT0BgjDuw,,PAYLESS DISCOUNT,11865 VALLEY BLVD,EL MONTE
33,CVS Pharmacy,,18,2.5,$$,"Drugstores, Pharmacy, Convenience Stores",33.789953,-118.315,iFWU7RWZqrAkiu5bb0SVdA,,CVS/PHARMACY #9543,2001 PACIFIC COAST HWY,LOMITA
34,CVS Pharmacy,,47,2,$$,"Drugstores, Pharmacy, Convenience Stores",34.035677,-117.951433,pBoC9V_rjQFbu47V8AzYpg,,CVS/PHARMACY #9629,861 N HACIENDA BLVD,LA PUENTE
35,,,,,,,,,,,JUGOS AND LICUADOS EL CHAPUL,3078 W PICO BLVD,LOS ANGELES
36,,,,,,,,,,,CBS BROADCAST CENTER 3RD FL,4200 RADFORD AVE,STUDIO CITY
37,Smart & Final Extra!,,33,3,$$,Grocery,33.820896,-118.384353,lQyT_rf3vwOS3Yrr8_DmfA,,SMART & FINAL #938,1516 S PACIFIC COAST HWY,REDONDO BEACH
38,Walgreens,,35,3.5,$,"Drugstores, Convenience Stores, Cosmetics & Beauty Supply",34.11414442,-118.0741252,CadZnvEGWwUibFmgWVhTXg,,WALGREENS,6325 ROSEMEAD BLVD,SAN GABRIEL
39,Rite Aid,,48,2.5,$$,"Drugstores, Convenience Stores",34.030313,-118.401877,glc89rHIqOaTJyQFR6kmlg,,RITE AID# 5441,9864 NATIONAL BLVD,LOS ANGELES
40,Little Trattoria 25,,185,4.5,$$,Italian,33.99352213,-118.2253811,spFCDmXLUehiQALiXH1NqQ,,LITTLE TRATTORIA 25,5415 PACIFIC BLVD,HUNTINGTON PARK
41,Mr Ning's Chinese Garden,,275,4,$$,"Chinese, Soup, Seafood",33.3437938,-118.326082,mnicG-3zCBwzcgCvcAuWKA,,MR NINGS CHINESE GARDEN,127 SUMNER AVE,AVALON
42,Silver Spoon Restaurant,,200,4,$,"Diners, American (Traditional), Breakfast & Brunch",34.13442346,-117.871969,LmaQUeBsnwX95LAjqyxo2g,,SILVER SPOON RESTAURANT,150 N GRAND AVE # N,GLENDORA
43,,,,,,,,,,,THE LUNCH BOX,6550 ODESSA AVE,VAN NUYS
44,Chronic Tacos,,222,3.5,$,"Mexican, Gluten-Free, Tapas/Small Plates",34.4428586,-118.5781586,uShV0g9MWf-OeynEOXGpPA,,CHRONIC TACOS,28301 NEWHALL RANCH RD # 3G,VALENCIA
45,99 Cents Only Stores,,61,3.5,$,"Discount Store, Party Supplies",34.129894,-118.026364,Yn0yiOrnlqAS_gKmf4pj4A,,99 CENTS ONLY STORES #69,140 E DUARTE RD,ARCADIA
46,Cognoscenti Coffee,,273,4,$$,Coffee & Tea,34.03105,-118.37792,FMXygWXkVK3DmOQfRij-CA,,COGNOSCENTI COFFEE,6114 WASHINGTON BLVD,CULVER CITY
47,,,,,,,,,,,DOUBLETREE BAR,6161 W CENTINELA AVE,CULVER CITY
48,Haddad Mobil Mini-Mart & Car Wash,,10,2,$,"Gas Stations, Car Wash, Convenience Stores",34.41684,-118.45614,FzZ6guk_NHUuGASIFrrOUg,,HADDAD SNACK SHOP,18501 SOLEDAD CANYON RD,SANTA CLARITA
49,Muscle Bar - Glendora,,3,4,$,"Juice Bars & Smoothies, Nutritionists",34.07292,-117.87877,lyp9vyayr___KbSsEIRfww,,MUSCLE BAR,3101 E GARVEY AVE N,WEST COVINA
50,La Barca Jal Restaurantes,,43,3.5,$$,"Mexican, Specialty Food",33.97573459,-118.2299605,Rc6b_K1XPMIbkFbTP9_b3g,,BIRRIERIA LA BARCA JALISCO,7064 SANTA FE AVE,HUNTINGTON PARK
51,,,,,,,,,,,SEOUL SAUSAGE,236 S LOS ANGELES ST # G,LOS ANGELES
52,Gelson's,,182,3.5,$$$,"Grocery, Delis, Beer, Wine & Spirits",34.15373712,-118.447868,EKkYHJYAY8v3ZumBXb4n1w,,GELSON'S MARKET #16,4520 VAN NUYS BLVD,SHERMAN OAKS
53,The Bicycle Hotel & Casino,,345,3.5,$$,"Casinos, Hotels",33.966167,-118.165244,KYFAXpI92pNUzeeSRJSMVA,,THE BICYCLE HOTEL & CASINO - FUSION CAFE,888 BICYCLE CASINO DR,BELL GARDENS
54,Vons,,92,2.5,$$,"Grocery, Pharmacy",33.89094521,-118.2977999,Siu3B2M-UvD21qs8azIbCA,,VONS #1625 BAKERY,1260 W REDONDO BEACH BLVD,GARDENA
55,Subway,,30,3,$,Sandwiches,33.9457068,-118.3926297,DRn9fk_S7DwtSXimoV5iwA,,SUBWAY #28422,6151 W CENTURY BLVD STE 104,LOS ANGELES
56,CVS Pharmacy,,9,3,$$,"Drugstores, Pharmacy, Convenience Stores",34.690486,-118.112174,MeQ6PeTR0iQYdBGEc4Ujrw,,CVS/PHARMACY STORE #9657,44430 CHALLENGER WAY,LANCASTER
57,,,,,,,,,,,ITL CONENIENCE STORE,8330 S ATLANTIC AVE,CUDAHY
58,Signature Banquet Hall,,37,4.5,,Venues & Event Spaces,34.27320657,-118.5004493,7QYIq2m8HhiUMGknpg_8CA,,SIGNATURE BANQUET HALL,11130 BALBOA BLVD,GRANADA HILLS
59,Costco Business Center,,82,4,$$,Wholesale Stores,33.918683,-118.342678,Pf5F89cKYGKekgRt68mrcw,,COSTCO BUSINESS CENTER - FMR,12530 PRAIRIE AVE,HAWTHORNE
60,Casa Noodle Teriyaki,,137,4.5,$,"Japanese, Noodles",33.98642,-118.27357,6DbAYZ3iMqHn60Maepqa9Q,,CASA NOODLE TERIYAKI,5930 S MAIN ST STE #103,LOS ANGELES
61,Giant Dollar - South Gate,,12,2,$,Grocery,33.94499,-118.21022,#NAME?,,GIANT DOLLAR,3351 TWEEDY BLVD,SOUTH GATE
62,Sushi Chitose,,303,4.5,$$$,"Sushi Bars, Japanese",33.8360588,-118.3848524,goyQjnzGLtjdUHcEAbXtNg,,SUSHI CHITOSE,402 S PACIFIC COAST HWY,REDONDO BEACH
63,Lowe's Home Improvement,,249,2.5,$$,Hardware Stores,34.2206,-118.607606,YXIDbnMIYTzzCLUfd1nrPg,,LOWE'S #1162,8383 TOPANGA CANYON BLVD,CANOGA PARK
64,Wienerschnitzel,,27,2.5,$,"Fast Food, Hot Dogs, Sandwiches",33.74502652,-118.2920149,r38YA95-JeiYqOO-K8ru9A,,DER WIENERSCHNITZEL #59,230 N GAFFEY ST,SAN PEDRO
65,,,,,,,,,,,PIZZA HOLIC,10750 GLENOAKS BLVD,PACOIMA
66,Stater Bros. Markets,,124,3.5,$$,"Grocery, Delis, Butcher",34.4040707,-118.4648524,pFBOthr3K0qzAj5OQbxsbg,,STATER BROS MARKETS #141BKRY,26900 SIERRA HWY,CANYON COUNTRY
67,Echo Park Donut,,51,4,$,Donuts,34.0781708,-118.2567596,Kq_55b6ri0qZqunKS0aDWw,,ECHO PARK DONUTS,1411 ECHO PARK AVE STE 105,LOS ANGELES
68,,,,,,,,,,,OH MY GOGI,17429 PIONEER BLVD,ARTESIA
69,,,,,,,,,,,DANNY'S MARKET,2730 WABASH AVE,LOS ANGELES
70,Menchie's,,49,3.5,$,Ice Cream & Frozen Yogurt,34.0767749,-118.0402836,iB0UEIQAQORADt4ue3uSpA,,MENCHIE'S FROZEN YOGURT,10619 VALLEY BLVD,EL MONTE
71,Chez Germen,,4,5,,Hair Salons,34.0761002,-118.3962586,Nq5DT28XO_m8PiKsKXETNQ,,CHEZ GERMEN,9300 CIVIC CENTER DR,BEVERLY HILLS
72,Gateway Newstand,,6,3.5,,"Coffee & Tea, Delis, Bagels",34.062195,-118.358536,TYK1-rVDr15q-OD88SdBvA,,GATEWAY NEWSTANDS,5900 W WILSHIRE BLVD # #110,LOS ANGELES
73,Baldwin Park Mini Mart,,1,2,$$$,"Grocery, Gas Stations",34.09184647,-117.9739685,j5UFRP3dpsDdcVwfjuy6BA,,BALDWIN OIL,13758 LOS ANGELES ST,BALDWIN PARK
74,TJ Maxx,,67,2.5,$$,Department Stores,33.997347,-118.394225,5ydPJyMJ-99AK_RZliG9Ow,,T J MAXX,11020 W JEFFERSON BLVD,CULVER CITY
75,La Mexican Bakery,,4,3.5,$,Bakeries,34.04032135,-118.1860123,UDyU9Va2MfulJXMaheiKoQ,,LA MEXICANA BAKERY,3626 E CESAR E CHAVEZ AVE,LOS ANGELES
76,The Plate California Bistro,,116,3,$,"American (New), Breakfast & Brunch, Sushi Bars",34.15351,-118.25583,JgkxPtN_1QqfdnzhM1GG4Q,,THE PLATE CALIFORNIA BISTRO,505 N BRAND BLVD STE 150,GLENDALE
77,Luna Grill - La Canada Flintridge,,450,4,$$,"Mediterranean, Greek, Salad",34.204382,-118.199329,YppNZ44TWoibMtzePe5-mA,,LUNA GRILL,965 FOOTHILL BLVD # A,LA CANADA FLINTRIDGE
78,Ramen Yushoken,,166,3,$,"Sushi Bars, Ramen",34.1237346,-118.0581768,TqtHsXNXBeh7CkWeazAgfg,,YUSHOKEN,815 W NAOMI AVE STE #A,ARCADIA
79,,,,,,,,,,,ESPRESSAMENTE,900 W OLYMPIC BLVD,LOS ANGELES
