,name,address,categories,review_count,rating,price,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
0,La Placita Cocteles,,"Seafood, Mexican",16.0,4.5,$,34.226618,34.226618,R73hYpBc-HmcsPDdtVdzIA,LA PLACITA COCTELES,8610 VAN NUYS BLVD STE 13,PANORAMA CITY,
1,,,,,,,,,,EL TUKANAZO BAR,2411 ROSEMEAD BLVD,SOUTH EL MONTE,
2,Indo Lanka Cash & Carry,,"Grocery, Herbs & Spices, Seafood Markets",13.0,4.0,$$,33.86028,33.86028,W4OnLBSwfoYjtP1qooP3VA,INDO LANKA CASH AND CARRY,18743 PIONEER BLVD UNIT 106,ARTESIA,
3,Mister Bossam,,Korean,654.0,4.0,$$,34.067756012401,34.067756012401,YVbO3FENQQzcDwxtlrR1Iw,MR BOSSAM,338 S WESTERN AVE # A-B,LOS ANGELES,
4,Riviera Mexican Grill,,"Mexican, Sports Bars, Seafood",627.0,4.0,$$,33.81952,33.81952,hv_hTymMnPLemeJdlQRKwA,RIVIERA MEXICAN BAR & GRILL,1615 S PACIFIC COAST HWY,REDONDO BEACH,
5,,,,,,,,,,THE FAIRFAX,432 N FAIRFAX AVE,LOS ANGELES,
6,Steak Corral,,"Steakhouses, American (Traditional)",303.0,3.5,$$,33.97074,33.97074,RGAyS5b8GiiVzSTVzD7t6w,STEAK CORRAL #3,11605 E WASHINGTON BLVD,WHITTIER,
7,Ameci Pizza & Pasta - Woodland Hills East,,"Pizza, Italian, Chicken Wings",81.0,4.0,$$,34.1725549,34.1725549,Dmg5mz1x-IJmTvbjQtgaUg,AMECI IN & OUT PIZZA & PASTA,19803 VENTURA BLVD,WOODLAND HILLS,
8,Paradise Juice & Deli,,Health Markets,38.0,3.0,$$,34.1521606445312,34.1521606445312,JUqLLEt_ncIA489x__RhsA,PARADIZE JUICE & DELI,4007 W RIVERSIDE DR # #A,BURBANK,
9,Waikiki Hawaiian Grill,,Hawaiian,220.0,4.0,$,33.88595,33.88595,1lorATiUd0JtEi0RNRtRpw,WAIKIKI HAWAIIAN GRILL,16280 PARAMOUNT BLVD STE #A,PARAMOUNT,
10,The Flame Broiler,,"Fast Food, Korean",82.0,3.5,$,33.989559173584,33.989559173584,aY43NLPfE_RBxMNRFJrogg,THE FLAME BROILER,17110 E COLIMA RD STE A,HACIENDA HEIGHTS,
11,Kang Kang Shau May,,"Chinese, Taiwanese, Fast Food",175.0,3.5,$,33.9956425897382,33.9956425897382,QOpFhuyJGAVRTrwzkV5e0w,KANG KANG SHAU MAY RESTAURANT,18017 E GALE AVE,ROWLAND HEIGHTS,
12,Ruby Bakery,,Bakeries,357.0,4.5,$,34.1382356733084,34.1382356733084,qhdXGLjGdQ_1ATJem_Y9Fw,RUBY BAKERY,5042 EAGLE ROCK BLVD,LOS ANGELES,
13,,,,,,,,,,MARGARITAS MEXICAN FOOD,2101 W PICO BLVD # A5,LOS ANGELES,
14,,,,,,,,,,EBAR,400 S BALDWIN AVE STE #200,ARCADIA,
15,The Coffee Bean & Tea Leaf,,Coffee & Tea,130.0,2.0,$$,34.0085755,34.0085755,keHIvN0lRiVkNr3SmDalCA,PACIFIC PARK - THE COFFEE BEAN & TEA LEAF,380 SANTA MONICA PIER,SANTA MONICA,
16,Yum Cha Cafe,,"Dim Sum, Fast Food",142.0,3.0,$,34.0788993835449,34.0788993835449,KD_fdBnwN3TbJYJ8mcvq4Q,YUM CHA CAFE,1635 S SAN GABRIEL BLVD,SAN GABRIEL,
17,The Beirut Mix,,"Mediterranean, Greek, Lebanese",553.0,4.0,$$,33.858803,33.858803,bt4uELmSQnEpJRyAC3si9g,THE BEIRUT MIX,500 N PACIFIC COAST HWY,HERMOSA BEACH,
18,La Favorita,,Mexican,17.0,4.5,$,34.0434226989746,34.0434226989746,nEABpDLMLKPk6bgkd5ZoPw,LA FAVORITA,600 N BRANNICK AVE,LOS ANGELES,
19,Broken Bit Steakhouse,,"Steakhouses, Seafood, Cocktail Bars",632.0,4.0,$$$,34.644676,34.644676,hGtCYaOzAkncour7oaWX5w,BROKEN BIT STEAKHOUSE,41955 W 50TH ST W # 101,LANCASTER,
20,,,,,,,,,,VARIEDADES LATINAS,8610 VAN NUYS BLVD STE 24,PANORAMA CITY,
21,Family Fish Market,,"Seafood, Fish & Chips",208.0,4.0,$,33.9769733,33.9769733,nkCmaZyWERlUY7BQlY1zGg,FAMILY FISH MARKET,1300 CENTINELA AVE STE #102,INGLEWOOD,
22,Winterfest at Santa Anita Park,,Festivals,27.0,3.5,,34.13809,34.13809,_wdq8i3IZ2rn9gy7j-1YUw,SANTA ANITA PARK - STAND 40,285 W HUNTINGTON DR,ARCADIA,
23,Belizean Paradise,,Caribbean,167.0,4.5,$,34.0514736,34.0514736,ZV1cQKQfJBaG0Btm1-CArQ,"BELIZIAN PARADISE, INC",1271 S LA BREA AVE,LOS ANGELES,
24,Mochi Cat,,"Bubble Tea, Juice Bars & Smoothies, Cafes",81.0,3.0,$,34.0633996,34.0633996,1WOEWt3tBV87L6WfaqBH4g,MOCHI CAT,843 N BROADWAY,LOS ANGELES,
25,Fox Liquor,,"Beer, Wine & Spirits",8.0,3.0,$,34.416752,34.416752,57u01ZrFcB-0f_j8i5bWpQ,FOX LIQUOR,27257 CAMP PLENTY RD,CANYON COUNTRY,
26,,,,,,,,,,LING AN RESTAURANT,115 N LINCOLN AVE,MONTEREY PARK,
27,Burger Factory,,Burgers,69.0,2.5,$,34.0397262573242,34.0397262573242,UGHtUPC7lCYtYHAsn4yzWQ,BURGER FACTORY,2066 W WASHINGTON BLVD,LOS ANGELES,
28,La Serenata de Garibaldi,,Mexican,475.0,4.0,$$,34.039,34.039,64A2TOfFpzEjadKng6-iqg,LA SERENATA,10924 W PICO BLVD,LOS ANGELES,
29,Greenland Market,,International Grocery,184.0,4.0,$$,34.20153,34.20153,AqegkMGKIxhQphBA1Nm8YA,GREENLAND MARKET,17643 SHERMAN WAY,VAN NUYS,
30,Shakey's Pizza Parlor,,"Pizza, Buffets",101.0,2.5,$$,34.0519616249051,34.0519616249051,GfT8KBPntoMrdFlGEDNvHg,SHAKEY'S PIZZA,1880 N HACIENDA BLVD,LA PUENTE,
31,Vallarta Supermarkets,,Grocery,23.0,2.5,$$,34.233492,34.233492,_sZccA_YCKr9eJjE45UpoQ,VALLARTA #26 MEAT DEPT,9011 WOODMAN AVE,PACOIMA,
32,,,,,,,,,,"J & Y RESTAURANT, INC.",8150 GARVEY AVE STE 117H,ROSEMEAD,
33,Bubble Street,,"Desserts, Coffee & Tea, Bubble Tea",16.0,3.0,$,34.2203,34.2203,c-xKW9_his075YCtUoYqnQ,GRILL CITY / BUBBLE STREET,8231 WOODMAN AVE,PANORAMA CITY,
34,Seafood Ranch Market,,"Grocery, Seafood Markets",41.0,3.0,$,34.1195956776872,34.1195956776872,bzqnqi8hW0rWr5VXG15mGQ,SEAFOOD RANCH MARKET,3756 W AVENUE 40 STE NPQ,LOS ANGELES,
35,,,,,,,,,,76 GAS STATION SNACK SHOP,20841 DEVONSHIRE ST,CHATSWORTH,
36,The Roost,,"Dive Bars, Thai, Chicken Wings",328.0,4.0,$,34.12422,34.12422,bi95XObe3hmrpYAu2eJxgQ,THE ROOST,3100 LOS FELIZ BLVD,LOS ANGELES,
37,El Super,,"Grocery, Delis, Meat Shops",48.0,2.0,$,34.017523,34.017523,UC1luvATKQQ8csPHEnz56Q,EL SUPER BAKERY & TORTILLERI,5646 E WHITTIER BLVD,COMMERCE,
38,Spudnuts Donuts,,Donuts,97.0,4.0,$,34.2566930147655,34.2566930147655,opvZb73cXxQqa2JOE6IvNg,SPUDNUTS DONUTS,10244 RESEDA BLVD,NORTHRIDGE,
39,Cafe Tamal,,"Cafes, Latin American",180.0,4.5,$,34.20152,34.20152,BwAiGE8lN-ka9aOxQig5MQ,CAFE TAMAL,16045 SHERMAN WAY # F,VAN NUYS,
